unit_label,analysis_taxon_id,near_base,near_active,ref_base,ref_active,did_nonnumeric,n_near_active,n_near_base,n_ref_active,n_ref_base
Western Grebe,atx_ebf17f77fb66,0.0404,0,0.0129,0.0053,-0.0328,74,99,189,233
White-winged Scoter,atx_3083477933a8,0.0585,0.0896,0.0682,0.0688,0.0305,647,530,974,968
Marbled Murrelet,atx_acf526bb8010,0.0349,0.01,0.0032,0.0061,-0.0278,100,86,329,316
Iceland Gull,atx_aa5353f6d6d2,0.0989,0.1781,0.0885,0.1438,0.0239,887,536,1238,1096
Common Murre,atx_136b0e66254b,0.0131,0.0339,0.019,0.0184,0.0214,118,153,272,368
Harlequin Duck,atx_87b306550dba,0.02,0.0448,0.0219,0.0257,0.021,892,898,2064,2334
Northern Shoveler,atx_8f0345249398,0.0512,0.0603,0.0907,0.0788,0.021,580,391,1599,1555
Pacific Loon,atx_c34f23342a55,0.0231,0.0386,0.0302,0.0248,0.0209,466,520,806,995
Greater Scaup,atx_4ae57d328ec6,0.0311,0.0675,0.042,0.0579,0.0205,726,386,1260,1025
Short-billed Gull,atx_e0e678a61ad7,0.0598,0.0959,0.0552,0.0711,0.0202,2357,1738,4512,4168
Lesser Scaup,atx_d002764a39e8,0.0367,0.0211,0.0485,0.0523,-0.0194,521,381,1662,1671
Black-bellied Plover,atx_v2_000006,0.0359,0.0364,0.0323,0.0158,0.017,302,362,698,774
Glaucous-winged Gull,atx_725074cbfcb6,0.0558,0.0786,0.0593,0.0652,0.0169,4875,4513,12108,12051
Common Goldeneye,atx_82312e6f2848,0.0334,0.0523,0.0301,0.0327,0.0163,1853,2034,3920,4844
Black Scoter,atx_1328b44be502,0.0717,0.0776,0.0856,0.0769,0.0146,335,279,442,479
,atx_v2_000004,0,0,0.0111,0.0244,-0.0133,22,26,41,90
Ring-billed Gull,atx_08bb40b40c0a,0.0393,0.0375,0.0608,0.0461,0.0129,506,535,803,790
California Gull,atx_c12b832d2b03,0.0677,0.1157,0.0587,0.0941,0.0126,1409,517,2040,886
Gadwall,atx_eeefc021901e,0.0391,0.0257,0.0447,0.0425,-0.0112,389,307,1998,1790
Bufflehead,atx_99238953638b,0.0295,0.042,0.0274,0.0289,0.011,3334,3323,9021,9615
Dunlin,atx_v2_000003,0.0407,0.0276,0.0374,0.0353,-0.011,398,442,906,1070
Surfbird,atx_1812dd827ede,0.0217,0.0294,0.0109,0.0294,-0.0108,34,46,136,183
Red-necked Grebe,atx_86eda7ed9025,0.0188,0.0208,0.0221,0.0136,0.0105,721,584,1399,1269
Bonaparte's Gull,atx_fadb8da1a816,0,0.0507,0.0073,0.0477,0.0103,414,39,629,137
Western Gull,atx_5a9a3495d0ea,0.0441,0.0645,0.0426,0.0537,0.0093,93,68,149,141
Common Loon,atx_9ae1aa9b7fdf,0.0275,0.0297,0.0234,0.0163,0.0093,1077,1018,2515,2479
