cell,baseline_near,early_pre_near,immediate_pre_near,spawn_start_near,early_egg_near,late_egg_near,baseline_reference,early_pre_reference,immediate_pre_reference,spawn_start_reference,early_egg_reference,late_egg_reference
baseline_near,1,0.057,0.016,0,-0.013,-0.028,0.414,0.006,-0.037,-0.037,-0.076,-0.098
early_pre_near,0.057,1,0.072,0.003,0.002,-0.023,0.019,0.425,0.033,-0.016,-0.034,-0.069
immediate_pre_near,0.016,0.072,1,0.072,0.018,-0.002,-0.018,0.053,0.436,0.048,-0.025,-0.055
spawn_start_near,0,0.003,0.072,1,0.052,-0.005,-0.025,-0.01,0.086,0.427,0.017,-0.037
early_egg_near,-0.013,0.002,0.018,0.052,1,0.039,-0.066,-0.024,-0.012,0.043,0.44,-0.018
late_egg_near,-0.028,-0.023,-0.002,-0.005,0.039,1,-0.091,-0.066,-0.044,-0.031,0.002,0.422
baseline_reference,0.414,0.019,-0.018,-0.025,-0.066,-0.091,1,0.058,-0.026,-0.043,-0.104,-0.141
early_pre_reference,0.006,0.425,0.053,-0.01,-0.024,-0.066,0.058,1,0.08,-0.005,-0.034,-0.101
immediate_pre_reference,-0.037,0.033,0.436,0.086,-0.012,-0.044,-0.026,0.08,1,0.104,-0.002,-0.069
spawn_start_reference,-0.037,-0.016,0.048,0.427,0.043,-0.031,-0.043,-0.005,0.104,1,0.078,-0.038
early_egg_reference,-0.076,-0.034,-0.025,0.017,0.44,0.002,-0.104,-0.034,-0.002,0.078,1,0.022
late_egg_reference,-0.098,-0.069,-0.055,-0.037,-0.018,0.422,-0.141,-0.101,-0.069,-0.038,0.022,1
