"analysis_version","analysis_taxon_id","species","outcome","contrast","period_label","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","q_value","n","status"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","did_early_pre","Early pre (-14 to -8 d)",-0.0432126974941038,0.0500939638510574,-0.141395062485028,0.0549696674968201,0.957707666381317,0.868146271917504,1.05650856763998,0.388339377402321,0.90612521393875,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","did_immediate_pre","Immediate pre (-7 to -1 d)",-0.0711512970037602,0.0489472073743117,-0.167086060601224,0.024783466593704,0.931320975394605,0.846126790023449,1.02509312958395,0.14604796308421,0.397575010618128,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","did_pre_14_day","Pre-onset (-14 to -1 d)",-0.057181997248932,0.0397004752172066,-0.134993498843782,0.020629504345918,0.944422171487486,0.87372159187013,1.02084376338695,0.149772549179816,0.733885490981098,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","did_spawn_start","Spawn start (0 to 3 d)",-0.0907357908501375,0.0586040908738431,-0.205597698309582,0.0241261166093073,0.913258970402553,0.814160548572138,1.02441950605868,0.12155387490619,0.252571752166057,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","did_early_egg","Early egg (4 to 14 d)",-0.0729441945481457,0.0415365063074968,-0.15435425095446,0.00846586185816874,0.929652708267687,0.856968385364566,1.00850179860693,0.0790633790423217,0.168439372742338,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","did_late_egg","Late egg (15 to 28 d)",-0.0845219910558333,0.0388450921881841,-0.160656972720812,-0.0083870093908542,0.918951446442058,0.85158413760062,0.991648063451828,0.0295647509422623,0.131697526924623,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","did_active_0_14_day","Active composite (0 to 14 d)",-0.0776886202286768,0.0379210236153961,-0.152012460771746,-0.00336477968560761,0.925252486600868,0.858977577150912,0.996640874841701,0.0404919258537755,0.0992052183417499,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","did_early_pre","Early pre (-14 to -8 d)",-0.0346634289152544,0.0238252814723083,-0.0813601225225081,0.0120332646919994,0.965930465818026,0.921861648517861,1.012105955699,0.145696635206769,0.671636748702114,20340,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","did_immediate_pre","Immediate pre (-7 to -1 d)",0.000995621646805882,0.0241271508816314,-0.0462927251307554,0.0482839684243671,1.00099611744257,0.954762438321282,1.04946862896791,0.967084147360091,1,20340,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","did_pre_14_day","Pre-onset (-14 to -1 d)",-0.0168339036342242,0.0192225687423601,-0.0545094460595954,0.0208416387911469,0.983306994790199,0.946949563873563,1.02106034248349,0.381173338481285,0.762487637957128,20340,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","did_spawn_start","Spawn start (0 to 3 d)",-0.0144943382742579,0.028411045035836,-0.0701789633076418,0.0411902867591261,0.985610198971221,0.932226970554314,1.04205037506957,0.60993543925127,0.711591345793149,20340,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","did_early_egg","Early egg (4 to 14 d)",0.0129335813658222,0.0213071227016499,-0.0288276117435873,0.0546947744752318,1.01301758188114,0.971583939692131,1.05621818072198,0.543845994576697,0.701275098269952,20340,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","did_late_egg","Late egg (15 to 28 d)",0.00718915867886516,0.0196027559465247,-0.0312315369740516,0.0456098543317819,1.007215062719,0.969251129619901,1.04666597909034,0.713811293629861,0.887553709581999,20340,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","did_active_0_14_day","Active composite (0 to 14 d)",0.00561946946180088,0.0190519518824746,-0.0317216700630394,0.0429606089866411,1.00563528829759,0.968776183972532,1.04389677388895,0.768028216066491,0.855304149710411,20340,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04cf65098f13","Red-throated Loon","checklist_reporting","did_early_pre","Early pre (-14 to -8 d)",0.105694893004425,0.165152730632397,-0.217998510983518,0.429388296992368,1.11148270361882,0.804126639023488,1.53631746604494,0.52218383659589,0.913821714042808,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04cf65098f13","Red-throated Loon","checklist_reporting","did_immediate_pre","Immediate pre (-7 to -1 d)",0.0128761157456835,0.181183931820245,-0.342237865199358,0.367990096690725,1.0129593698702,0.710179257685956,1.44482773032716,0.943344795357623,0.995910234697689,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04cf65098f13","Red-throated Loon","checklist_reporting","did_pre_14_day","Pre-onset (-14 to -1 d)",0.0592855043750543,0.138803890573122,-0.212765122062304,0.331336130812413,1.06107813994981,0.808345977557115,1.3928278860023,0.669294095383781,0.886362450643386,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04cf65098f13","Red-throated Loon","checklist_reporting","did_spawn_start","Spawn start (0 to 3 d)",0.162362446534516,0.22190524923937,-0.272563849955034,0.597288743024066,1.17628650503478,0.761424810683154,1.81718525915319,0.464367169983809,0.598789245505438,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04cf65098f13","Red-throated Loon","checklist_reporting","did_early_egg","Early egg (4 to 14 d)",0.010958927602727,0.138309703476283,-0.260123109923202,0.282040965128656,1.01101919660985,0.770956667544863,1.32583303179506,0.936845946226854,0.936845946226854,217200,"completed"
