"species","outcome","ratio","ratio_conf_low","ratio_conf_high","q_value","n","status"
"Hooded Merganser","checklist_reporting",1.02064924623713,0.947663488777562,1.09925611377959,0.744314368058393,217200,"completed"
"Hooded Merganser","conditional_positive_numeric_count",1.01924112810213,0.980309520343677,1.05971884966567,0.500794317612144,20340,"completed"
"Red-throated Loon","checklist_reporting",0.998710672089921,0.760416450245369,1.31167994356836,0.992598813068013,217200,"completed"
"Red-throated Loon","conditional_positive_numeric_count",1.04481473099849,0.868047538670448,1.25757838537675,0.771927823788218,1488,"completed"
"Ring-billed Gull","checklist_reporting",0.967839478410006,0.850316929285178,1.10160485309449,0.744798270375646,217200,"completed"
"Ring-billed Gull","conditional_positive_numeric_count",1.02759881124831,0.9051534937749,1.16660801084146,0.775181948538418,4549,"completed"
"Black Scoter","checklist_reporting",1.13447846692048,0.996574920997567,1.29146476074063,0.142436358995875,217178,"completed"
"Black Scoter","conditional_positive_numeric_count",1.01202972874161,0.885852162636033,1.15617956929641,0.87940898823518,1684,"completed"
"Common Murre","checklist_reporting",0.872687776625303,0.724399972117168,1.05133073548494,0.291480704191967,217200,"completed"
"Common Murre","conditional_positive_numeric_count",0.849685998310505,0.673013383717135,1.07273690715839,0.306930551311193,2023,"completed"
"Black Turnstone","checklist_reporting",0.955849213271549,0.836919291654811,1.09167960115403,0.670604342596355,217200,"completed"
"Black Turnstone","conditional_positive_numeric_count",1.11873890783466,0.980288497829571,1.27674327167376,0.183982928081028,4421,"completed"
"Surfbird","checklist_reporting",1.37273430763511,0.973791460468404,1.93511604471456,0.163363315902389,217200,"completed"
"Surfbird","conditional_positive_numeric_count",,,,,1063,"failed_insufficient_support"
"Surf Scoter","checklist_reporting",1.00339297567945,0.932533322149138,1.07963698425551,0.947512022271045,217183,"completed"
"Surf Scoter","conditional_positive_numeric_count",1.3038341183201,1.21385883694139,1.40047866882038,2.32440140116456e-12,16632,"completed"
"White-winged Scoter","checklist_reporting",1.08171447110837,0.977155409176007,1.19746172002666,0.259845384694383,217199,"completed"
"White-winged Scoter","conditional_positive_numeric_count",1.17142474791803,1.05607256909169,1.29937655819907,0.00912247352531673,4706,"completed"
"Common Merganser","checklist_reporting",1.163318587519,1.09700879793443,1.23363653839,4.1982001811496e-06,217093,"completed"
"Common Merganser","conditional_positive_numeric_count",1.11091886537587,1.06755615243735,1.15604291411776,1.14638868509506e-06,27776,"completed"
"Pelagic Cormorant","checklist_reporting",1.04806897914879,0.963890501262992,1.13959893122164,0.434802345247555,217200,"completed"
"Pelagic Cormorant","conditional_positive_numeric_count",1.02439013792296,0.978456156203373,1.07248050719578,0.476126592641651,18881,"completed"
"Long-tailed Duck","checklist_reporting",1.13937362788504,1.01235348603242,1.28233100575142,0.0914966824909325,217200,"completed"
"Long-tailed Duck","conditional_positive_numeric_count",1.43213672721105,1.2855483512185,1.595440267558,4.06479584207625e-10,2946,"completed"
"Greater Scaup","checklist_reporting",1.1304769960441,1.03133872928609,1.23914500861373,0.0325696616516724,216227,"completed"
"Greater Scaup","conditional_positive_numeric_count",1.16232781914027,1.04591461012298,1.29169814253624,0.0159802645270829,4514,"completed"
"Brant","checklist_reporting",1.16277944339748,1.04308136768647,1.29621338840189,0.0260373264608843,217200,"completed"
