"species","outcome","ratio","ratio_conf_low","ratio_conf_high","q_value","n","status"
"Hooded Merganser","checklist_reporting",0.979702207905152,0.90786469309393,1.05722408138073,0.813470196934854,217200,"completed"
"Hooded Merganser","conditional_positive_numeric_count",1.02270734737543,0.985206535862995,1.06163558634891,0.40682335085439,20340,"completed"
"Red-throated Loon","checklist_reporting",0.99207923087087,0.752573199294838,1.30780793316524,0.955015528198709,217200,"completed"
"Red-throated Loon","conditional_positive_numeric_count",1.0816946130671,0.905120661924065,1.29271519827104,0.524653641046644,1488,"completed"
"Ring-billed Gull","checklist_reporting",1.02426504142531,0.900948526163456,1.16446039326297,0.864731240964312,217200,"completed"
"Ring-billed Gull","conditional_positive_numeric_count",0.984528272646592,0.876657593282912,1.10567218839759,0.84755402222639,4549,"completed"
"Black Scoter","checklist_reporting",1.1386438374963,0.996838673582539,1.30062147770489,0.129987835001422,217178,"completed"
"Black Scoter","conditional_positive_numeric_count",1.04647567850993,0.912977842593622,1.19949389198953,0.606407676070742,1684,"completed"
"Common Murre","checklist_reporting",0.850700922941488,0.706199053430789,1.02477064614818,0.173831380557077,217200,"completed"
"Common Murre","conditional_positive_numeric_count",0.897764817725939,0.71131604283056,1.13308518213539,0.507217833223438,2023,"completed"
"Black Turnstone","checklist_reporting",0.983414342457467,0.858932149918313,1.12593732699728,0.865357657928627,217200,"completed"
"Black Turnstone","conditional_positive_numeric_count",1.12707691076017,0.989354230388107,1.28397122461424,0.150581205190099,4421,"completed"
"Surfbird","checklist_reporting",1.35556852156541,0.947063832655539,1.94027683594097,0.174896522563208,217200,"completed"
"Surfbird","conditional_positive_numeric_count",,,,,1063,"failed_insufficient_support"
"Surf Scoter","checklist_reporting",1.01745397759221,0.945707646197192,1.09464336117078,0.851282204520388,217183,"completed"
"Surf Scoter","conditional_positive_numeric_count",1.33012471990012,1.23845859593724,1.42857563126722,3.73129273953024e-14,16632,"completed"
"White-winged Scoter","checklist_reporting",1.09717810712638,0.989758985296195,1.21625548910493,0.169353095320394,217199,"completed"
"White-winged Scoter","conditional_positive_numeric_count",1.16141072357372,1.04533576751704,1.29037473962647,0.0129490509318084,4706,"completed"
"Common Merganser","checklist_reporting",1.17063931730477,1.10307541783637,1.24234153808608,2.01343716667778e-06,217093,"completed"
"Common Merganser","conditional_positive_numeric_count",1.11600237208008,1.07256892300781,1.16119464938039,3.06440049751322e-07,27776,"completed"
"Pelagic Cormorant","checklist_reporting",1.05466183170348,0.970730714949406,1.14584978318123,0.329474238631918,217200,"completed"
"Pelagic Cormorant","conditional_positive_numeric_count",1.02678509993279,0.981348721272021,1.07432517981724,0.414579978905587,18881,"completed"
"Long-tailed Duck","checklist_reporting",1.12929763804335,1.00038978788329,1.27481624736366,0.120706386489252,217200,"completed"
"Long-tailed Duck","conditional_positive_numeric_count",1.47156522151975,1.3153965740608,1.64627477666395,8.54588977089191e-11,2946,"completed"
"Greater Scaup","checklist_reporting",1.10338961282306,1.00628146544553,1.20986888807178,0.104723661968552,216227,"completed"
"Greater Scaup","conditional_positive_numeric_count",1.1972499379508,1.07604890688134,1.33210247671508,0.00272146532019368,4514,"completed"
"Brant","checklist_reporting",1.16339258753716,1.04143468940163,1.29963244600012,0.0278732629339137,217200,"completed"
"Brant","conditional_positive_numeric_count",1.07080047722899,0.966777612332768,1.18601594348791,0.33532430641089,3796,"completed"
"Western Gull","checklist_reporting",1.25268497576618,0.963315841306397,1.62897731068371,0.17479178528855,216824,"completed"
"Western Gull","conditional_positive_numeric_count",1.08758447681027,1.00725597520413,1.17431916346681,0.0700549643876258,712,"completed_with_singular_warning"
"Horned Grebe","checklist_reporting",0.925862033542696,0.857999804493939,0.999091725506182,0.120706386489252,217142,"completed"
"Horned Grebe","conditional_positive_numeric_count",1.02376234426601,0.980306305160961,1.06914474794177,0.457786637751365,13054,"completed"
"Rhinoceros Auklet","checklist_reporting",0.783177954256937,0.594124725623987,1.03238879242045,0.169353095320394,217200,"completed"
"Rhinoceros Auklet","conditional_positive_numeric_count",,,,,1816,"failed_insufficient_support"
"Glaucous-winged Gull","checklist_reporting",1.13805193454579,1.07643910049795,1.20319134182722,4.30400399564287e-05,217037,"completed"
"Glaucous-winged Gull","conditional_positive_numeric_count",1.2048384212506,1.17000248031508,1.24071157603931,6.56497522565262e-34,85053,"completed"
