affected_candidate_common_name,affected_analysis_taxon_id,parent_candidate_name,analysis_taxon_id,analysis_taxon_key,proposed_role,source_taxon_id,source_first_observed_year,source_last_observed_year,source_all_bc_ebd_records,source_category,source_common_name,source_scientific_name,source_subspecies_common_name,source_subspecies_scientific_name,ebird_taxon_code,official_category,official_common_name,official_scientific_name,official_report_as,effective_source_common_name,effective_source_scientific_name,official_match,name_match,category_match,mapping_treatment,historical_taxonomy_review,zero_fill_eligible_candidate,review_stratum,taxonomy_snapshot_version,taxonomy_snapshot_sha256,approval_status,ambiguity_flag,zero_mask_candidate,proposed_species_outcome,membership_basis,final_rule,production_zero_mask_eligible
American Herring Gull,atx_7571c026ae99,,,,,avibase-4347194D,2017,2017,1,slash,American Herring/Glaucous-winged Gull,Larus smithsonianus/glaucescens,"","",y00956,slash,American Herring/Glaucous-winged Gull,Larus smithsonianus/glaucescens,"",American Herring/Glaucous-winged Gull,Larus smithsonianus/glaucescens,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Glaucous-winged Gull,atx_725074cbfcb6,,,,,avibase-4347194D,2017,2017,1,slash,American Herring/Glaucous-winged Gull,Larus smithsonianus/glaucescens,"","",y00956,slash,American Herring/Glaucous-winged Gull,Larus smithsonianus/glaucescens,"",American Herring/Glaucous-winged Gull,Larus smithsonianus/glaucescens,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
American Herring Gull,atx_7571c026ae99,,,,,avibase-C8871F1D,2016,2025,88,slash,American Herring/Iceland Gull,Larus smithsonianus/glaucoides,"","",y00682,slash,American Herring/Iceland Gull,Larus smithsonianus/glaucoides,"",American Herring/Iceland Gull,Larus smithsonianus/glaucoides,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Iceland Gull,atx_aa5353f6d6d2,,,,,avibase-C8871F1D,2016,2025,88,slash,American Herring/Iceland Gull,Larus smithsonianus/glaucoides,"","",y00682,slash,American Herring/Iceland Gull,Larus smithsonianus/glaucoides,"",American Herring/Iceland Gull,Larus smithsonianus/glaucoides,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
American Herring Gull,atx_7571c026ae99,,,,,avibase-25B17201,2018,2018,1,slash,American Herring/Vega Gull,Larus smithsonianus/vegae,"","",y01294,slash,American Herring/Vega Gull,Larus smithsonianus/vegae,"",American Herring/Vega Gull,Larus smithsonianus/vegae,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Canada Goose,atx_b3d3ea90f9cb,,,,,avibase-C600B65C,1993,2025,1120,slash,Cackling/Canada Goose,Branta hutchinsii/canadensis,"","",y00470,slash,Cackling/Canada Goose,Branta hutchinsii/canadensis,"",Cackling/Canada Goose,Branta hutchinsii/canadensis,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Common Goldeneye,atx_82312e6f2848,,,,,avibase-1DA8E8A4,1988,2025,2758,slash,Common/Barrow's Goldeneye,Bucephala clangula/islandica,"","",y00004,slash,Common/Barrow's Goldeneye,Bucephala clangula/islandica,"",Common/Barrow's Goldeneye,Bucephala clangula/islandica,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Barrow's Goldeneye,atx_d7dd9536145c,,,,,avibase-1DA8E8A4,1988,2025,2758,slash,Common/Barrow's Goldeneye,Bucephala clangula/islandica,"","",y00004,slash,Common/Barrow's Goldeneye,Bucephala clangula/islandica,"",Common/Barrow's Goldeneye,Bucephala clangula/islandica,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Common Merganser,atx_35518e24dfdd,,,,,avibase-D15C6A4C,1988,2025,530,slash,Common/Red-breasted Merganser,Mergus merganser/serrator,"","",y00224,slash,Common/Red-breasted Merganser,Mergus merganser/serrator,"",Common/Red-breasted Merganser,Mergus merganser/serrator,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Red-breasted Merganser,atx_c2d1fbbaf6d3,,,,,avibase-D15C6A4C,1988,2025,530,slash,Common/Red-breasted Merganser,Mergus merganser/serrator,"","",y00224,slash,Common/Red-breasted Merganser,Mergus merganser/serrator,"",Common/Red-breasted Merganser,Mergus merganser/serrator,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
