parent_candidate_name,analysis_taxon_id,analysis_taxon_key,proposed_role,source_taxon_id,source_first_observed_year,source_last_observed_year,source_all_bc_ebd_records,source_category,source_common_name,source_scientific_name,source_subspecies_common_name,source_subspecies_scientific_name,ebird_taxon_code,official_category,official_common_name,official_scientific_name,official_report_as,effective_source_common_name,effective_source_scientific_name,official_match,name_match,category_match,mapping_treatment,historical_taxonomy_review,zero_fill_eligible_candidate,review_stratum,taxonomy_snapshot_version,taxonomy_snapshot_sha256,approval_status,ambiguity_flag,zero_fill_mapping_eligible,final_mapping_decision,approved_taxonomy_version
Mallard,,,guild_only_exploratory,avibase-07FFC1E5,1994,2025,1503,domestic,Mallard,Anas platyrhynchos,Mallard (Domestic type),Anas platyrhynchos (Domestic type),mallar2,domestic,Mallard (Domestic type),Anas platyrhynchos (Domestic type),mallar3,Mallard (Domestic type),Anas platyrhynchos (Domestic type),TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
Brant,,,secondary_focal,avibase-0A01ABD3,2005,2025,27,form,Brant,Branta bernicla,Brant (Gray-bellied),Branta bernicla (Gray-bellied),gybbra1,form,Brant (Gray-bellied),Branta bernicla (Gray-bellied),brant,Brant (Gray-bellied),Branta bernicla (Gray-bellied),TRUE,TRUE,TRUE,case_by_case_form_pending,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_form,eBird Taxonomy v2025
Iceland Gull,,,secondary_focal,avibase-12D5BA6C,1988,2025,160,form,Iceland Gull,Larus glaucoides,Iceland Gull (kumlieni/glaucoides),Larus glaucoides kumlieni/glaucoides,icegul,form,Iceland Gull (kumlieni/glaucoides),Larus glaucoides kumlieni/glaucoides,y00478,Iceland Gull (kumlieni/glaucoides),Larus glaucoides kumlieni/glaucoides,TRUE,TRUE,TRUE,case_by_case_form_pending,TRUE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_form,eBird Taxonomy v2025
Iceland Gull,,,secondary_focal,avibase-EE7F1EF9,2015,2025,146,form,Iceland Gull,Larus glaucoides,Iceland Gull (thayeri/kumlieni),Larus glaucoides thayeri/kumlieni,icegul2,form,Iceland Gull (thayeri/kumlieni),Larus glaucoides thayeri/kumlieni,y00478,Iceland Gull (thayeri/kumlieni),Larus glaucoides thayeri/kumlieni,TRUE,TRUE,TRUE,case_by_case_form_pending,TRUE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_form,eBird Taxonomy v2025
,,,,avibase-43E850E2,2006,2025,151,hybrid,American Herring x Glaucous Gull (hybrid),Larus smithsonianus x hyperboreus,"","",x01131,hybrid,American Herring x Glaucous Gull (hybrid),Larus smithsonianus x hyperboreus,"",American Herring x Glaucous Gull (hybrid),Larus smithsonianus x hyperboreus,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-E22B6ADA,1998,2025,2821,hybrid,American Herring x Glaucous-winged Gull (hybrid),Larus smithsonianus x glaucescens,"","",x00050,hybrid,American Herring x Glaucous-winged Gull (hybrid),Larus smithsonianus x glaucescens,"",American Herring x Glaucous-winged Gull (hybrid),Larus smithsonianus x glaucescens,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-FA82C17D,2003,2003,1,hybrid,American Herring/Vega/European Herring x Glaucous Gull (hybrid),Larus smithsonianus/vegae/argentatus x hyperboreus,"","",nelgul,hybrid,American Herring/Vega/European Herring x Glaucous Gull (hybrid),Larus smithsonianus/vegae/argentatus x hyperboreus,"",American Herring/Vega/European Herring x Glaucous Gull (hybrid),Larus smithsonianus/vegae/argentatus x hyperboreus,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-11C2B1A1,2021,2025,27,hybrid,American Wigeon x Green-winged Teal (hybrid),Mareca americana x Anas crecca,"","",x00646,hybrid,American Wigeon x Green-winged Teal (hybrid),Mareca americana x Anas crecca,"",American Wigeon x Green-winged Teal (hybrid),Mareca americana x Anas crecca,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-64C6F7F0,2015,2025,7,hybrid,American Wigeon x Mallard (hybrid),Mareca americana x Anas platyrhynchos,"","",x00611,hybrid,American Wigeon x Mallard (hybrid),Mareca americana x Anas platyrhynchos,"",American Wigeon x Mallard (hybrid),Mareca americana x Anas platyrhynchos,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-D280B584,2020,2021,7,hybrid,American Wigeon x Northern Pintail (hybrid),Mareca americana x Anas acuta,"","",x00196,hybrid,American Wigeon x Northern Pintail (hybrid),Mareca americana x Anas acuta,"",American Wigeon x Northern Pintail (hybrid),Mareca americana x Anas acuta,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
