"analysis_taxon_id","common_name","attached_roe_diver","surface_or_intertidal_roe_feeder","adult_herring_piscivore","shoreline_scavenger","wide_ranging_raptor","migration_confounded","mixed_flock_prone","count_heaping_prone","trait_role"
"atx_1930f23cc4f8","Surf Scoter",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"secondary_cross_species_synthesis_only"
"atx_3083477933a8","White-winged Scoter",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"secondary_cross_species_synthesis_only"
"atx_87b306550dba","Harlequin Duck",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"secondary_cross_species_synthesis_only"
"atx_725074cbfcb6","Glaucous-winged Gull",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"secondary_cross_species_synthesis_only"
"atx_e0e678a61ad7","Short-billed Gull",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"secondary_cross_species_synthesis_only"
"atx_4ae57d328ec6","Greater Scaup",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"secondary_cross_species_synthesis_only"
"atx_59441ff7abde","Brant",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"secondary_cross_species_synthesis_only"
"atx_40f730f5ad72","Long-tailed Duck",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"secondary_cross_species_synthesis_only"
"atx_1328b44be502","Black Scoter",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"secondary_cross_species_synthesis_only"
"atx_d7dd9536145c","Barrow's Goldeneye",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"secondary_cross_species_synthesis_only"
"atx_82312e6f2848","Common Goldeneye",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"secondary_cross_species_synthesis_only"
"atx_99238953638b","Bufflehead",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"secondary_cross_species_synthesis_only"
"atx_d002764a39e8","Lesser Scaup",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"secondary_cross_species_synthesis_only"
"atx_35518e24dfdd","Common Merganser",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"secondary_cross_species_synthesis_only"
"atx_c2d1fbbaf6d3","Red-breasted Merganser",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"secondary_cross_species_synthesis_only"
"atx_9ae1aa9b7fdf","Common Loon",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"secondary_cross_species_synthesis_only"
"atx_c34f23342a55","Pacific Loon",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"secondary_cross_species_synthesis_only"
"atx_04cf65098f13","Red-throated Loon",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"secondary_cross_species_synthesis_only"
"atx_ebf17f77fb66","Western Grebe",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"secondary_cross_species_synthesis_only"
"atx_6b4cfd1ab927","Horned Grebe",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"secondary_cross_species_synthesis_only"
"atx_86eda7ed9025","Red-necked Grebe",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"secondary_cross_species_synthesis_only"
"atx_35707a9578d5","Pelagic Cormorant",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"secondary_cross_species_synthesis_only"
"atx_98ca0000b734","Brandt's Cormorant",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"secondary_cross_species_synthesis_only"
"atx_a444854c6b66","Double-crested Cormorant",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"secondary_cross_species_synthesis_only"
"atx_fc0a9b777dcd","Bald Eagle",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"secondary_cross_species_synthesis_only"
"atx_7b80ddaff058","Great Blue Heron",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"secondary_cross_species_synthesis_only"
"atx_c9db024faf12","American Crow",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"secondary_cross_species_synthesis_only"
"atx_c12b832d2b03","California Gull",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"secondary_cross_species_synthesis_only"
"atx_7571c026ae99","American Herring Gull",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"secondary_cross_species_synthesis_only"
"atx_5a9a3495d0ea","Western Gull",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"secondary_cross_species_synthesis_only"
"atx_aa5353f6d6d2","Iceland Gull",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"secondary_cross_species_synthesis_only"
"atx_fadb8da1a816","Bonaparte's Gull",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"secondary_cross_species_synthesis_only"
"atx_08bb40b40c0a","Ring-billed Gull",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"secondary_cross_species_synthesis_only"
"atx_1812dd827ede","Surfbird",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"secondary_cross_species_synthesis_only"
"atx_15dd5efcd8d6","Black Turnstone",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"secondary_cross_species_synthesis_only"
"atx_b3d3ea90f9cb","Canada Goose",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"secondary_cross_species_synthesis_only"
"atx_815c98107028","Mallard",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"secondary_cross_species_synthesis_only"
"atx_a113baee5693","American Wigeon",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"secondary_cross_species_synthesis_only"
"atx_7d980a7c8c37","Northern Pintail",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"secondary_cross_species_synthesis_only"
"atx_8608f2ed61cf","Pigeon Guillemot",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"secondary_cross_species_synthesis_only"
"atx_6cbe5bbd310c","Rhinoceros Auklet",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"secondary_cross_species_synthesis_only"
"atx_136b0e66254b","Common Murre",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"secondary_cross_species_synthesis_only"
"atx_acf526bb8010","Marbled Murrelet",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"secondary_cross_species_synthesis_only"
"atx_eeefc021901e","Gadwall",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"secondary_cross_species_synthesis_only"
"atx_8f0345249398","Northern Shoveler",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"secondary_cross_species_synthesis_only"
"atx_04afbeb21fb0","Hooded Merganser",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"secondary_cross_species_synthesis_only"
"atx_3c2dd2107fbb","Clark's Grebe",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"secondary_cross_species_synthesis_only"
"atx_v2_000001","Eared Grebe",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"secondary_cross_species_synthesis_only"
"atx_v2_000002","Black Oystercatcher",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"secondary_cross_species_synthesis_only"
"atx_v2_000003","Dunlin",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"secondary_cross_species_synthesis_only"
"atx_v2_000004","Sanderling",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"secondary_cross_species_synthesis_only"
"atx_v2_000005","Rock Sandpiper",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"secondary_cross_species_synthesis_only"
"atx_v2_000006","Black-bellied Plover",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"secondary_cross_species_synthesis_only"
"atx_v2_000007","Common Raven",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"secondary_cross_species_synthesis_only"
"atx_v2_000008","Osprey",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"secondary_cross_species_synthesis_only"
"atx_v2_000009","Caspian Tern",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"secondary_cross_species_synthesis_only"
"atx_v2_000010","Common Tern",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"secondary_cross_species_synthesis_only"
"atx_v2_000011","Glaucous Gull",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"secondary_cross_species_synthesis_only"
