"analysis_taxon_id","common_name","primary_guild_id","primary_membership_weight","duplicate_in_primary_totals","approval_status"
"atx_1930f23cc4f8","Surf Scoter","roe_diving_seaduck",1,FALSE,"candidate_outcome_blind_design"
"atx_3083477933a8","White-winged Scoter","roe_diving_seaduck",1,FALSE,"candidate_outcome_blind_design"
"atx_87b306550dba","Harlequin Duck","roe_diving_seaduck",1,FALSE,"candidate_outcome_blind_design"
"atx_725074cbfcb6","Glaucous-winged Gull","gull_roe",1,FALSE,"candidate_outcome_blind_design"
"atx_e0e678a61ad7","Short-billed Gull","gull_roe",1,FALSE,"candidate_outcome_blind_design"
"atx_4ae57d328ec6","Greater Scaup","roe_diving_seaduck",1,FALSE,"candidate_outcome_blind_design"
"atx_59441ff7abde","Brant","surface_vegetation_roe",1,FALSE,"candidate_outcome_blind_design"
"atx_40f730f5ad72","Long-tailed Duck","roe_diving_seaduck",1,FALSE,"candidate_outcome_blind_design"
"atx_1328b44be502","Black Scoter","roe_diving_seaduck",1,FALSE,"candidate_outcome_blind_design"
"atx_d7dd9536145c","Barrow's Goldeneye","roe_diving_seaduck",1,FALSE,"candidate_outcome_blind_design"
"atx_82312e6f2848","Common Goldeneye","roe_diving_seaduck",1,FALSE,"candidate_outcome_blind_design"
"atx_99238953638b","Bufflehead","roe_diving_seaduck",1,FALSE,"candidate_outcome_blind_design"
"atx_d002764a39e8","Lesser Scaup","roe_diving_seaduck",1,FALSE,"candidate_outcome_blind_design"
"atx_35518e24dfdd","Common Merganser","piscivore_active_spawn",1,FALSE,"candidate_outcome_blind_design"
"atx_c2d1fbbaf6d3","Red-breasted Merganser","piscivore_active_spawn",1,FALSE,"candidate_outcome_blind_design"
"atx_9ae1aa9b7fdf","Common Loon","piscivore_active_spawn",1,FALSE,"candidate_outcome_blind_design"
"atx_c34f23342a55","Pacific Loon","piscivore_active_spawn",1,FALSE,"candidate_outcome_blind_design"
"atx_04cf65098f13","Red-throated Loon","piscivore_active_spawn",1,FALSE,"candidate_outcome_blind_design"
"atx_ebf17f77fb66","Western Grebe","piscivore_active_spawn",1,FALSE,"candidate_outcome_blind_design"
"atx_6b4cfd1ab927","Horned Grebe","piscivore_active_spawn",1,FALSE,"candidate_outcome_blind_design"
"atx_86eda7ed9025","Red-necked Grebe","piscivore_active_spawn",1,FALSE,"candidate_outcome_blind_design"
"atx_35707a9578d5","Pelagic Cormorant","piscivore_active_spawn",1,FALSE,"candidate_outcome_blind_design"
"atx_98ca0000b734","Brandt's Cormorant","piscivore_active_spawn",1,FALSE,"candidate_outcome_blind_design"
"atx_a444854c6b66","Double-crested Cormorant","piscivore_active_spawn",1,FALSE,"candidate_outcome_blind_design"
"atx_fc0a9b777dcd","Bald Eagle","shoreline_scavenger",1,FALSE,"candidate_outcome_blind_design"
"atx_7b80ddaff058","Great Blue Heron","shoreline_scavenger",1,FALSE,"candidate_outcome_blind_design"
"atx_c9db024faf12","American Crow","shoreline_scavenger",1,FALSE,"candidate_outcome_blind_design"
"atx_c12b832d2b03","California Gull","gull_roe",1,FALSE,"candidate_outcome_blind_design"
"atx_7571c026ae99","American Herring Gull","gull_roe",1,FALSE,"candidate_outcome_blind_design"
"atx_5a9a3495d0ea","Western Gull","gull_roe",1,FALSE,"candidate_outcome_blind_design"
"atx_aa5353f6d6d2","Iceland Gull","gull_roe",1,FALSE,"candidate_outcome_blind_design"
"atx_fadb8da1a816","Bonaparte's Gull","gull_roe",1,FALSE,"candidate_outcome_blind_design"
"atx_08bb40b40c0a","Ring-billed Gull","gull_roe",1,FALSE,"candidate_outcome_blind_design"
"atx_1812dd827ede","Surfbird","intertidal_roe_shorebird",1,FALSE,"candidate_outcome_blind_design"
"atx_15dd5efcd8d6","Black Turnstone","intertidal_roe_shorebird",1,FALSE,"candidate_outcome_blind_design"
"atx_b3d3ea90f9cb","Canada Goose","surface_vegetation_roe",1,FALSE,"candidate_outcome_blind_design"
"atx_815c98107028","Mallard","surface_vegetation_roe",1,FALSE,"candidate_outcome_blind_design"
"atx_a113baee5693","American Wigeon","surface_vegetation_roe",1,FALSE,"candidate_outcome_blind_design"
"atx_7d980a7c8c37","Northern Pintail","surface_vegetation_roe",1,FALSE,"candidate_outcome_blind_design"
"atx_8608f2ed61cf","Pigeon Guillemot","alcid_piscivore",1,FALSE,"candidate_outcome_blind_design"
"atx_6cbe5bbd310c","Rhinoceros Auklet","alcid_piscivore",1,FALSE,"candidate_outcome_blind_design"
"atx_136b0e66254b","Common Murre","alcid_piscivore",1,FALSE,"candidate_outcome_blind_design"
"atx_acf526bb8010","Marbled Murrelet","alcid_piscivore",1,FALSE,"candidate_outcome_blind_design"
"atx_eeefc021901e","Gadwall","falsification",1,FALSE,"candidate_outcome_blind_design"
"atx_8f0345249398","Northern Shoveler","falsification",1,FALSE,"candidate_outcome_blind_design"
"atx_04afbeb21fb0","Hooded Merganser","piscivore_active_spawn",1,FALSE,"candidate_outcome_blind_design"
"atx_3c2dd2107fbb","Clark's Grebe","piscivore_active_spawn",1,FALSE,"candidate_outcome_blind_design"
"atx_v2_000001","Eared Grebe","piscivore_active_spawn",1,FALSE,"candidate_outcome_blind_design"
"atx_v2_000002","Black Oystercatcher","intertidal_roe_shorebird",1,FALSE,"candidate_outcome_blind_design"
"atx_v2_000003","Dunlin","intertidal_roe_shorebird",1,FALSE,"candidate_outcome_blind_design"
"atx_v2_000004","Sanderling","intertidal_roe_shorebird",1,FALSE,"candidate_outcome_blind_design"
"atx_v2_000005","Rock Sandpiper","intertidal_roe_shorebird",1,FALSE,"candidate_outcome_blind_design"
"atx_v2_000006","Black-bellied Plover","intertidal_roe_shorebird",1,FALSE,"candidate_outcome_blind_design"
"atx_v2_000007","Common Raven","shoreline_scavenger",1,FALSE,"candidate_outcome_blind_design"
"atx_v2_000008","Osprey","shoreline_scavenger",1,FALSE,"candidate_outcome_blind_design"
"atx_v2_000009","Caspian Tern","piscivore_active_spawn",1,FALSE,"candidate_outcome_blind_design"
"atx_v2_000010","Common Tern","piscivore_active_spawn",1,FALSE,"candidate_outcome_blind_design"
"atx_v2_000011","Glaucous Gull","gull_roe",1,FALSE,"candidate_outcome_blind_design"
