common_name,scientific_name,legacy_analysis_taxon_id,guild_id,priority_tier,evidence_basis,expected_peak,expected_direction,species_detection_model,species_count_model,guild_model,taxonomy_status,initial_status
Surf Scoter,Melanitta perspicillata,atx_1930f23cc4f8,roe_diving_seaducks,A,direct local evidence,spawn through eggs,positive local count; redistribution possible,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
White-winged Scoter,Melanitta deglandi,atx_3083477933a8,roe_diving_seaducks,A,direct local evidence,spawn through eggs,positive local count; redistribution possible,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Harlequin Duck,Histrionicus histrionicus,atx_87b306550dba,roe_diving_seaducks,A,direct local evidence,spawn through eggs,positive local count,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Glaucous-winged Gull,Larus glaucescens,atx_725074cbfcb6,gull_roe_scavengers,A,direct regional mechanism,spawn through eggs,positive local count,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Short-billed Gull,Larus brachyrhynchus,atx_e0e678a61ad7,gull_roe_scavengers,A,direct regional mechanism,spawn through eggs,positive local count,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Greater Scaup,Aythya marila,atx_4ae57d328ec6,roe_diving_seaducks,B,direct/observational,spawn through eggs,positive,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Brant,Branta bernicla,atx_59441ff7abde,surface_vegetation_roe,B,direct local assemblage evidence,spawn through eggs,positive but migration-confounded,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Long-tailed Duck,Clangula hyemalis,atx_40f730f5ad72,roe_diving_seaducks,B,shared mechanism,spawn through eggs,positive,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Black Scoter,Melanitta americana,atx_1328b44be502,roe_diving_seaducks,B,direct elsewhere/shared mechanism,spawn through eggs,positive,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Barrow's Goldeneye,Bucephala islandica,atx_d7dd9536145c,roe_diving_seaducks,B,diet/shared mechanism,spawn through eggs,positive,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Common Goldeneye,Bucephala clangula,atx_82312e6f2848,roe_diving_seaducks,B,diet/shared mechanism,spawn through eggs,weak positive,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Bufflehead,Bucephala albeola,atx_99238953638b,roe_diving_seaducks,B,shared mechanism,spawn through eggs,positive,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Lesser Scaup,Aythya affinis,atx_d002764a39e8,roe_diving_seaducks,C,shared mechanism/taxonomic ambiguity,spawn through eggs,exploratory positive,screen_by_support,screen_by_support,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Common Merganser,Mergus merganser,atx_35518e24dfdd,active_spawn_piscivores,B,diet/plausible,active spawn,positive,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Red-breasted Merganser,Mergus serrator,atx_c2d1fbbaf6d3,active_spawn_piscivores,B,diet/plausible,active spawn,positive,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Common Loon,Gavia immer,atx_9ae1aa9b7fdf,active_spawn_piscivores,B,association/plausible,active spawn,weak positive,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Pacific Loon,Gavia pacifica,atx_c34f23342a55,active_spawn_piscivores,C,shared mechanism,active spawn,exploratory positive,screen_by_support,screen_by_support,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Red-throated Loon,Gavia stellata,atx_04cf65098f13,active_spawn_piscivores,C,shared mechanism,active spawn,exploratory positive,screen_by_support,screen_by_support,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Western Grebe,Aechmophorus occidentalis,atx_ebf17f77fb66,active_spawn_piscivores,B,association,active spawn,heterogeneous,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Horned Grebe,Podiceps auritus,atx_6b4cfd1ab927,active_spawn_piscivores,B,plausible/direct observations,active spawn,positive,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Red-necked Grebe,Podiceps grisegena,atx_86eda7ed9025,active_spawn_piscivores,B,plausible,active spawn,positive,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Pelagic Cormorant,Urile pelagicus,atx_35707a9578d5,active_spawn_piscivores,B,observational,active spawn,positive,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Brandt's Cormorant,Urile penicillatus,atx_98ca0000b734,active_spawn_piscivores,C,evidence outside pilot,active spawn,exploratory positive,screen_by_support,screen_by_support,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Double-crested Cormorant,Nannopterum auritum,atx_a444854c6b66,active_spawn_piscivores,B,plausible,active spawn,positive or null,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Bald Eagle,Haliaeetus leucocephalus,atx_fc0a9b777dcd,shoreline_scavengers_raptors,B,observational mechanism,active through post,positive,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Great Blue Heron,Ardea herodias,atx_7b80ddaff058,shoreline_scavengers_raptors,C,plausible shoreline predation,active through post,exploratory positive,screen_by_support,screen_by_support,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
