legacy_analysis_taxon_id,common_name,guild_id,evidence_class,expected_direction,expected_timing,v2_analysis_role,eligible_sog_detections_1988_2025,years_with_detection,sections_with_detection,numeric_records,x_records,x_percent,legacy_primary_envelope_detection_checklists,legacy_represented_events,count_strategy,status
atx_c9db024faf12,American Crow,shoreline_scavenger,plausible,positive_near_spawn_possible_outer_decline,active_spawn_and_shoreline_subsidy,species_and_guild,226127,38,23,215038,11089,4.90388144715138,7602,464,detection_plus_hurdle_and_upper_tail,include_v2
atx_725074cbfcb6,Glaucous-winged Gull,gull_roe,direct_strong,positive_near_spawn_possible_outer_decline,spawn_start_through_egg_availability,species_and_guild,181753,38,23,170471,11282,6.20732532612942,6819,471,detection_plus_hurdle_and_upper_tail,include_v2
atx_815c98107028,Mallard,surface_vegetation_roe,plausible,positive_near_spawn_possible_outer_decline,spawn_start_through_egg_availability,species_and_guild,163936,38,22,152351,11585,7.06678215889127,6623,427,detection_plus_hurdle_and_upper_tail,include_v2
atx_fc0a9b777dcd,Bald Eagle,shoreline_scavenger,observational,positive_near_spawn_possible_outer_decline,active_spawn_and_shoreline_subsidy,species_and_guild,157899,38,23,155405,2494,1.57949068708478,6893,494,detection_plus_hurdle_and_upper_tail,include_v2
atx_b3d3ea90f9cb,Canada Goose,surface_vegetation_roe,plausible,positive_near_spawn_possible_outer_decline,spawn_start_through_egg_availability,species_and_guild,137028,38,23,129335,7693,5.61418104329042,5056,376,detection_plus_hurdle_and_upper_tail,include_v2
atx_99238953638b,Bufflehead,roe_diving_seaduck,mechanistic,positive_near_spawn_possible_outer_decline,spawn_start_through_egg_availability,species_and_guild,100156,38,22,96670,3486,3.48057031031591,5179,442,detection_plus_hurdle_and_upper_tail,include_v2
atx_7b80ddaff058,Great Blue Heron,shoreline_scavenger,plausible,positive_near_spawn_possible_outer_decline,active_spawn_and_shoreline_subsidy,species_and_guild,97316,38,23,94616,2700,2.77446668584817,3110,374,detection_plus_hurdle_and_upper_tail,include_v2
atx_a113baee5693,American Wigeon,surface_vegetation_roe,plausible,positive_near_spawn_possible_outer_decline,spawn_start_through_egg_availability,species_and_guild,71176,38,22,65715,5461,7.67253006631449,4453,373,detection_plus_hurdle_and_upper_tail,include_v2
atx_a444854c6b66,Double-crested Cormorant,piscivore_active_spawn,plausible,positive_near_spawn_possible_outer_decline,adult_spawn_and_early_egg_period,species_and_guild,63636,38,22,61784,1852,2.91030234458483,2152,342,detection_plus_hurdle_and_upper_tail,include_v2
atx_35518e24dfdd,Common Merganser,piscivore_active_spawn,diet_evidence,positive_near_spawn_possible_outer_decline,adult_spawn_and_early_egg_period,species_and_guild,52849,38,22,51675,1174,2.22142330034627,2655,360,detection_plus_hurdle_and_upper_tail,include_v2
