"grid_version","dimension","candidate_id","candidate_label","design_role","parameters_json","acceptance_rule","selection_guard"
"stage2_v1","cooccurrence_eligibility","detection_community","detection community","candidate_primary","{""min_detections"":25,""min_events"":10,""min_years"":3,""valid_taxonomy"":true}","pairwise support is pooled across exposure; no spawn-phase or distance contrast","outcome_blind_support_only"
"stage2_v1","cooccurrence_eligibility","null_permutation","null permutation","support_or_sensitivity","{""min_released_cell"":20,""preserve"":[""prevalence"",""checklist_richness"",""effort"",""date"",""location"",""observer""]}","pairwise support is pooled across exposure; no spawn-phase or distance contrast","outcome_blind_support_only"
"stage2_v1","cooccurrence_eligibility","pairwise_descriptive","pairwise descriptive","support_or_sensitivity","{""min_each_species_detections"":25,""min_joint_positive_checklists"":20,""min_shared_events"":10,""exposure_specific_contrast"":false}","pairwise support is pooled across exposure; no spawn-phase or distance contrast","outcome_blind_support_only"
"stage2_v1","cooccurrence_eligibility","reduced_abundance_community","reduced abundance community","support_or_sensitivity","{""min_positive_numeric"":100,""min_positive_events"":40,""min_numeric_availability"":0.8}","pairwise support is pooled across exposure; no spawn-phase or distance contrast","outcome_blind_support_only"
"stage2_v1","count_state","ambiguity_guild_bounds","ambiguity guild bounds","registered_sensitivity","{""allowed_states"":""ambiguity_affected"",""named_species_allocation"":false,""same_guild_upper_bound_only"":true}","detection and positive-count components remain separate","outcome_blind_support_only"
"stage2_v1","count_state","detection","detection","core_component","{""allowed_states"":[""numeric"",""X"",""lower_bound"",""ambiguity_affected""],""output"":""binary_detection""}","detection and positive-count components remain separate","outcome_blind_support_only"
"stage2_v1","count_state","lower_bound_interval","lower bound interval","registered_sensitivity","{""allowed_states"":""lower_bound"",""primary_numeric_component"":false,""role"":""bounded_sensitivity""}","detection and positive-count components remain separate","outcome_blind_support_only"
"stage2_v1","count_state","ordinal_flock_size","ordinal flock size","registered_sensitivity","{""cutpoints_source"":""pooled_exposure_blind_marginal_counts"",""role"":""sensitivity""}","detection and positive-count components remain separate","outcome_blind_support_only"
"stage2_v1","count_state","positive_numeric","positive numeric","core_component","{""allowed_states"":""numeric"",""minimum_value"":1,""output"":""positive_reported_count""}","detection and positive-count components remain separate","outcome_blind_support_only"
"stage2_v1","count_state","upper_tail","upper tail","registered_sensitivity","{""thresholds"":[0.99,0.995],""winsorize_primary"":false,""role"":""sensitivity""}","detection and positive-count components remain separate","outcome_blind_support_only"
