"pooling_family_id_v2","component_evidence_id","stable_unit_id","region","contrast","canonical_model_id","unit_class","response_state","component_estimand_id","included_in_future_estimator","disposition_reason_code"
"pf2_014e32cc75613e964bccf940","ce2_006ad1376d31cdf41864d796","atx_c12b832d2b03","CC","time_late_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_03d400f517c46245c2800fbc","atx_9ae1aa9b7fdf","CC","time_immediate_pre","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_05aa881e7fb6a84273a5b7dd","atx_c2d1fbbaf6d3","CC","time_early_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_06b799320c2b55ad443e2916","atx_1812dd827ede","CC","time_late_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_08abe587045b5f5a304ab746","atx_6cbe5bbd310c","CC","time_spawn_start","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_08f5c81ac76e7d191d7b311d","atx_87b306550dba","CC","time_post","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_098ac28d3d6ca3519aa76a7c","atx_725074cbfcb6","CC","time_late_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_09ca5715913b3300e89782ef","atx_1812dd827ede","CC","time_spawn_start","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_0b5c3cf59e5f92ca4339b40b","atx_e0e678a61ad7","CC","time_post","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_0cbaf45ed1d4f5db69b9f697","atx_e0e678a61ad7","CC","time_early_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_0d63527708d9b9f371f35dcb","atx_a444854c6b66","CC","time_early_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
