model_id,stage4a_disposition,stage4a_role,execution_rule,rationale
M01,activated_core,core_biological_analysis,fit_and_report_regardless_of_direction,guild_hurdle_response
M02,activated_core,core_biological_analysis,fit_and_report_regardless_of_direction,species_hurdle_response
M03,deferred_pre_response,deferred,do_not_fit_stage4a,scope_reduction_before_response_access
M04,deferred_pre_response,deferred,do_not_fit_stage4a,scope_reduction_before_response_access
M05,activated_core,core_biological_analysis,fit_and_report_regardless_of_direction,time_distance_event_study
M06,deferred_pre_response,deferred,do_not_fit_stage4a,scope_reduction_before_response_access
M07,deferred_pre_response,deferred,do_not_fit_stage4a,scope_reduction_before_response_access
M08,activated_core,core_biological_analysis,fit_and_report_regardless_of_direction,near_far_mass_balance
M09,deferred_pre_response,deferred,do_not_fit_stage4a,scope_reduction_before_response_access
M10,deferred_pre_response,deferred,do_not_fit_stage4a,scope_reduction_before_response_access
M11,activated_component,hurdle_component_not_independent_evidence,fit_as_M01_M02_component_and_report,detection_component
M12,activated_component,hurdle_component_not_independent_evidence,fit_as_M01_M02_component_and_report,positive_numeric_lognormal_component
M13,deferred_pre_response,deferred,do_not_fit_stage4a,scope_reduction_before_response_access
M14,deferred_pre_response,deferred,do_not_fit_stage4a,scope_reduction_before_response_access
M15,deferred_pre_response,deferred,do_not_fit_stage4a,scope_reduction_before_response_access
M16,deferred_pre_response,deferred,do_not_fit_stage4a,scope_reduction_before_response_access
M17,deferred_pre_response,deferred,do_not_fit_stage4a,scope_reduction_before_response_access
M18,deferred_pre_response,deferred,do_not_fit_stage4a,scope_reduction_before_response_access
M19,deferred_pre_response,deferred,do_not_fit_stage4a,scope_reduction_before_response_access
M20,deferred_pre_response,deferred,do_not_fit_stage4a,scope_reduction_before_response_access
M21,deferred_pre_response,deferred,do_not_fit_stage4a,latent_factor_pilot_not_authorized
M22,deferred_pre_response,deferred,do_not_fit_stage4a,additional_community_model_not_authorized
M23,deferred_pre_response,deferred,do_not_fit_stage4a,phenology_not_authorized
M24,deferred_pre_response,deferred,do_not_fit_stage4a,scope_reduction_before_response_access
M25,deferred_pre_response,deferred,do_not_fit_stage4a,synthetic_control_not_authorized
M26,activated_diagnostic,observation_process_diagnostic,fit_and_report_regardless_of_direction,birder_visitation_process
M27,activated_diagnostic,placebo_diagnostic,fit_and_report_regardless_of_direction,false_date_placebo
M28,activated_diagnostic,placebo_diagnostic,fit_and_report_regardless_of_direction,false_location_placebo
M29,activated_diagnostic,specificity_falsification_panel,fit_Gadwall_and_Northern_Shoveler_and_report,frozen_specificity_panel_not_assumed_nonresponders
M30,deferred_pre_response,deferred,do_not_fit_stage4a,scope_reduction_before_response_access
M31,prospective_locked,future_confirmation,do_not_access_or_fit_stage4a,prospective_2026_2028_holdout
M32,activated_diagnostic,count_state_diagnostic,fit_and_report_regardless_of_direction,numeric_versus_unquantified_count_missingness
M33,deferred_pre_response,deferred,do_not_fit_stage4a,scope_reduction_before_response_access
M34,deferred_pre_response,deferred,do_not_fit_stage4a,cooccurrence_not_authorized
M35,deferred_pre_response,deferred,do_not_fit_stage4a,JSDM_GLLVM_not_authorized
M36,deferred_pre_response,deferred,do_not_fit_stage4a,additional_community_model_not_authorized
M37,deferred_pre_response,deferred,do_not_fit_stage4a,network_not_authorized
M38,deferred_pre_response,deferred,do_not_fit_stage4a,scope_reduction_before_response_access
M39,deferred_pre_response,deferred,do_not_fit_stage4a,scope_reduction_before_response_access
M40,activated_diagnostic,observation_process_diagnostic,fit_and_report_regardless_of_direction,observer_richness_and_reporting_process
M41,deferred_pre_response,deferred,do_not_fit_stage4a,behaviour_analysis_not_authorized
M42,deferred_pre_response,deferred,do_not_fit_stage4a,free_text_analysis_prohibited
M43,deferred_pre_response,deferred,do_not_fit_stage4a,phenology_and_lag_not_authorized
M44,deferred_pre_response,deferred,do_not_fit_stage4a,occupancy_not_authorized
M45,deferred_pre_response,deferred,do_not_fit_stage4a,scope_reduction_before_response_access
