"v1_pooling_family_id","region","outcome","contrast","affected_row_count","model_id_count","unit_class_count","duplicate_evidence_count","invalidation_status","scope_note"
"pf1_invalid_018c6176dea8541e238f406b","WCVI","detection","distance_ring_5_10",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_0790bdd23ad4ec35ca91aab6","SoG","positive_count","distance_ring_4_5",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_080bbe820b74381be8d17f48","WCVI","positive_count","distance_ring_3_4",55,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_0dc05ad77c2e152dd4740972","WCVI","detection","distance_ring_4_5",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_0e90a450de32593184d80072","SoG","positive_count","active_near_minus_contemporaneous_reference",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_11fea910324219d3c61cc8aa","WCVI","positive_count","time_spawn_start",54,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_165b678783a19deb0c84dcc2","CC","positive_count","distance_ring_1_2",45,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_1a31a9daabbd39a2121c5e9d","SoG","detection","distance_ring_5_10",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_1a4c69f6a66d495840362f26","CC","positive_count","distance_ring_3_4",44,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_1e90d99dddb8ce0e272c3448","WCVI","positive_count","distance_ring_0p5_1",56,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_25311982c16594d02dab8842","CC","positive_count","time_late_egg",45,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_25a95d6c50779ff5c256f89d","CC","detection","time_post",55,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_27f45e4c54181fd97f5e553f","CC","positive_count","distance_ring_4_5",45,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_28b7f88b0e9f47485b0e7661","SoG","positive_count","distance_ring_1_2",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_28e4c859ae87821c636c1ee0","CC","detection","distance_ring_0p5_1",55,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_2986079c276e8f79b517ba9f","SoG","positive_count","time_post",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_29baa42e2b93a2732402d65c","SoG","positive_count","time_immediate_pre",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_2a1c64b55421f9bee81c50e1","WCVI","positive_count","time_late_egg",55,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_2b2e464904af8994b27f9e66","SoG","detection","time_early_egg",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_30053bab62d9157eb11c8f5a","WCVI","detection","time_post",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_3778fbc855ae93f1487e67ec","WCVI","positive_count","distance_ring_0_0p5",56,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_37d818a311f5d92b6f38d868","WCVI","positive_count","distance_ring_5_10",55,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_38b10d77d817e2d0a42206e0","WCVI","detection","active_near_minus_contemporaneous_reference",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_3c24bb2d21584d8592be12c8","WCVI","positive_count","distance_ring_2_3",55,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_3e69794e3b53358d2c5e814e","CC","positive_count","active_near",90,3,2,45,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_3ed760cdfbf38c68bf236a5f","SoG","positive_count","distance_ring_0_0p5",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_4102cdec9dd872dfeb943033","SoG","detection","distance_ring_0_0p5",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_425c9bcbb901b9ebd4ba2c9f","CC","positive_count","distance_ring_0_0p5",44,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_45d084e470225895b6965312","WCVI","detection","time_immediate_pre",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_49f6d82ed2c5d89194689e12","WCVI","detection","distance_ring_1_2",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_4a7826a51b8d91a0efef1e1a","WCVI","positive_count","active_near_minus_contemporaneous_reference",56,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_4dadba930b02e77a6a987d54","SoG","detection","distance_ring_0p5_1",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_55483fd342efc3665ebf0c6b","CC","detection","time_spawn_start",55,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_56dd44bcdaef2e0479b62882","SoG","positive_count","distance_ring_3_4",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_665729f1f0cb9c1baa01c691","CC","detection","distance_ring_5_10",55,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_682f240b4e95e7ce2e678bdd","WCVI","positive_count","time_post",56,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_6ea776356e73590c0f25870e","CC","detection","distance_ring_1_2",55,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_708f10ae271ce1eea1f86b09","CC","positive_count","distance_ring_0p5_1",41,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_74088d49a3f858f154dfb6a6","CC","detection","time_late_egg",55,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_74d6dc0a39b91701cdbfb551","SoG","detection","distance_ring_3_4",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_766001c9a8c73d47add689e1","CC","detection","distance_ring_4_5",55,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_7811aa1b4333160e17b33b89","CC","positive_count","time_early_egg",45,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_7a81365fb3dc336cf424877b","SoG","detection","active_near",116,4,3,57,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_7baad27c4efabd9f52d7d5c2","SoG","positive_count","distance_ring_5_10",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_7fd37e110cb54306e562f54a","CC","detection","distance_ring_0_0p5",55,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_81b3094e049a616fcb792c2a","WCVI","detection","active_near",116,4,3,57,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_896227bc11bcd855207c2be8","SoG","detection","distance_ring_1_2",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_8d765a059f977f8d910e6058","SoG","detection","time_post",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_8efa91ed75c3bb4ba3df1982","WCVI","positive_count","distance_ring_4_5",55,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_91f66c92bf8853aa81c88f19","WCVI","positive_count","distance_ring_1_2",56,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_935d92d2cddccb5470502cf5","SoG","detection","time_late_egg",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_93d39e3a669c37672ae65d63","SoG","detection","time_immediate_pre",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_9625fd5789fae8127b5be4b7","SoG","detection","active_near_minus_contemporaneous_reference",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_9d11812f1b3103bdeab863fe","WCVI","positive_count","time_early_egg",56,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_9f2d0911aff04ccfd2b96d7a","SoG","positive_count","time_early_egg",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_a2469838b07dc7e62a94488e","SoG","positive_count","distance_ring_0p5_1",57,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
"pf1_invalid_a61e11bc34d92f5b7451e925","CC","detection","time_early_egg",55,1,2,0,"SUPERSEDED_UNDERCOUNT_SUBSET_ALL_VALUES_REMAIN_INVALID","Legacy 4,890/84 undercount; literal NA region was omitted by parsing"
