"analysis_taxon_id","species","outcome","comparison","primary_estimate","primary_standard_error","primary_conf_low","primary_conf_high","primary_ratio","primary_ratio_conf_low","primary_ratio_conf_high","primary_q_value","primary_status","primary_direction","sensitivity_estimate","sensitivity_standard_error","sensitivity_conf_low","sensitivity_conf_high","sensitivity_ratio","sensitivity_ratio_conf_low","sensitivity_ratio_conf_high","sensitivity_q_value","sensitivity_status","sensitivity_direction","sign_agreement","estimate_difference_from_primary","primary_interval_excludes_zero","sensitivity_interval_excludes_zero","confidence_intervals_overlap","bh_threshold_crossing","interpretation_change_class","interpretation_changes_materially","interpretation_rule","model_n","model_event_blocks","model_observer_clusters","model_generalized_locations","retained_checklists","retained_fraction","changed_component"
"atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","active_minus_pre14",0.0204389407246026,0.0378551599404455,-0.053755809387674,0.0946336908368791,1.02064924623713,0.947663488777562,1.09925611377959,0.744314368058393,"completed","positive",-0.0373426568539856,0.0854317529799086,-0.204785815830729,0.130100502122758,0.963345981684192,0.814821819657378,1.13894284374626,0.850993348392021,"completed","negative",FALSE,-0.0577815975785882,FALSE,FALSE,TRUE,FALSE,"direction_reversal__both_intervals_include_zero",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",217200,58,29248,22980,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","active_minus_pre14",0.0190583583400087,0.0198704051428351,-0.0198869200981676,0.0580036367781851,1.01924112810213,0.980309520343677,1.05971884966567,0.500794317612144,"completed","positive",0.0299193320391987,0.0445822027996212,-0.0574601797995197,0.117298843877917,1.03037141264022,0.944159486257908,1.12445541610139,0.588237243444852,"completed","positive",TRUE,0.01086097369919,FALSE,FALSE,TRUE,FALSE,"same_direction__compatible_magnitude",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",20340,54,4798,2045,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_04cf65098f13","Red-throated Loon","checklist_reporting","active_minus_pre14",-0.00129015980844558,0.139083614428681,-0.273889034928316,0.271308715311424,0.998710672089921,0.760416450245369,1.31167994356836,0.992598813068013,"completed","negative",0.355609984840083,0.268572421632621,-0.170782288800561,0.882002258480727,1.42705086824149,0.843005085142842,2.41573178672312,0.427065365987613,"completed","positive",FALSE,0.356900144648529,FALSE,FALSE,TRUE,FALSE,"direction_reversal__both_intervals_include_zero",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",217200,58,29248,22980,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","active_minus_pre14",0.0438395787883444,0.0945672359381801,-0.14150879776799,0.229187955344679,1.04481473099849,0.868047538670448,1.25757838537675,0.771927823788218,"completed","positive",,,,,,,,,"failed_insufficient_support",,,,FALSE,FALSE,,,"not_assessable__failed_or_unsupported_component",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",1488,,,,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","active_minus_pre14",-0.0326890335453941,0.066050758322716,-0.162146141009477,0.0967680739186883,0.967839478410006,0.850316929285178,1.10160485309449,0.744798270375646,"completed","negative",0.126580636731846,0.136386175407528,-0.140731355056072,0.393892628519763,1.13494096541661,0.8687226583024,1.4827413359954,0.597045254481204,"completed","positive",FALSE,0.15926967027724,FALSE,FALSE,TRUE,FALSE,"direction_reversal__both_intervals_include_zero",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",217200,58,29248,22980,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","active_minus_pre14",0.0272248294295547,0.0647336245527855,-0.0996507432826425,0.154100402141752,1.02759881124831,0.9051534937749,1.16660801084146,0.775181948538418,"completed","positive",-0.0608645693437884,0.115987844500653,-0.288196567209501,0.166467428521924,0.940950664713178,0.74961422817901,1.1811250642547,0.647106567022132,"completed","negative",FALSE,-0.0880893987733431,FALSE,FALSE,TRUE,FALSE,"direction_reversal__both_intervals_include_zero",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",4549,45,1366,602,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_1328b44be502","Black Scoter","checklist_reporting","active_minus_pre14",0.126173044820064,0.0661257063169389,-0.00343095801340909,0.255777047653537,1.13447846692048,0.996574920997567,1.29146476074063,0.142436358995875,"completed","positive",0.617567346188216,0.254845211647869,0.118079909725905,1.11705478265053,1.85441140938847,1.12533403290861,3.05584082121989,0.0628019221877965,"completed","positive",TRUE,0.491394301368152,FALSE,TRUE,TRUE,FALSE,"same_direction__compatible_magnitude",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",217178,58,29246,22978,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","active_minus_pre14",0.011957946660692,0.0679416302227821,-0.121205201626899,0.145121094948283,1.01202972874161,0.885852162636033,1.15617956929641,0.87940898823518,"completed","positive",,,,,,,,,"failed_insufficient_support",,,,FALSE,FALSE,,,"not_assessable__failed_or_unsupported_component",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",1684,,,,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_136b0e66254b","Common Murre","checklist_reporting","active_minus_pre14",-0.136177431298835,0.095019174655233,-0.322411591463813,0.0500567288661432,0.872687776625303,0.724399972117168,1.05133073548494,0.291480704191967,"completed","negative",0.328000626642795,0.247300589928421,-0.156699622972418,0.812700876258009,1.3881898421883,0.854960830844614,2.2539875143181,0.427065365987613,"completed","positive",FALSE,0.46417805794163,FALSE,FALSE,TRUE,FALSE,"direction_reversal__both_intervals_include_zero",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",217200,58,29248,22980,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_136b0e66254b","Common Murre","conditional_positive_numeric_count","active_minus_pre14",-0.162888411500191,0.118931599366686,-0.395990062882642,0.0702132398822595,0.849685998310505,0.673013383717135,1.07273690715839,0.306930551311193,"completed","negative",0.496829924671792,0.302901616166626,-0.09684633387377,1.09050618321735,1.64350297564105,0.907695477464807,2.97577998128311,0.1533039372039,"completed","positive",FALSE,0.659718336171983,FALSE,FALSE,TRUE,FALSE,"direction_reversal__both_intervals_include_zero",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",2023,41,844,485,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_15dd5efcd8d6","Black Turnstone","checklist_reporting","active_minus_pre14",-0.0451551050743009,0.0677933548048174,-0.178027638882888,0.0877174287342866,0.955849213271549,0.836919291654811,1.09167960115403,0.670604342596355,"completed","negative",-0.117208939462864,0.159004041949064,-0.428851135079325,0.194433256153597,0.889399343127359,0.651256871267696,1.21462241160789,0.705959138596351,"completed","negative",TRUE,-0.0720538343885633,FALSE,FALSE,TRUE,FALSE,"same_direction__compatible_magnitude",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",217200,58,29248,22980,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_15dd5efcd8d6","Black Turnstone","conditional_positive_numeric_count","active_minus_pre14",0.112202075773113,0.0674045247337424,-0.0199083651000617,0.244312516646287,1.11873890783466,0.980288497829571,1.27674327167376,0.183982928081028,"completed","positive",0.168522976750395,0.138741948462529,-0.103406245381073,0.440452198881864,1.18355542078993,0.901760562996721,1.5534095097551,0.306815874316403,"completed","positive",TRUE,0.0563209009772823,FALSE,FALSE,TRUE,FALSE,"same_direction__compatible_magnitude",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",4421,43,1348,652,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
