"analysis_taxon_id","common_name","guild","PC1","PC2","PC3","PC4","PC5"
"atx_04afbeb21fb0","Hooded Merganser","piscivore_active_spawn",-1.14688689695615,0.167864978385592,0.169379379620962,-0.357620086704975,0.156876447505518
"atx_04cf65098f13","Red-throated Loon","piscivore_active_spawn",-1.02294666007689,0.00774942709888499,-1.20885209497212,-0.100542159869443,-0.648654494188681
"atx_08bb40b40c0a","Ring-billed Gull","gull_roe",-4.7608756431069,-1.32788442783263,0.287222088887246,0.230768090917053,-0.0142066730968798
"atx_1328b44be502","Black Scoter","roe_diving_seaduck",0.535167781319094,1.75844611088194,-0.895140470097527,-0.494606410482585,0.200339807678845
"atx_136b0e66254b","Common Murre","alcid_piscivore",-0.169806941924967,-0.0525139004647006,2.47279732731442,-1.32972340015309,-0.914620131989216
"atx_15dd5efcd8d6","Black Turnstone","intertidal_roe_shorebird",0.0693211582767467,0.319629919451547,0.158478633597811,0.0694060682145652,0.701848019007849
"atx_1930f23cc4f8","Surf Scoter","roe_diving_seaduck",0.288507163108955,-1.2829120756531,-0.708217956885162,0.508719793567745,0.777165045590342
"atx_3083477933a8","White-winged Scoter","roe_diving_seaduck",1.85084605669055,1.35372795554577,-0.502167634313806,0.340597366520896,0.816567490192459
"atx_35518e24dfdd","Common Merganser","piscivore_active_spawn",-0.0704257657984708,0.147382035638914,0.486484714396794,0.680819233216371,-0.0472755456835042
"atx_35707a9578d5","Pelagic Cormorant","piscivore_active_spawn",-0.38538272415115,0.366383291274316,-0.247495606994978,-0.109625160173586,-0.439324993646458
"atx_40f730f5ad72","Long-tailed Duck","roe_diving_seaduck",3.30345305430185,-1.60678553762384,-1.08808981888068,0.776728019690512,0.210887722777548
"atx_4ae57d328ec6","Greater Scaup","roe_diving_seaduck",1.36477191781421,-1.74769654276579,-1.70293648841324,-0.784739399268433,-0.788543544413955
"atx_59441ff7abde","Brant","surface_vegetation_roe",-0.613264463953885,0.131381824909296,-0.691626639701187,0.259599391457281,-0.527896502975035
"atx_5a9a3495d0ea","Western Gull","gull_roe",-0.282125969356234,0.120144657765183,1.06423860792447,0.282657621081901,0.246935234027604
"atx_6b4cfd1ab927","Horned Grebe","piscivore_active_spawn",-2.05306571063113,0.457302265966475,-0.00215020166926339,-0.0737726988449703,0.350162246206555
"atx_725074cbfcb6","Glaucous-winged Gull","gull_roe",1.32791458373591,0.232160055624528,0.678954259608206,1.17600061058445,-0.260251530244887
"atx_7571c026ae99","American Herring Gull","gull_roe",-2.78398990683981,0.534348579485936,0.0122392082796409,0.243584983636298,0.543761933115558
