"outcome","status","model_components","analysis_group"
"checklist_reporting","completed",48,"primary_and_finite_x"
"conditional_positive_numeric_count","completed",44,"primary_and_finite_x"
"finite_numeric_vs_x","completed",11,"primary_and_finite_x"
"conditional_positive_numeric_count","completed_with_convergence_warning",1,"primary_and_finite_x"
"conditional_positive_numeric_count","completed_with_singular_warning",1,"primary_and_finite_x"
"finite_numeric_vs_x","completed_with_singular_warning",30,"primary_and_finite_x"
"conditional_positive_numeric_count","failed_insufficient_support",3,"primary_and_finite_x"
"finite_numeric_vs_x","failed_insufficient_support",7,"primary_and_finite_x"
"checklist_reporting","failed_numerical_fit_no_fallback",1,"primary_and_finite_x"
"finite_numeric_vs_x","failed_numerical_fit_no_fallback",1,"primary_and_finite_x"
"checklist_reporting","completed",48,"binary_any_link"
"conditional_positive_numeric_count","completed",45,"binary_any_link"
"conditional_positive_numeric_count","completed_with_singular_warning",1,"binary_any_link"
"conditional_positive_numeric_count","failed_insufficient_support",3,"binary_any_link"
"checklist_reporting","failed_numerical_fit_no_fallback",1,"binary_any_link"
