"analysis_taxon_id","species","reported_occurrences","finite_vs_x_denominator","finite_numeric_reports","unquantified_x_reports","finite_numeric_proportion","event_blocks","observer_clusters","generalized_locations"
"atx_04afbeb21fb0","Hooded Merganser",20644,20638,20340,298,0.985560616338793,54,4858,2069
"atx_04cf65098f13","Red-throated Loon",1494,1493,1488,,,48,671,332
"atx_08bb40b40c0a","Ring-billed Gull",4754,4753,4549,204,0.95707973911214,46,1407,612
"atx_1328b44be502","Black Scoter",1781,1774,1681,93,0.947576099210823,42,714,424
"atx_136b0e66254b","Common Murre",2062,2060,2023,37,0.982038834951456,41,862,494
"atx_15dd5efcd8d6","Black Turnstone",4492,4491,4421,70,0.984413270986417,43,1373,658
"atx_1812dd827ede","Surfbird",1079,1077,1063,,,33,472,207
"atx_1930f23cc4f8","Surf Scoter",17168,17152,16626,526,0.96933302238806,57,3978,2219
"atx_3083477933a8","White-winged Scoter",4935,4930,4706,224,0.954563894523327,50,1568,867
"atx_35518e24dfdd","Common Merganser",28183,28129,27743,386,0.986277507198976,58,5809,3136
"atx_35707a9578d5","Pelagic Cormorant",19153,19147,18881,266,0.98610748420118,53,4330,2167
"atx_40f730f5ad72","Long-tailed Duck",3070,3062,2946,116,0.962116263879817,44,1068,620
"atx_4ae57d328ec6","Greater Scaup",4708,4581,4396,185,0.959615804409518,52,1533,721
"atx_59441ff7abde","Brant",3917,3910,3796,114,0.970843989769821,41,1371,572
"atx_5a9a3495d0ea","Western Gull",727,719,704,,,32,369,205
"atx_6b4cfd1ab927","Horned Grebe",13259,13234,13038,196,0.98518966298927,55,3072,1760
"atx_6cbe5bbd310c","Rhinoceros Auklet",1833,1832,1816,,,36,752,303
"atx_725074cbfcb6","Glaucous-winged Gull",89556,89309,84838,4471,0.949937856207101,57,13618,8149
"atx_7571c026ae99","American Herring Gull",1957,1946,1844,102,0.947584789311408,47,845,516
"atx_7b80ddaff058","Great Blue Heron",51018,50992,50285,707,0.986135080012551,56,9834,4517
"atx_7d980a7c8c37","Northern Pintail",15322,15318,14278,1040,0.932106019062541,52,4047,1216
"atx_815c98107028","Mallard",85899,85878,81526,4352,0.949323458860244,57,14716,6669
"atx_82312e6f2848","Common Goldeneye",21750,21399,20850,549,0.974344595541848,55,4600,2428
"atx_8608f2ed61cf","Pigeon Guillemot",6406,6402,6342,60,0.990627928772259,54,2043,1099
"atx_86eda7ed9025","Red-necked Grebe",8232,8229,8109,120,0.98541742617572,53,2077,1280
"atx_87b306550dba","Harlequin Duck",12221,12219,12030,189,0.984532285784434,56,3027,1549
"atx_98ca0000b734","Brandt's Cormorant",2610,2607,2573,34,0.986958189489835,44,1067,586
"atx_99238953638b","Bufflehead",51310,51294,50039,1255,0.975533200764222,56,9433,4365
"atx_9ae1aa9b7fdf","Common Loon",15581,15571,15357,214,0.986256502472545,56,3528,2141
"atx_a113baee5693","American Wigeon",36606,36579,34655,1924,0.947401514530195,56,7095,3042
"atx_a444854c6b66","Double-crested Cormorant",29460,29453,29011,442,0.984993039758259,54,5952,2845
"atx_aa5353f6d6d2","Iceland Gull",4763,4665,4307,358,0.923258306538049,47,1284,878
"atx_acf526bb8010","Marbled Murrelet",3120,3118,3103,,,48,1006,645
"atx_b3d3ea90f9cb","Canada Goose",71195,70918,68153,2765,0.961011308835557,58,12305,6358
"atx_c12b832d2b03","California Gull",7038,7032,6644,388,0.944823663253697,55,2010,1098
"atx_c2d1fbbaf6d3","Red-breasted Merganser",13631,13592,13331,261,0.980797527957622,55,3405,1959
"atx_c34f23342a55","Pacific Loon",6182,6177,6049,128,0.979277966650478,50,1776,1065
"atx_c9db024faf12","American Crow",116210,116193,112180,4013,0.965462635442755,58,16214,11370
"atx_d002764a39e8","Lesser Scaup",9786,9595,9195,400,0.958311620635748,49,2717,756
"atx_d7dd9536145c","Barrow's Goldeneye",11234,10962,10694,268,0.975551906586389,55,2498,1528
"atx_e0e678a61ad7","Short-billed Gull",23236,23227,22002,1225,0.947259654712188,57,4737,2541
"atx_ebf17f77fb66","Western Grebe",1365,1362,1343,,,48,649,455
"atx_fadb8da1a816","Bonaparte's Gull",4132,4132,4025,107,0.974104549854792,47,1392,754
"atx_fc0a9b777dcd","Bald Eagle",84220,84185,83359,826,0.990188275821108,58,14683,9480
"atx_v2_000002","Black Oystercatcher",13761,13756,13626,130,0.990549578365804,54,3288,1707
"atx_v2_000003","Dunlin",6089,6087,5908,179,0.970593067192377,43,1925,662
"atx_v2_000006","Black-bellied Plover",4054,4053,3973,80,0.98026153466568,35,1248,498
"atx_v2_000007","Common Raven",61628,61617,60940,677,0.989012772449162,57,10435,8216
"atx_v2_000011","Glaucous Gull",189,186,185,,,26,125,68
