"analysis_taxon_id","species","term","zone","period","link_count","checklist_rows","reported_checklists","reporting_proportion","positive_finite_numeric_reports","positive_finite_numeric_median","unquantified_x_reports","suppressed_below_20","observed_unadjusted"
"atx_04afbeb21fb0","Hooded Merganser","es_near_baseline","near","baseline",0,209123,19657,0.0939973125863726,19371,2,280,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_baseline","near","baseline",1,4810,659,0.137006237006237,650,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_baseline","near","baseline",2,1756,206,0.117312072892938,199,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_baseline","near","baseline",3,618,56,0.0906148867313916,56,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_baseline","near","baseline",4,449,28,0.0623608017817372,26,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_baseline","near","baseline",5,205,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_baseline","near","baseline",6,149,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_baseline","near","baseline",7,58,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_baseline","near","baseline",8,26,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_baseline","near","baseline",9,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_baseline","reference","baseline",0,191208,16889,0.0883278942303669,16656,2,227,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_baseline","reference","baseline",1,14661,2364,0.161244117045222,2321,2,43,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_baseline","reference","baseline",2,4064,566,0.139271653543307,553,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_baseline","reference","baseline",3,1508,201,0.133289124668435,199,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_baseline","reference","baseline",4,884,68,0.0769230769230769,65,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_baseline","reference","baseline",5,1110,177,0.159459459459459,174,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_baseline","reference","baseline",6,831,107,0.128760529482551,105,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_baseline","reference","baseline",7,755,86,0.113907284768212,83,3,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_baseline","reference","baseline",8,464,45,0.0969827586206897,45,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_baseline","reference","baseline",9,371,30,0.0808625336927224,30,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_baseline","reference","baseline",10,396,39,0.0984848484848485,38,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_baseline","reference","baseline",11,319,29,0.0909090909090909,29,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_baseline","reference","baseline",12,308,33,0.107142857142857,32,2.5,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_baseline","reference","baseline",13,125,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_baseline","reference","baseline",14,74,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_baseline","reference","baseline",15,30,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_baseline","reference","baseline",16,55,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_baseline","reference","baseline",17,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_baseline","reference","baseline",18,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_baseline","reference","baseline",19,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_baseline","reference","baseline",20,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_early_pre","near","early_pre",0,212688,20126,0.0946268712856391,19831,2,289,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_early_pre","near","early_pre",1,3152,415,0.131662436548223,408,2,,FALSE,TRUE
