"analysis_version","analysis_taxon_id","species","outcome","engine","n","event_blocks","observer_clusters","generalized_locations","converged","singular_fit","rank_deficient","optimizer_code","convergence_message","maximum_absolute_gradient","event_block_variance","observer_variance","location_variance","residual_variance","reproduction_max_abs_estimate_difference","status"
"editorial_requested_analysis_v1","atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,0.230008615277079,0.213659695825484,4.94372011240861,,4.16333634234434e-17,"completed"
"editorial_requested_analysis_v1","atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","lme4_lmer_REML",20340,54,4798,2045,TRUE,FALSE,FALSE,0,"",0.0415642352891155,0.0407597026802645,0.0175589354110765,0.0681200006305191,0.435541061531446,2.94902990916057e-17,"completed"
"editorial_requested_analysis_v1","atx_04cf65098f13","Red-throated Loon","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,0.39248826341286,1.20954671881361,7.7190957653702,,1.38777878078145e-17,"completed"
"editorial_requested_analysis_v1","atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","lme4_lmer_REML",1488,48,668,329,TRUE,FALSE,FALSE,0,"",0.00556478880753275,0.0162544044716838,0.0413134060924552,0.0352382350243631,0.430927573304538,4.5102810375397e-17,"completed"
"editorial_requested_analysis_v1","atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,1.98529858033744,0.85245002785175,4.09203426344412,,2.22044604925031e-16,"completed"
"editorial_requested_analysis_v1","atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","lme4_lmer_REML",4549,45,1366,602,TRUE,FALSE,FALSE,0,"",0.034436525311321,0.074453169078746,0.103431316046488,0.164098305154483,0.900842116446596,2.4980018054066e-16,"completed"
"editorial_requested_analysis_v1","atx_1328b44be502","Black Scoter","checklist_reporting","lme4_glmer_nAGQ0",217178,58,29246,22978,TRUE,FALSE,FALSE,0,"",,2.08042064773473,0.459300946668282,9.32497616745011,,4.16333634234434e-17,"completed"
"editorial_requested_analysis_v1","atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","lme4_lmer_REML",1684,42,688,406,TRUE,FALSE,FALSE,0,"",0.00332696345139993,0.31099806451424,0.0938719523931343,0.29834166320849,1.37301868176454,2.22044604925031e-16,"completed"
"editorial_requested_analysis_v1","atx_136b0e66254b","Common Murre","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,1.17411264987823,1.46174902825938,12.8761188295182,,4.85722573273506e-17,"completed"
"editorial_requested_analysis_v1","atx_136b0e66254b","Common Murre","conditional_positive_numeric_count","lme4_lmer_REML",2023,41,844,485,TRUE,FALSE,FALSE,0,"",0.00390823061025003,0.1500154212087,0.14032604763257,0.296023376882632,1.94233601784963,2.77555756156289e-16,"completed"
"editorial_requested_analysis_v1","atx_15dd5efcd8d6","Black Turnstone","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,2.75908753975023,0.354549863336557,12.5965416172305,,2.77555756156289e-17,"completed"
"editorial_requested_analysis_v1","atx_15dd5efcd8d6","Black Turnstone","conditional_positive_numeric_count","lme4_lmer_REML",4421,43,1348,652,TRUE,FALSE,FALSE,0,"",0.00799952431407291,0.0968925908954901,0.0225891360664001,0.283352108812503,1.08633107166385,2.77555756156289e-16,"completed"
"editorial_requested_analysis_v1","atx_1812dd827ede","Surfbird","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,0.40758836142329,0.308572825554338,17.377378913594,,4.44089209850063e-16,"completed"
"editorial_requested_analysis_v1","atx_1812dd827ede","Surfbird","conditional_positive_numeric_count","lme4_lmer_REML",1063,,,,FALSE,,,,"failed_insufficient_support",,,,,,,"failed_insufficient_support"
"editorial_requested_analysis_v1","atx_1930f23cc4f8","Surf Scoter","checklist_reporting","lme4_glmer_nAGQ0",217183,58,29247,22979,TRUE,FALSE,FALSE,0,"",,1.07374374716377,0.793328148115708,12.1752503157956,,4.33680868994202e-17,"completed"
"editorial_requested_analysis_v1","atx_1930f23cc4f8","Surf Scoter","conditional_positive_numeric_count","lme4_lmer_REML",16632,57,3846,2163,TRUE,FALSE,FALSE,0,"",0.0107367304735817,0.261489911929462,0.134995760334479,0.613262980096866,2.08534474213426,4.16333634234434e-16,"completed"
"editorial_requested_analysis_v1","atx_3083477933a8","White-winged Scoter","checklist_reporting","lme4_glmer_nAGQ0",217199,58,29248,22980,TRUE,FALSE,FALSE,0,"",,0.888713385475864,0.853904455301967,10.0548949118014,,3.33066907387547e-16,"completed"
"editorial_requested_analysis_v1","atx_3083477933a8","White-winged Scoter","conditional_positive_numeric_count","lme4_lmer_REML",4706,50,1511,837,TRUE,FALSE,FALSE,0,"",0.00215592081076466,0.0960941575646834,0.211809636444791,0.528453125998371,1.61838970829629,4.85722573273506e-16,"completed"
"editorial_requested_analysis_v1","atx_35518e24dfdd","Common Merganser","checklist_reporting","lme4_glmer_nAGQ0",217093,58,29239,22972,TRUE,FALSE,FALSE,0,"",,0.145284831930367,0.245353886193792,3.97042311540352,,3.05311331771918e-16,"completed"
"editorial_requested_analysis_v1","atx_35518e24dfdd","Common Merganser","conditional_positive_numeric_count","lme4_lmer_REML",27776,58,5707,3099,TRUE,FALSE,FALSE,0,"",0.0513377744937316,0.0484097313384187,0.0259840997854337,0.15296979074017,0.800063774830209,1.11022302462516e-16,"completed"
"editorial_requested_analysis_v1","atx_35707a9578d5","Pelagic Cormorant","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,0.0866895472732662,0.984100523437517,11.8211825922531,,3.81639164714898e-17,"completed"
"editorial_requested_analysis_v1","atx_35707a9578d5","Pelagic Cormorant","conditional_positive_numeric_count","lme4_lmer_REML",18881,53,4258,2147,TRUE,FALSE,FALSE,0,"",0.0349412221112289,0.0218519409811211,0.0997647089321432,0.256298933512177,0.595091490249894,3.46944695195361e-17,"completed"
"editorial_requested_analysis_v1","atx_40f730f5ad72","Long-tailed Duck","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,1.62551512818616,0.991681890174391,10.9444151846826,,3.7470027081099e-16,"completed"
"editorial_requested_analysis_v1","atx_40f730f5ad72","Long-tailed Duck","conditional_positive_numeric_count","lme4_lmer_REML",2946,44,1034,603,TRUE,FALSE,FALSE,0,"",0.00196910150407348,0.172465525643745,0.135853402861236,0.493557721217683,1.32555722953803,1.11022302462516e-16,"completed"
"editorial_requested_analysis_v1","atx_4ae57d328ec6","Greater Scaup","checklist_reporting","lme4_glmer_nAGQ0",216227,58,29097,22934,TRUE,FALSE,FALSE,0,"",,0.349399530180524,0.729422050327151,6.49440440710596,,4.44089209850063e-16,"completed"
"editorial_requested_analysis_v1","atx_4ae57d328ec6","Greater Scaup","conditional_positive_numeric_count","lme4_lmer_REML",4514,52,1505,708,TRUE,FALSE,FALSE,0,"",0.00107632331491914,0.160977375267703,0.196433930212551,0.912599680521789,1.58131887421412,3.98986399474666e-17,"completed"
"editorial_requested_analysis_v1","atx_59441ff7abde","Brant","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,2.22013552035496,0.360310358119565,10.4282033194274,,8.32667268468867e-17,"completed"
"editorial_requested_analysis_v1","atx_59441ff7abde","Brant","conditional_positive_numeric_count","lme4_lmer_REML",3796,41,1333,558,TRUE,FALSE,FALSE,0,"",0.00486415046907496,0.192800501991047,0.127359855772865,0.650495552136695,1.768611868077,3.46944695195361e-17,"completed"
"editorial_requested_analysis_v1","atx_5a9a3495d0ea","Western Gull","checklist_reporting","lme4_glmer_nAGQ0",216824,58,29166,22958,TRUE,FALSE,FALSE,0,"",,1.38225540340213,1.21687390358203,7.98467915967777,,1.38777878078145e-16,"completed"
"editorial_requested_analysis_v1","atx_5a9a3495d0ea","Western Gull","conditional_positive_numeric_count","lme4_lmer_REML",712,31,368,202,TRUE,TRUE,FALSE,0,"boundary (singular) fit: see help('isSingular')",7.15112946636509e-05,0,0.0613642425103456,0.00204084126583706,0.0748023146682744,1.38777878078145e-17,"completed_with_singular_warning"
"editorial_requested_analysis_v1","atx_6b4cfd1ab927","Horned Grebe","checklist_reporting","lme4_glmer_nAGQ0",217142,58,29242,22975,TRUE,FALSE,FALSE,0,"",,2.94293994958895,0.896941971458561,10.4435541430065,,2.77555756156289e-17,"completed"
"editorial_requested_analysis_v1","atx_6b4cfd1ab927","Horned Grebe","conditional_positive_numeric_count","lme4_lmer_REML",13054,55,3022,1747,TRUE,FALSE,FALSE,0,"",0.0235264815273695,0.0164645331558405,0.117576883757601,0.193704070578642,0.593944466978793,3.46944695195361e-17,"completed"
