"analysis_taxon_id","species","outcome","term","exposed_rows","finite_numeric_rows","unquantified_x_rows"
"atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","es_near_baseline",8077,,
"atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","es_reference_baseline",25992,,
"atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","es_near_early_pre",4512,,
"atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","es_reference_early_pre",15467,,
"atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","es_near_immediate_pre",4587,,
"atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","es_reference_immediate_pre",15169,,
"atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","es_near_spawn_start",2992,,
"atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","es_reference_spawn_start",9759,,
"atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","es_near_early_egg",7018,,
"atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","es_reference_early_egg",22927,,
"atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","es_near_late_egg",8712,,
"atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","es_reference_late_egg",28655,,
"atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","es_near_baseline",969,,
"atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","es_reference_baseline",3684,,
"atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","es_near_early_pre",509,,
"atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","es_reference_early_pre",2024,,
"atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","es_near_immediate_pre",468,,
"atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","es_reference_immediate_pre",1877,,
"atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","es_near_spawn_start",311,,
"atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","es_reference_spawn_start",1143,,
"atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","es_near_early_egg",724,,
"atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","es_reference_early_egg",2536,,
"atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","es_near_late_egg",790,,
"atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","es_reference_late_egg",2689,,
"atx_04cf65098f13","Red-throated Loon","checklist_reporting","es_near_baseline",8077,,
"atx_04cf65098f13","Red-throated Loon","checklist_reporting","es_reference_baseline",25992,,
"atx_04cf65098f13","Red-throated Loon","checklist_reporting","es_near_early_pre",4512,,
"atx_04cf65098f13","Red-throated Loon","checklist_reporting","es_reference_early_pre",15467,,
"atx_04cf65098f13","Red-throated Loon","checklist_reporting","es_near_immediate_pre",4587,,
"atx_04cf65098f13","Red-throated Loon","checklist_reporting","es_reference_immediate_pre",15169,,
"atx_04cf65098f13","Red-throated Loon","checklist_reporting","es_near_spawn_start",2992,,
"atx_04cf65098f13","Red-throated Loon","checklist_reporting","es_reference_spawn_start",9759,,
"atx_04cf65098f13","Red-throated Loon","checklist_reporting","es_near_early_egg",7018,,
"atx_04cf65098f13","Red-throated Loon","checklist_reporting","es_reference_early_egg",22927,,
"atx_04cf65098f13","Red-throated Loon","checklist_reporting","es_near_late_egg",8712,,
"atx_04cf65098f13","Red-throated Loon","checklist_reporting","es_reference_late_egg",28655,,
"atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","es_near_baseline",72,,
"atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","es_reference_baseline",280,,
"atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","es_near_early_pre",34,,
"atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","es_reference_early_pre",139,,
"atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","es_near_immediate_pre",38,,
"atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","es_reference_immediate_pre",135,,
"atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","es_near_spawn_start",20,,
"atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","es_reference_spawn_start",66,,
"atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","es_near_early_egg",50,,
"atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","es_reference_early_egg",164,,
"atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","es_near_late_egg",57,,
"atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","es_reference_late_egg",177,,
"atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","es_near_baseline",8077,,
"atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","es_reference_baseline",25992,,
"atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","es_near_early_pre",4512,,
"atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","es_reference_early_pre",15467,,
"atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","es_near_immediate_pre",4587,,
"atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","es_reference_immediate_pre",15169,,
"atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","es_near_spawn_start",2992,,
"atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","es_reference_spawn_start",9759,,
"atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","es_near_early_egg",7018,,
"atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","es_reference_early_egg",22927,,
"atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","es_near_late_egg",8712,,
"atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","es_reference_late_egg",28655,,
"atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","es_near_baseline",514,,
"atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","es_reference_baseline",742,,
"atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","es_near_early_pre",239,,
"atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","es_reference_early_pre",458,,
"atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","es_near_immediate_pre",266,,
"atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","es_reference_immediate_pre",429,,
"atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","es_near_spawn_start",218,,
"atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","es_reference_spawn_start",336,,
"atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","es_near_early_egg",362,,
"atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","es_reference_early_egg",588,,
"atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","es_near_late_egg",317,,
"atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","es_reference_late_egg",562,,
"atx_1328b44be502","Black Scoter","checklist_reporting","es_near_baseline",8074,,
"atx_1328b44be502","Black Scoter","checklist_reporting","es_reference_baseline",25986,,
"atx_1328b44be502","Black Scoter","checklist_reporting","es_near_early_pre",4511,,
"atx_1328b44be502","Black Scoter","checklist_reporting","es_reference_early_pre",15466,,
"atx_1328b44be502","Black Scoter","checklist_reporting","es_near_immediate_pre",4586,,
"atx_1328b44be502","Black Scoter","checklist_reporting","es_reference_immediate_pre",15167,,
"atx_1328b44be502","Black Scoter","checklist_reporting","es_near_spawn_start",2991,,
"atx_1328b44be502","Black Scoter","checklist_reporting","es_reference_spawn_start",9757,,
"atx_1328b44be502","Black Scoter","checklist_reporting","es_near_early_egg",7016,,
"atx_1328b44be502","Black Scoter","checklist_reporting","es_reference_early_egg",22922,,
"atx_1328b44be502","Black Scoter","checklist_reporting","es_near_late_egg",8709,,
"atx_1328b44be502","Black Scoter","checklist_reporting","es_reference_late_egg",28650,,
"atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","es_near_baseline",259,,
"atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","es_reference_baseline",438,,
"atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","es_near_early_pre",148,,
"atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","es_reference_early_pre",293,,
"atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","es_near_immediate_pre",166,,
"atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","es_reference_immediate_pre",311,,
"atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","es_near_spawn_start",125,,
"atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","es_reference_spawn_start",211,,
"atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","es_near_early_egg",212,,
"atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","es_reference_early_egg",279,,
"atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","es_near_late_egg",145,,
