"analysis_taxon_id","species","period","zone","checklist_denominator","event_links","source_events","reported_checklists","reporting_proportion","finite_numeric_reports","unquantified_x_reports","lower_bound_reports","other_reported_states","finite_numeric_proportion_among_reports","x_proportion_among_reports","positive_finite_count_q25","positive_finite_count_median","positive_finite_count_q75","observed_unadjusted","suppressed_below_20"
"atx_04afbeb21fb0","Hooded Merganser","baseline","near",8077,14559,654,987,0.12219883620156,969,,0,0,0.981762917933131,,2,2,4,TRUE,FALSE
"atx_04afbeb21fb0","Hooded Merganser","baseline","reference",25992,69546,948,3755,0.144467528470299,3684,71,0,0,0.981091877496671,0.0189081225033289,2,2,4,TRUE,FALSE
"atx_04afbeb21fb0","Hooded Merganser","early_pre","near",4512,7315,609,518,0.114804964539007,509,,0,0,0.982625482625483,,2,2,4,TRUE,FALSE
"atx_04afbeb21fb0","Hooded Merganser","early_pre","reference",15467,35784,907,2060,0.13318678476757,2024,36,0,0,0.98252427184466,0.0174757281553398,2,2,4,TRUE,FALSE
"atx_04afbeb21fb0","Hooded Merganser","immediate_pre","near",4587,7367,607,476,0.10377152823196,468,,0,0,0.983193277310924,,2,2,4,TRUE,FALSE
"atx_04afbeb21fb0","Hooded Merganser","immediate_pre","reference",15169,35880,895,1916,0.126310237985365,1877,38,0,,0.97964509394572,0.0198329853862213,2,2,4,TRUE,FALSE
"atx_04afbeb21fb0","Hooded Merganser","spawn_start","near",2992,4922,538,317,0.105949197860963,311,,0,0,0.981072555205047,,2,2,4,TRUE,FALSE
"atx_04afbeb21fb0","Hooded Merganser","spawn_start","reference",9759,21434,854,1163,0.119172046316221,1143,20,0,0,0.98280309544282,0.0171969045571797,1,2,4,TRUE,FALSE
"atx_04afbeb21fb0","Hooded Merganser","early_egg","near",7018,12441,656,738,0.105158164719293,724,,0,0,0.981029810298103,,2,2,3,TRUE,FALSE
"atx_04afbeb21fb0","Hooded Merganser","early_egg","reference",22927,59303,948,2577,0.112400226806822,2536,40,0,,0.984090027163368,0.0155219247186651,1,2,4,TRUE,FALSE
