"analysis_version","analysis_taxon_id","species","outcome","engine","n","event_blocks","observer_clusters","generalized_locations","converged","singular_fit","rank_deficient","optimizer_code","convergence_message","maximum_absolute_gradient","event_block_variance","observer_variance","location_variance","residual_variance","reproduction_max_abs_estimate_difference","status","sensitivity_id"
"editorial_requested_analysis_v1","atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,0.299839811688308,0.20098839158026,4.9310517497663,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","lme4_lmer_REML",20340,54,4798,2045,TRUE,FALSE,FALSE,0,"",0.00932999682845548,0.0408759096445591,0.0175120942627653,0.068147055004402,0.434084495339703,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_04cf65098f13","Red-throated Loon","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,0.416461380430701,1.22677417768926,7.65494059488784,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","lme4_lmer_REML",1488,48,668,329,TRUE,FALSE,FALSE,0,"",0.01868872459454,0.0165962334219554,0.0394151145697349,0.0333734067325231,0.430104301960975,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,2.11859243121245,0.866533241099287,3.93794836152162,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","lme4_lmer_REML",4549,45,1366,602,TRUE,FALSE,FALSE,0,"",0.0210029884328833,0.0843773938164476,0.102816218608685,0.162716738227333,0.899081414298738,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_1328b44be502","Black Scoter","checklist_reporting","lme4_glmer_nAGQ0",217178,58,29246,22978,TRUE,FALSE,FALSE,0,"",,2.24062917812489,0.452228862934925,9.30053106269478,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","lme4_lmer_REML",1684,42,688,406,TRUE,FALSE,FALSE,0,"",0.00144344539876329,0.322733496988128,0.0970237548331499,0.30535029850195,1.37457078665248,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_136b0e66254b","Common Murre","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,1.1386681054195,1.46177438594635,12.8034815968142,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_136b0e66254b","Common Murre","conditional_positive_numeric_count","lme4_lmer_REML",2023,41,844,485,TRUE,FALSE,FALSE,0,"",0.00137264123623027,0.128656648216013,0.154613364530892,0.28997956440504,1.93411845486123,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_15dd5efcd8d6","Black Turnstone","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,2.87175508684899,0.36028065188247,12.1418812740641,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_15dd5efcd8d6","Black Turnstone","conditional_positive_numeric_count","lme4_lmer_REML",4421,43,1348,652,TRUE,FALSE,FALSE,0,"",0.00330686816596426,0.0979222949364024,0.0221463158803249,0.277629874590878,1.0861095520252,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_1812dd827ede","Surfbird","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,0.392898424859909,0.300045480863875,17.2502062281911,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_1812dd827ede","Surfbird","conditional_positive_numeric_count","lme4_lmer_REML",1063,,,,FALSE,,,,"failed_insufficient_support",,,,,,,"failed_insufficient_support","binary_any_link"
"editorial_requested_analysis_v1","atx_1930f23cc4f8","Surf Scoter","checklist_reporting","lme4_glmer_nAGQ0",217183,58,29247,22979,TRUE,FALSE,FALSE,0,"",,1.21160293866386,0.794544966772988,11.6715982077568,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_1930f23cc4f8","Surf Scoter","conditional_positive_numeric_count","lme4_lmer_REML",16632,57,3846,2163,TRUE,FALSE,FALSE,0,"",0.0126218947116286,0.301020933930452,0.1463888561348,0.645947948446618,2.10714800913918,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_3083477933a8","White-winged Scoter","checklist_reporting","lme4_glmer_nAGQ0",217199,58,29248,22980,TRUE,FALSE,FALSE,0,"",,0.948057320912933,0.856078529383857,10.118630365509,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_3083477933a8","White-winged Scoter","conditional_positive_numeric_count","lme4_lmer_REML",4706,50,1511,837,TRUE,FALSE,FALSE,0,"",0.00074731360655278,0.118233600809743,0.210631542967311,0.541947130337329,1.63920022841179,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_35518e24dfdd","Common Merganser","checklist_reporting","lme4_glmer_nAGQ0",217093,58,29239,22972,TRUE,FALSE,FALSE,0,"",,0.169073696670515,0.239565211953337,3.93586943771321,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_35518e24dfdd","Common Merganser","conditional_positive_numeric_count","lme4_lmer_REML",27776,58,5707,3099,TRUE,FALSE,FALSE,0,"",0.00583146174903959,0.0478571171184497,0.0262873612014682,0.15296503456794,0.799936730542798,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_35707a9578d5","Pelagic Cormorant","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,0.0756265842932936,0.975144706078114,11.8211258408901,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_35707a9578d5","Pelagic Cormorant","conditional_positive_numeric_count","lme4_lmer_REML",18881,53,4258,2147,TRUE,FALSE,FALSE,0,"",0.00425527105107903,0.0217854231712705,0.0992786830109631,0.256491689827849,0.594454381552642,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_40f730f5ad72","Long-tailed Duck","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,1.97351848276191,0.998857098757944,11.0131110117479,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_40f730f5ad72","Long-tailed Duck","conditional_positive_numeric_count","lme4_lmer_REML",2946,44,1034,603,TRUE,FALSE,FALSE,0,"",0.000412219378631562,0.346949021072426,0.14958350498321,0.471153082372784,1.35259418221638,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_4ae57d328ec6","Greater Scaup","checklist_reporting","lme4_glmer_nAGQ0",216227,58,29097,22934,TRUE,FALSE,FALSE,0,"",,0.506338933784266,0.733635392285598,6.71648391299571,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_4ae57d328ec6","Greater Scaup","conditional_positive_numeric_count","lme4_lmer_REML",4514,52,1505,708,TRUE,FALSE,FALSE,0,"",0.00679402546666097,0.277909832904043,0.220436243532951,0.962255709078465,1.62644190507644,,"completed","binary_any_link"
