"metric","value","unit","scope","qa_status"
"eligible_checklists",217200,"checklists","SoG_2005_2025_frozen_event_study_population","verified"
"source_herring_events",1120,"source_events","SoG_2005_2025_frozen_event_study_population","verified"
"event_blocks",58,"event_blocks","SoG_2005_2025_frozen_event_study_population","verified"
"observer_clusters",29248,"clusters","SoG_2005_2025_frozen_event_study_population","verified"
"generalized_locations",22980,"clusters","SoG_2005_2025_frozen_event_study_population","verified"
"supported_species",49,"species","SoG_2005_2025_frozen_event_study_population","verified"
"primary_checklist_reporting_estimable",48,"models","SoG_2005_2025_frozen_event_study_population","verified"
"primary_conditional_count_estimable",46,"models","SoG_2005_2025_frozen_event_study_population","verified"
"primary_failed_components",4,"models","SoG_2005_2025_frozen_event_study_population","verified"
"primary_singular_components",1,"models","SoG_2005_2025_frozen_event_study_population","verified"
