"package","version","library"
"askpass","1.2.1","frozen_renv_project_library"
"backports","1.5.1","frozen_renv_project_library"
"base64url","1.4","frozen_renv_project_library"
"brio","1.1.5","frozen_renv_project_library"
"broom","1.0.13","versioned_analysis_library"
"callr","3.8.0","frozen_renv_project_library"
"classInt","0.4-11","frozen_renv_project_library"
"cli","3.6.6","frozen_renv_project_library"
"colorspace","2.1-3","versioned_analysis_library"
"cowplot","1.2.0","versioned_analysis_library"
"cpp11","0.5.5","frozen_renv_project_library"
"crayon","1.5.3","frozen_renv_project_library"
"data.table","1.18.4","frozen_renv_project_library"
"DBI","1.3.0","frozen_renv_project_library"
"Deriv","4.3.0","versioned_analysis_library"
"desc","1.4.3","frozen_renv_project_library"
"diffobj","0.3.8","frozen_renv_project_library"
"digest","0.6.39","frozen_renv_project_library"
"doBy","4.7.2","versioned_analysis_library"
"dplyr","1.2.1","versioned_analysis_library"
"e1071","1.7-17","frozen_renv_project_library"
"evaluate","1.0.5","frozen_renv_project_library"
"farver","2.1.2","frozen_renv_project_library"
"forecast","9.0.2","versioned_analysis_library"
"fracdiff","1.5-4","versioned_analysis_library"
"fs","2.1.0","frozen_renv_project_library"
"gbRd","0.4.12","frozen_renv_project_library"
"generics","0.1.4","versioned_analysis_library"
"ggplot2","4.0.3","frozen_renv_project_library"
"glue","1.8.1","frozen_renv_project_library"
"gtable","0.3.6","frozen_renv_project_library"
"highr","0.12","frozen_renv_project_library"
"igraph","2.3.3","frozen_renv_project_library"
"isoband","0.3.0","frozen_renv_project_library"
"jsonlite","2.0.0","frozen_renv_project_library"
"knitr","1.51","frozen_renv_project_library"
"labeling","0.4.3","frozen_renv_project_library"
"lifecycle","1.0.5","frozen_renv_project_library"
"lme4","2.0-6","frozen_renv_project_library"
"lmerTest","3.2-1","versioned_analysis_library"
"lmtest","0.9-40","versioned_analysis_library"
"magrittr","2.0.5","frozen_renv_project_library"
"minqa","1.2.8","frozen_renv_project_library"
"modelr","0.1.11","versioned_analysis_library"
"munsell","0.5.1","frozen_renv_project_library"
"nloptr","2.2.1","frozen_renv_project_library"
"numDeriv","2016.8-1.1","versioned_analysis_library"
"otel","0.2.0","frozen_renv_project_library"
"pbkrtest","0.5.5","versioned_analysis_library"
"pdftools","3.9.0","frozen_renv_project_library"
"pillar","1.11.1","frozen_renv_project_library"
"pkgbuild","1.4.8","frozen_renv_project_library"
"pkgconfig","2.0.3","frozen_renv_project_library"
"pkgload","1.5.3","frozen_renv_project_library"
"png","0.1-9","frozen_renv_project_library"
"praise","1.0.0","frozen_renv_project_library"
"prettyunits","1.2.0","frozen_renv_project_library"
"processx","3.9.0","frozen_renv_project_library"
"proxy","0.4-29","frozen_renv_project_library"
"ps","1.9.3","frozen_renv_project_library"
"purrr","1.2.2","versioned_analysis_library"
"qpdf","1.4.1","frozen_renv_project_library"
"quarto","1.5.1","frozen_renv_project_library"
"R6","2.6.1","frozen_renv_project_library"
"rbibutils","2.4.1","frozen_renv_project_library"
"RColorBrewer","1.1-3","frozen_renv_project_library"
"Rcpp","1.1.2","frozen_renv_project_library"
"RcppArmadillo","15.4.2-1","versioned_analysis_library"
"RcppEigen","0.3.4.0.2","frozen_renv_project_library"
"Rdpack","2.6.6","frozen_renv_project_library"
"reformulas","0.4.4","frozen_renv_project_library"
"renv","1.2.3","frozen_renv_project_library"
"rlang","1.3.0","frozen_renv_project_library"
"rprojroot","2.1.1","frozen_renv_project_library"
"s2","1.1.11","frozen_renv_project_library"
"S7","0.2.2","frozen_renv_project_library"
"scales","1.4.0","frozen_renv_project_library"
"secretbase","1.3.0","frozen_renv_project_library"
"sf","1.1-1","frozen_renv_project_library"
"stringi","1.8.7","versioned_analysis_library"
"stringr","1.6.0","versioned_analysis_library"
"sys","3.4.3","frozen_renv_project_library"
"targets","1.12.0","frozen_renv_project_library"
"testthat","3.3.2","frozen_renv_project_library"
"tibble","3.3.1","frozen_renv_project_library"
"tidyr","1.3.2","versioned_analysis_library"
"tidyselect","1.2.1","frozen_renv_project_library"
"timeDate","4052.112","versioned_analysis_library"
"units","1.0-1","frozen_renv_project_library"
"urca","1.3-4","versioned_analysis_library"
"utf8","1.2.6","frozen_renv_project_library"
"vctrs","0.7.3","frozen_renv_project_library"
"viridisLite","0.4.3","frozen_renv_project_library"
"waldo","0.6.2","frozen_renv_project_library"
"withr","3.0.3","frozen_renv_project_library"
"wk","0.9.5","frozen_renv_project_library"
"xfun","0.60","frozen_renv_project_library"
"yaml","2.3.12","frozen_renv_project_library"
"zoo","1.8-15","versioned_analysis_library"
