"analysis_version","species","outcome","bh_change","stage2_estimate","blockaware_estimate","estimate_shift","percent_shift_in_log_effect","stage2_q_value_bh_fixed49","blockaware_q_value_bh_fixed49","interval_width_ratio","blockaware_primary_interval_method","survives_bh_widening_only","survives_bh_point_movement_only","mechanism","mechanism_rule","blockaware_status"
"post_stage4a_blockaware_v1","Black Oystercatcher","checklist_reporting","entered_bh",-0.0467267515146649,-0.177262683218712,-0.130535931704047,-279.360168367535,0.414683349515976,0.021227453985366,1.50894107137528,"wald",FALSE,TRUE,"not_applicable","counterfactual Benjamini-Hochberg over the same fixed 49-species family: widening_only uses the Stage 2 point estimate with the block-aware standard error and denominator df; point_movement_only uses the block-aware point estimate with the Stage 2 standard error","completed"
"post_stage4a_blockaware_v1","Black Scoter","checklist_reporting","entered_bh",0.129837938020024,0.395786441234645,0.265948503214621,204.831120449253,0.129987835001422,0.000432344979553066,1.45338055801446,"wald",FALSE,TRUE,"not_applicable","counterfactual Benjamini-Hochberg over the same fixed 49-species family: widening_only uses the Stage 2 point estimate with the block-aware standard error and denominator df; point_movement_only uses the block-aware point estimate with the Stage 2 standard error","completed"
"post_stage4a_blockaware_v1","Glaucous Gull","checklist_reporting","entered_bh",0.37803925732187,0.979935604523616,0.601896347201746,159.215302523272,0.120706386489252,0.0054462015828117,1.55977200119799,"wald",FALSE,TRUE,"not_applicable","counterfactual Benjamini-Hochberg over the same fixed 49-species family: widening_only uses the Stage 2 point estimate with the block-aware standard error and denominator df; point_movement_only uses the block-aware point estimate with the Stage 2 standard error","completed_with_singular_warning"
"post_stage4a_blockaware_v1","Long-tailed Duck","checklist_reporting","entered_bh",0.121595880222546,0.364257695527214,0.242661815304668,199.564175085987,0.120706386489252,0.000432344979553066,1.46210052306175,"wald",FALSE,TRUE,"not_applicable","counterfactual Benjamini-Hochberg over the same fixed 49-species family: widening_only uses the Stage 2 point estimate with the block-aware standard error and denominator df; point_movement_only uses the block-aware point estimate with the Stage 2 standard error","completed_with_singular_warning"
"post_stage4a_blockaware_v1","White-winged Scoter","checklist_reporting","entered_bh",0.0927415264793756,0.283012372972234,0.190270846492859,205.162513186768,0.169353095320394,0.000432344979553066,1.34387737056209,"wald",FALSE,TRUE,"not_applicable","counterfactual Benjamini-Hochberg over the same fixed 49-species family: widening_only uses the Stage 2 point estimate with the block-aware standard error and denominator df; point_movement_only uses the block-aware point estimate with the Stage 2 standard error","completed_with_singular_warning"
"post_stage4a_blockaware_v1","Bald Eagle","checklist_reporting","left_bh",0.0624859339098151,0.0543543976198855,-0.00813153628992959,-13.0133868234501,0.0304364270798425,0.0632382511643736,1.00559939128352,"wald",TRUE,FALSE,"point_estimate_movement","counterfactual Benjamini-Hochberg over the same fixed 49-species family: widening_only uses the Stage 2 point estimate with the block-aware standard error and denominator df; point_movement_only uses the block-aware point estimate with the Stage 2 standard error","completed_with_singular_warning"
"post_stage4a_blockaware_v1","Harlequin Duck","checklist_reporting","left_bh",0.141720701994376,0.071099530794237,-0.070621171200139,-49.8312315747219,0.0146647844215447,0.338486929320826,1.151392404246,"wald",TRUE,FALSE,"point_estimate_movement","counterfactual Benjamini-Hochberg over the same fixed 49-species family: widening_only uses the Stage 2 point estimate with the block-aware standard error and denominator df; point_movement_only uses the block-aware point estimate with the Stage 2 standard error","completed"
"post_stage4a_blockaware_v1","Iceland Gull","checklist_reporting","left_bh",0.27572200596732,0.135280144257946,-0.140441861709374,-50.9360365403769,7.62240397475191e-08,0.0511393938980601,1.21237280862789,"wald",TRUE,TRUE,"neither_alone_sufficient_joint_effect_only","counterfactual Benjamini-Hochberg over the same fixed 49-species family: widening_only uses the Stage 2 point estimate with the block-aware standard error and denominator df; point_movement_only uses the block-aware point estimate with the Stage 2 standard error","completed_with_singular_warning"
"post_stage4a_blockaware_v1","Northern Pintail","checklist_reporting","left_bh",0.148642450681118,0.126797218070955,-0.0218452326101635,-14.6964965324932,0.0113084568407268,0.096300123248233,1.26150858143705,"wald",FALSE,TRUE,"interval_widening","counterfactual Benjamini-Hochberg over the same fixed 49-species family: widening_only uses the Stage 2 point estimate with the block-aware standard error and denominator df; point_movement_only uses the block-aware point estimate with the Stage 2 standard error","completed"
"post_stage4a_blockaware_v1","Canada Goose","conditional_positive_numeric_count","left_bh",0.0633909933582284,0.0393675040642825,-0.0240234892939459,-37.8973226656774,0.00123693221505776,0.311915867393472,1.54595722075577,"satterthwaite_denominator_df",FALSE,FALSE,"both_widening_and_point_movement","counterfactual Benjamini-Hochberg over the same fixed 49-species family: widening_only uses the Stage 2 point estimate with the block-aware standard error and denominator df; point_movement_only uses the block-aware point estimate with the Stage 2 standard error","completed"
"post_stage4a_blockaware_v1","Common Loon","conditional_positive_numeric_count","left_bh",0.0530478979633583,0.0197729669981108,-0.0332749309652475,-62.7262007407559,0.0105038055159554,0.669396868625446,1.43567033533123,"satterthwaite_denominator_df",FALSE,FALSE,"both_widening_and_point_movement","counterfactual Benjamini-Hochberg over the same fixed 49-species family: widening_only uses the Stage 2 point estimate with the block-aware standard error and denominator df; point_movement_only uses the block-aware point estimate with the Stage 2 standard error","completed"
"post_stage4a_blockaware_v1","Iceland Gull","conditional_positive_numeric_count","left_bh",0.211970884004114,0.110018529998484,-0.10195235400563,-48.097338690936,0.000156987678396801,0.266007125902017,1.37541532427449,"kenward_roger",TRUE,FALSE,"point_estimate_movement","counterfactual Benjamini-Hochberg over the same fixed 49-species family: widening_only uses the Stage 2 point estimate with the block-aware standard error and denominator df; point_movement_only uses the block-aware point estimate with the Stage 2 standard error","completed_with_convergence_warning"
"post_stage4a_blockaware_v1","Mallard","conditional_positive_numeric_count","left_bh",0.0601846599834795,0.0397683647873187,-0.0204162951961608,-33.9227557350411,5.51627393956626e-05,0.261036951407359,1.8207357908051,"satterthwaite_denominator_df",FALSE,TRUE,"interval_widening","counterfactual Benjamini-Hochberg over the same fixed 49-species family: widening_only uses the Stage 2 point estimate with the block-aware standard error and denominator df; point_movement_only uses the block-aware point estimate with the Stage 2 standard error","completed"
