"analysis_version","analysis_taxon_id","species","outcome","n","event_blocks_in_model","event_block_intercept_variance","event_block_slope_variance","event_block_slope_sd","event_block_intercept_slope_correlation","observer_variance","location_variance","residual_variance","slope_variance_over_residual_variance","slope_sd_multiplicative_spread_low","slope_sd_multiplicative_spread_high","converged","singular_fit","status"
"post_stage4a_blockaware_v1","atx_04afbeb21fb0","Hooded Merganser","checklist_reporting",217200,58,0.12845579826745,0.0152796880471706,0.123611035296896,0.526116594871304,0.20293020585361,5.09399203149696,,,0.890100977098629,1.13974175417201,TRUE,FALSE,"completed"
"post_stage4a_blockaware_v1","atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count",20340,54,0.011396647688784,0.000906986318721591,0.0301162135521979,0.258657202797401,0.0187097406978281,0.0715313729370458,0.415662569158814,0.00218202548417357,0.99000336703607,1.0514661171477,TRUE,FALSE,"completed"
"post_stage4a_blockaware_v1","atx_04cf65098f13","Red-throated Loon","checklist_reporting",217200,58,0.242694715591577,0.115875144882487,0.340404384346745,1,1.17267033910364,7.05604288354757,,,0.684103182782854,1.3514285903082,TRUE,TRUE,"completed_with_singular_warning"
"post_stage4a_blockaware_v1","atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count",1488,48,0.0104832175610677,0.000704522803834377,0.0265428484499003,-1,0.0415310314053178,0.0362675342095719,0.425074678557673,0.00165740948443437,1.0507231271955,1.10800856295778,TRUE,TRUE,"completed_with_singular_warning"
"post_stage4a_blockaware_v1","atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting",217200,58,1.20499056363181,0.0045806380524014,0.0676804111423786,1,0.870100680975147,3.93514981838079,,,0.924754343463908,1.05879733133972,TRUE,TRUE,"completed_with_singular_warning"
"post_stage4a_blockaware_v1","atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count",4549,45,0.0711279757955017,3.07581364503536e-05,0.00554600184370269,1,0.0978557305498824,0.166249122993354,0.893152320179932,3.4437727759759e-05,0.977540873145094,0.988444117741644,TRUE,TRUE,"completed_with_singular_warning"
"post_stage4a_blockaware_v1","atx_1328b44be502","Black Scoter","checklist_reporting",217178,58,2.16709637997699,0.168878091281452,0.410947796297112,-0.999999875117039,0.432210050279103,8.63313319767319,,,0.984952999627742,2.24057882730224,TRUE,FALSE,"completed"
"post_stage4a_blockaware_v1","atx_1328b44be502","Black Scoter","conditional_positive_numeric_count",1684,42,0.309894602047431,0.0140428202472277,0.118502406082019,-0.421186936523103,0.0847399409009832,0.288590285072257,1.35586697377713,0.0103570781786267,0.960671538364068,1.21760046767814,TRUE,FALSE,"completed"
"post_stage4a_blockaware_v1","atx_136b0e66254b","Common Murre","checklist_reporting",217200,,,,,,,,,,,,FALSE,,"failed_numerical_fit_no_fallback"
"post_stage4a_blockaware_v1","atx_136b0e66254b","Common Murre","conditional_positive_numeric_count",2023,41,0.15741385995673,0.0145032048680248,0.12042925254283,-1,0.177345996013949,0.31489895494983,1.75403966166989,0.00826845890942821,0.838258695091822,1.06655090032898,TRUE,TRUE,"completed_with_singular_warning"
"post_stage4a_blockaware_v1","atx_15dd5efcd8d6","Black Turnstone","checklist_reporting",217200,58,1.99584931718427,0.0504749732935518,0.224666359950821,1,0.327061429354931,12.2700057689308,,,0.69663315525578,1.09180948034156,TRUE,TRUE,"completed_with_singular_warning"
"post_stage4a_blockaware_v1","atx_15dd5efcd8d6","Black Turnstone","conditional_positive_numeric_count",4421,43,0.112660112371103,0.00263187978459083,0.0513018497189997,-1,0.0211843171012816,0.267899064239502,1.07904353745064,0.00243908581372809,1.08357309728812,1.20065555468226,TRUE,TRUE,"completed_with_singular_warning"
"post_stage4a_blockaware_v1","atx_1812dd827ede","Surfbird","checklist_reporting",217200,58,0.164339372009139,0.0306383374535154,0.175038102861964,-1,0.280921972483334,17.9323570801208,,,1.22005659351368,1.73147466255514,TRUE,TRUE,"completed_with_singular_warning"
"post_stage4a_blockaware_v1","atx_1812dd827ede","Surfbird","conditional_positive_numeric_count",1063,,,,,,,,,,,,FALSE,,"failed_insufficient_support"
"post_stage4a_blockaware_v1","atx_1930f23cc4f8","Surf Scoter","checklist_reporting",217183,58,0.735458675904776,0.012966358655051,0.113869919886909,-0.269357598322621,0.764322028987376,11.6047830861633,,,0.917240512174323,1.15183264720887,TRUE,FALSE,"completed"
"post_stage4a_blockaware_v1","atx_1930f23cc4f8","Surf Scoter","conditional_positive_numeric_count",16632,57,0.22433040679874,0.179742009639459,0.423959915132857,-0.392316055195705,0.136319343624578,0.598116837372291,2.06176893694225,0.0871785418913284,0.923308053570078,2.15572583798664,TRUE,FALSE,"completed"
"post_stage4a_blockaware_v1","atx_3083477933a8","White-winged Scoter","checklist_reporting",217199,58,0.849118194741214,0.0706507347871183,0.26580205941098,-0.999999995937895,0.798067345834912,9.56591650610043,,,1.01735926427695,1.7311993468412,TRUE,TRUE,"completed_with_singular_warning"
"post_stage4a_blockaware_v1","atx_3083477933a8","White-winged Scoter","conditional_positive_numeric_count",4706,50,0.0977947600622233,0.000576184134170392,0.0240038358220179,-0.484453196534447,0.209722167684127,0.522529785918884,1.61290805324354,0.000357233093983065,1.13826678528201,1.19424527083787,TRUE,FALSE,"completed"
"post_stage4a_blockaware_v1","atx_35518e24dfdd","Common Merganser","checklist_reporting",217093,58,0.205394607292757,0.0613140370242925,0.247616713943733,-0.248211531075824,0.227374554775166,4.00849805823125,,,0.960412536064927,1.57592289560359,TRUE,FALSE,"completed"
"post_stage4a_blockaware_v1","atx_35518e24dfdd","Common Merganser","conditional_positive_numeric_count",27776,58,0.0413552246151224,8.39826817408201e-05,0.00916420655271476,-1,0.0260494253809337,0.154511291749116,0.79391662953409,0.000105782746722544,1.10762058912183,1.128108700583,TRUE,TRUE,"completed_with_singular_warning"
