"analysis_version","analysis_taxon_id","species","outcome","comparison","stage2_estimate","blockaware_estimate","estimate_shift","percent_shift_in_log_effect","stage2_ratio","blockaware_ratio","stage2_standard_error","blockaware_primary_standard_error","standard_error_ratio","stage2_interval_width","blockaware_interval_width","interval_width_ratio","blockaware_primary_interval_method","blockaware_primary_denominator_df","stage2_p_value","blockaware_p_value","stage2_q_value_bh_fixed49","blockaware_q_value_bh_fixed49","stage2_significant_bh_fixed49","blockaware_significant_bh_fixed49","stage2_status","blockaware_status","bh_change","q_value_widening_only_counterfactual","q_value_point_movement_only_counterfactual","survives_bh_widening_only","survives_bh_point_movement_only","mechanism","mechanism_rule"
"post_stage4a_blockaware_v1","atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","active_minus_pre14",-0.0205066229797448,0.00719067001932941,0.0276972929990742,135.065110556877,0.979702207905152,1.00721658496503,0.0388544409602486,0.0478772382393795,1.23222048898766,0.15230660984305,0.187675325256856,1.23222048898766,"wald",Inf,0.59765157325826,0.880614919447441,0.813470196934854,0.918087894743077,FALSE,FALSE,"completed","completed","absent_from_bh_in_both",0.89837482325658,0.908818532647302,FALSE,FALSE,"not_applicable","counterfactual Benjamini-Hochberg over the same fixed 49-species family: widening_only uses the Stage 2 point estimate with the block-aware standard error and denominator df; point_movement_only uses the block-aware point estimate with the Stage 2 standard error"
"post_stage4a_blockaware_v1","atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","active_minus_pre14",0.0224533730960251,0.0200692787394484,-0.00238409435657668,-10.6179786278915,1.02270734737543,1.02027202073788,0.0190602236069465,0.0209999166567512,1.10176654218777,0.0747147036137904,0.0855139165962908,1.14453932706905,"satterthwaite_denominator_df",32.356424450851,0.238787618979751,0.346318244634189,0.433355308518807,0.615517754404431,FALSE,FALSE,"completed","completed","absent_from_bh_in_both",0.531826198057306,0.511644570714176,FALSE,FALSE,"not_applicable","counterfactual Benjamini-Hochberg over the same fixed 49-species family: widening_only uses the Stage 2 point estimate with the block-aware standard error and denominator df; point_movement_only uses the block-aware point estimate with the Stage 2 standard error"
"post_stage4a_blockaware_v1","atx_04cf65098f13","Red-throated Loon","checklist_reporting","active_minus_pre14",-0.00795230505718353,-0.0392421363681466,-0.0312898313109631,-393.468699779043,0.99207923087087,0.961517862514048,0.140974379836492,0.15518151363464,1.10077812588803,0.552609414444788,0.608300355580613,1.10077812588803,"wald",Inf,0.955015528198709,0.800361765635011,0.955015528198709,0.875927945701062,FALSE,FALSE,"completed","completed_with_singular_warning","absent_from_bh_in_both",0.979112026418789,0.869452944186515,FALSE,FALSE,"not_applicable","counterfactual Benjamini-Hochberg over the same fixed 49-species family: widening_only uses the Stage 2 point estimate with the block-aware standard error and denominator df; point_movement_only uses the block-aware point estimate with the Stage 2 standard error"
"post_stage4a_blockaware_v1","atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","active_minus_pre14",0.0785288975798599,0.0760214681465741,-0.00250742943328577,-3.19300220754512,1.0816946130671,1.07898573773261,0.0909281573857104,0.0930294646686872,1.0231095333216,0.356431827313164,0.366606019391084,1.02854456672574,"kenward_roger",229.03155570484,0.387787473817085,0.414676949701254,0.558870182854034,0.669396868625446,FALSE,FALSE,"completed","completed_with_singular_warning","absent_from_bh_in_both",0.614027831932935,0.597955098452,FALSE,FALSE,"not_applicable","counterfactual Benjamini-Hochberg over the same fixed 49-species family: widening_only uses the Stage 2 point estimate with the block-aware standard error and denominator df; point_movement_only uses the block-aware point estimate with the Stage 2 standard error"
"post_stage4a_blockaware_v1","atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","active_minus_pre14",0.023975322643638,-0.0105467402321341,-0.0345220628757721,-143.989982486983,1.02426504142531,0.98950868162154,0.0654514451977562,0.0665749927144831,1.0171661223573,0.256564950647398,0.260969175982807,1.0171661223573,"wald",Inf,0.714136005590263,0.874126684872044,0.864731240964312,0.918087894743077,FALSE,FALSE,"completed","completed_with_singular_warning","absent_from_bh_in_both",0.89837482325658,0.90909012719461,FALSE,FALSE,"not_applicable","counterfactual Benjamini-Hochberg over the same fixed 49-species family: widening_only uses the Stage 2 point estimate with the block-aware standard error and denominator df; point_movement_only uses the block-aware point estimate with the Stage 2 standard error"
"post_stage4a_blockaware_v1","atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","active_minus_pre14",-0.0155926635432456,-0.0171691721939175,-0.00157650865067186,-10.1105795446652,0.984528272646592,0.982977378128459,0.0592082965664212,0.0718021471256104,1.21270415278813,0.232092257712304,0.305069091312363,1.3144302800937,"kenward_roger",15.5963561615633,0.792278759907277,0.814128041076093,0.902829284545502,0.955154854382643,FALSE,FALSE,"completed","completed_with_singular_warning","absent_from_bh_in_both",0.946837032831757,0.922433580602314,FALSE,FALSE,"not_applicable","counterfactual Benjamini-Hochberg over the same fixed 49-species family: widening_only uses the Stage 2 point estimate with the block-aware standard error and denominator df; point_movement_only uses the block-aware point estimate with the Stage 2 standard error"
"post_stage4a_blockaware_v1","atx_1328b44be502","Black Scoter","checklist_reporting","active_minus_pre14",0.129837938020024,0.395786441234645,0.265948503214621,204.831120449253,1.1386438374963,1.48555203101532,0.0678605693958736,0.098627232215754,1.45338055801446,0.266008543972587,0.386611646075493,1.45338055801446,"wald",Inf,0.0557090721434665,5.99638719371955e-05,0.129987835001422,0.000432344979553066,FALSE,TRUE,"completed","completed","entered_bh",0.370974802824733,4.46331661335788e-08,FALSE,TRUE,"not_applicable","counterfactual Benjamini-Hochberg over the same fixed 49-species family: widening_only uses the Stage 2 point estimate with the block-aware standard error and denominator df; point_movement_only uses the block-aware point estimate with the Stage 2 standard error"
"post_stage4a_blockaware_v1","atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","active_minus_pre14",0.0454280218406622,0.0783796861415333,0.0329516643008711,72.5359876255416,1.04647567850993,1.08153322389891,0.0696296923770066,0.0834561470764379,1.19857124493052,0.272943378627072,0.334454961246745,1.22536389389287,"kenward_roger",55.3293668497423,0.514128247103455,0.351724431088246,0.645956002771008,0.615517754404431,FALSE,FALSE,"completed","completed","absent_from_bh_in_both",0.739270199559086,0.490579471467238,FALSE,FALSE,"not_applicable","counterfactual Benjamini-Hochberg over the same fixed 49-species family: widening_only uses the Stage 2 point estimate with the block-aware standard error and denominator df; point_movement_only uses the block-aware point estimate with the Stage 2 standard error"
"post_stage4a_blockaware_v1","atx_136b0e66254b","Common Murre","checklist_reporting","active_minus_pre14",-0.161694654080835,,,,0.850700922941488,,0.0949831135909796,,,0.372326963555594,,,"none",,0.0886894798760599,,0.173831380557077,1,FALSE,FALSE,"completed","failed_numerical_fit_no_fallback","absent_from_bh_in_both",1,1,FALSE,FALSE,"not_applicable","counterfactual Benjamini-Hochberg over the same fixed 49-species family: widening_only uses the Stage 2 point estimate with the block-aware standard error and denominator df; point_movement_only uses the block-aware point estimate with the Stage 2 standard error"
"post_stage4a_blockaware_v1","atx_136b0e66254b","Common Murre","conditional_positive_numeric_count","active_minus_pre14",-0.107847140608716,-0.0559992682367497,0.0518478723719663,48.0753333647272,0.897764817725939,0.945539827801441,0.118773255266432,0.127944970392661,1.07722037343891,0.465582605297578,0.506787914919319,1.08850268277399,"kenward_roger",116.750939501277,0.36387366296464,0.662425120641174,0.540297257129314,0.854179760826776,FALSE,FALSE,"completed","completed_with_singular_warning","absent_from_bh_in_both",0.614027831932935,0.821778580926674,FALSE,FALSE,"not_applicable","counterfactual Benjamini-Hochberg over the same fixed 49-species family: widening_only uses the Stage 2 point estimate with the block-aware standard error and denominator df; point_movement_only uses the block-aware point estimate with the Stage 2 standard error"
