"item_order","metric_id","subgroup","statistic","value_numeric","display_value","unit","release_type","denominator","suppressed_below_20","note"
1,"analysis_events","analysis-linked","count",1120,"1,120","events","count",,FALSE,""
1,"all_strait_events","all valid Strait records","count",1163,"1,163","events","count",,FALSE,""
1,"events_per_year","analysis-linked","median",56,"56","events","count",,FALSE,""
1,"events_per_year","analysis-linked","minimum",23,"23","events","count",,FALSE,""
1,"events_per_year","analysis-linked","maximum",67,"67","events","count",,FALSE,""
1,"represented_years","analysis-linked","count",21,"21","years","count",,FALSE,""
2,"recorded_span_days","analysis-linked","q25",0,"0.0","days","continuous",,FALSE,""
2,"recorded_span_days","analysis-linked","median",1,"1.0","days","continuous",,FALSE,""
2,"recorded_span_days","analysis-linked","q75",2,"2.0","days","continuous",,FALSE,""
2,"recorded_span_days","analysis-linked","maximum",72,"72","days","continuous",,FALSE,""
2,"recorded_span_missing","analysis-linked","count",,"<20","events","count",,TRUE,""
2,"recorded_span_negative_interval","analysis-linked","count",0,"0","events","count",,FALSE,"End date preceded start date; the event was retained but its recorded span was excluded."
2,"recorded_span_distribution","0-1","count",726,"726","events","count",1119,FALSE,""
2,"recorded_span_distribution","0-1","percentage",64.8793565683646,"64.9","percent","percentage",1119,FALSE,""
2,"recorded_span_distribution","2-3","count",285,"285","events","count",1119,FALSE,""
2,"recorded_span_distribution","2-3","percentage",25.4691689008043,"25.5","percent","percentage",1119,FALSE,""
2,"recorded_span_distribution","4-5","count",82,"82","events","count",1119,FALSE,""
2,"recorded_span_distribution","4-5","percentage",7.32797140303843,"7.3","percent","percentage",1119,FALSE,""
2,"recorded_span_distribution","6-7","count",,"<20","events","count",1119,TRUE,""
2,"recorded_span_distribution","6-7","percentage",,"suppressed","percent","percentage",1119,TRUE,""
2,"recorded_span_distribution","8+","count",,"<20","events","count",1119,TRUE,""
2,"recorded_span_distribution","8+","percentage",,"suppressed","percent","percentage",1119,TRUE,""
3,"first_spawn_day_of_year","analysis-linked","q25",65,"65","day_of_year","continuous",,FALSE,""
3,"first_spawn_day_of_year","analysis-linked","median",73,"73","day_of_year","continuous",,FALSE,""
3,"first_spawn_day_of_year","analysis-linked","q75",81.25,"81","day_of_year","continuous",,FALSE,""
4,"within_year_season_span","analysis-linked years","q25",50,"50.0","days","continuous",,FALSE,""
4,"within_year_season_span","analysis-linked years","median",62,"62.0","days","continuous",,FALSE,""
4,"within_year_season_span","analysis-linked years","q75",73,"73.0","days","continuous",,FALSE,""
4,"anchor_calendar_year_mismatch","analysis-linked","count",,"<20","events","count",,TRUE,"The anchor calendar year differed from the frozen source event-year label; annual summaries retain the source label."
5,"relative_spawn_index","analysis-linked","q25",51.6338844545546,"51.63","relative_index","continuous",,FALSE,""
5,"relative_spawn_index","analysis-linked","median",454.053180625406,"454.05","relative_index","continuous",,FALSE,""
5,"relative_spawn_index","analysis-linked","q75",1655.96851600435,"1,655.97","relative_index","continuous",,FALSE,""
5,"relative_spawn_index","analysis-linked","minimum",0,"0.00","relative_index","continuous",,FALSE,""
5,"relative_spawn_index","analysis-linked","maximum",21461.892322733,"21,461.89","relative_index","continuous",,FALSE,""
5,"no_spawn_component_recorded","analysis-linked","count",125,"125","events","count",,FALSE,""
5,"component_zero_fill_affected","analysis-linked","count",1120,"1,120","events","count",,FALSE,"At least one component was unrecorded; missingness was retained and the unrecorded component contributed zero only to the derived total."
5,"component_zero_fill_affected","all valid Strait records","count",1163,"1,163","events","count",,FALSE,""
6,"length_m","analysis-linked","q25",1025,"1,025.0","metres","continuous",,FALSE,""
6,"length_m","analysis-linked","median",2380,"2,380.0","metres","continuous",,FALSE,""
6,"length_m","analysis-linked","q75",3550,"3,550.0","metres","continuous",,FALSE,""
6,"length_m_missing","analysis-linked","count",92,"92","events","count",,FALSE,""
6,"width_m","analysis-linked","q25",42,"42.0","metres","continuous",,FALSE,""
6,"width_m","analysis-linked","median",91,"91.0","metres","continuous",,FALSE,""
6,"width_m","analysis-linked","q75",182.222222222222,"182.2","metres","continuous",,FALSE,""
6,"width_m_missing","analysis-linked","count",103,"103","events","count",,FALSE,""
7,"survey_method","Surface","count",68,"68","events","count",1120,FALSE,""
7,"survey_method","Surface","percentage",6.07142857142857,"6.1","percent","percentage",1120,FALSE,""
7,"survey_method","Dive","count",950,"950","events","count",1120,FALSE,""
7,"survey_method","Dive","percentage",84.8214285714286,"84.8","percent","percentage",1120,FALSE,""
7,"survey_method","Incomplete","count",102,"102","events","count",1120,FALSE,""
7,"survey_method","Incomplete","percentage",9.10714285714286,"9.1","percent","percentage",1120,FALSE,""
7,"survey_method","missing","count",0,"0","events","count",1120,FALSE,""
7,"survey_method","missing","percentage",0,"0.0","percent","percentage",1120,FALSE,""
8,"distinct_locations","analysis-linked","count",175,"175","locations","count",,FALSE,""
8,"distinct_sections","analysis-linked","count",22,"22","sections","count",,FALSE,""
8,"locations_multiple_years","analysis-linked","count",117,"117","locations","count",,FALSE,""
8,"years_per_location","1","count",58,"58","locations","count",175,FALSE,""
8,"years_per_location","1","percentage",33.1428571428571,"33.1","percent","percentage",175,FALSE,""
8,"years_per_location","2","count",28,"28","locations","count",175,FALSE,""
8,"years_per_location","2","percentage",16,"16.0","percent","percentage",175,FALSE,""
8,"years_per_location","3","count",21,"21","locations","count",175,FALSE,""
8,"years_per_location","3","percentage",12,"12.0","percent","percentage",175,FALSE,""
8,"years_per_location","4","count",,"<20","locations","count",175,TRUE,""
8,"years_per_location","4","percentage",,"suppressed","percent","percentage",175,TRUE,""
8,"years_per_location","5+","count",59,"59","locations","count",175,FALSE,""
8,"years_per_location","5+","percentage",33.7142857142857,"33.7","percent","percentage",175,FALSE,""
