"year","first_anchor_date","last_anchor_date","first_day_of_year","last_day_of_year","season_span_days"
2005,"2005-02-25","2005-04-19",56,109,53
2006,"2006-03-02","2006-05-05",61,125,64
2007,"2007-03-08","2007-04-01",67,91,24
2008,"2008-02-25","2008-04-15",56,106,50
2009,"2009-03-01","2009-04-08",60,98,38
2010,"2010-02-26","2010-03-29",57,88,31
2011,"2011-03-07","2011-04-07",66,97,31
2012,"2012-02-01","2012-04-17",32,108,76
2013,"2013-03-02","2013-04-23",61,113,52
2014,"2014-03-03","2014-04-12",62,102,40
2015,"2015-02-17","2015-04-09",48,99,51
2016,"2016-01-22","2016-04-01",22,92,70
2017,"2017-01-19","2017-04-02",19,92,73
2018,"2018-01-15","2018-04-08",15,98,83
2019,"2018-12-18","2019-05-09",26,352,142
2020,"2020-01-24","2020-05-18",24,139,115
2021,"2021-02-16","2021-04-19",47,109,62
2022,"2022-01-18","2022-05-05",18,125,107
2023,"2023-01-25","2023-04-07",25,97,72
2024,"2024-02-16","2024-04-26",47,117,70
2025,"2025-02-24","2025-04-15",55,105,50
