"band","band_label","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","species","outcome","contrast","p_value_bh_13"
"band_0_2","0-<2 km",0.25437853356476,0.0715026280023609,0.114235957880167,0.394521109249352,1.28965989143932,1.12101660638175,1.48367350324593,0.000374243021841879,"Bald Eagle","detection","spawn_start_minus_equal_duration_pooled_pre",0.00486515928394443
"band_2_4","2-<4 km",0.0918474939216509,0.0574497319035518,-0.0207519115307924,0.204446899374094,1.0961976325304,0.979461927640321,1.22684630780924,0.109877188089439,"Bald Eagle","detection","spawn_start_minus_equal_duration_pooled_pre",0.400002109018942
"band_4_6","4-<6 km",0.069884316015217,0.0490046890877545,-0.0261631096703649,0.165931741700799,1.07238411641039,0.974176179093731,1.18049252056147,0.153846965007285,"Bald Eagle","detection","spawn_start_minus_equal_duration_pooled_pre",0.400002109018942
"band_6_8","6-<8 km",-0.0689215910814238,0.0452870505175941,-0.157682579061954,0.0198393968991066,0.933399864082967,0.854120854787043,1.02003750568452,0.128038406271298,"Bald Eagle","detection","spawn_start_minus_equal_duration_pooled_pre",0.400002109018942
"band_8_10","8-<10 km",-0.0276603747541144,0.0444911470732885,-0.114861420648634,0.0595406711404056,0.972718670525985,0.891489677408282,1.06134892637294,0.534135772172023,"Bald Eagle","detection","spawn_start_minus_equal_duration_pooled_pre",0.694376503823631
"band_10_12","10-<12 km",0.0459905182190924,0.0425132523499915,-0.0373339252525538,0.129314961690739,1.04706448287385,0.963354393274068,1.13804850940662,0.27934473287323,"Bald Eagle","detection","spawn_start_minus_equal_duration_pooled_pre",0.605246921225332
"band_12_14","12-<14 km",0.0426778083223278,0.0502282457539379,-0.0557677443620175,0.141123361006673,1.04360160092735,0.945758768190073,1.15156669764994,0.395504432764193,"Bald Eagle","detection","spawn_start_minus_equal_duration_pooled_pre",0.694376503823631
"band_14_16","14-<16 km",-0.00561295580157115,0.0450236015982944,-0.0938575933885081,0.0826316817853659,0.994402767403205,0.91041240175498,1.08614168909935,0.900787210781419,"Bald Eagle","detection","spawn_start_minus_equal_duration_pooled_pre",0.97585281167987
"band_16_18","16-<18 km",0.0117223918055982,0.0424856624672611,-0.0715479764895587,0.094992760100755,1.01179136830009,0.930951612733111,1.09965089373561,0.782614071326303,"Bald Eagle","detection","spawn_start_minus_equal_duration_pooled_pre",0.924907538840176
"band_18_20","18-<20 km",-0.116425876415487,0.0478648790393953,-0.210239315457068,-0.0226124373739057,0.890096071642899,0.810390283840865,0.977641307592107,0.0149996997368465,"Bald Eagle","detection","spawn_start_minus_equal_duration_pooled_pre",0.0974980482895023
"band_20_22","20-<22 km",0.033741318676125,0.0434146459917471,-0.0513498238692555,0.118832461221505,1.03431701362455,0.949946298510253,1.1261812234554,0.437048176402822,"Bald Eagle","detection","spawn_start_minus_equal_duration_pooled_pre",0.694376503823631
