"model_version_id","analysis_taxon_id","unit_label","region","outcome","band","band_label","contrast","contrast_type","period","minimum_day","maximum_day","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","n","status","bh_family_id","bh_family_size","p_value_bh_13","significant_nominal_0_05","significant_bh_0_05"
"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","SoG","detection","band_0_2","0–<2 km","within_band_0_2_early_pre_minus_baseline","within_band_period_minus_baseline","early_pre",-14,-8,0.0800388762633014,0.0620143470836341,-0.041507010545388,0.201584763071991,1.08332918264686,0.959342609802989,1.2233399267185,0.196824738616935,217176,"completed","american_robin__detection__early_pre__13_bands",13,0.284302400224461,FALSE,FALSE
"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","SoG","detection","band_0_2","0–<2 km","within_band_0_2_immediate_pre_minus_baseline","within_band_period_minus_baseline","immediate_pre",-7,-1,0.139192325652512,0.06034514621827,0.020918012422899,0.257466638882124,1.14934512729988,1.02113832754805,1.29364865269522,0.0210769340912317,217176,"completed","american_robin__detection__immediate_pre__13_bands",13,0.0391428775980017,TRUE,TRUE
"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","SoG","detection","band_0_2","0–<2 km","within_band_0_2_spawn_start_minus_baseline","within_band_period_minus_baseline","spawn_start",0,3,-0.00351685567786969,0.0643920215717307,-0.129722898850188,0.122689187494449,0.996489321215857,0.878338785889528,1.13053298254568,0.956444131460696,217176,"completed","american_robin__detection__spawn_start__13_bands",13,0.956444131460696,FALSE,FALSE
"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","SoG","detection","band_0_2","0–<2 km","within_band_0_2_early_egg_minus_baseline","within_band_period_minus_baseline","early_egg",4,14,0.0676606516495286,0.0504222946331718,-0.0311652298493554,0.166486533148413,1.07000214340016,0.969315400006183,1.18114762942344,0.179635017315016,217176,"completed","american_robin__detection__early_egg__13_bands",13,0.194813309817562,FALSE,FALSE
"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","SoG","detection","band_0_2","0–<2 km","within_band_0_2_late_egg_minus_baseline","within_band_period_minus_baseline","late_egg",15,28,0.0821440063590658,0.0499669562757879,-0.0157894283585661,0.180077441076698,1.08561213362419,0.984334571180288,1.19731008051347,0.100183105267871,217176,"completed","american_robin__detection__late_egg__13_bands",13,0.118398215316575,FALSE,FALSE
"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","SoG","detection","band_0_2","0–<2 km","within_band_0_2_active_0_14_minus_baseline","within_band_duration_weighted_active_minus_baseline","active_0_14",0,14,0.0486799830288891,0.0462286520442429,-0.0419265100316609,0.139286476089439,1.04988431617563,0.958940250471684,1.14945334374003,0.292328972109191,217176,"completed","american_robin__detection__active_0_14__13_bands",13,0.292328972109191,FALSE,FALSE
"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","SoG","detection","band_2_4","2–<4 km","within_band_2_4_early_pre_minus_baseline","within_band_period_minus_baseline","early_pre",-14,-8,0.0150227170943841,0.046954537374891,-0.0770064850711421,0.10705191925991,1.01513612529695,0.925883849164395,1.11299203870219,0.749012484207418,217176,"completed","american_robin__detection__early_pre__13_bands",13,0.811430191224702,FALSE,FALSE
"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","SoG","detection","band_2_4","2–<4 km","within_band_2_4_immediate_pre_minus_baseline","within_band_period_minus_baseline","immediate_pre",-7,-1,0.0790144220575808,0.0475458907943588,-0.0141738115122368,0.172202655627398,1.08221992979591,0.985926164051839,1.18791854720054,0.0965416584742094,217176,"completed","american_robin__detection__immediate_pre__13_bands",13,0.139449062240525,FALSE,FALSE
"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","SoG","detection","band_2_4","2–<4 km","within_band_2_4_spawn_start_minus_baseline","within_band_period_minus_baseline","spawn_start",0,3,0.0204937465202416,0.0536135145746246,-0.0845868111306359,0.125574304171119,1.02070518526402,0.91889188187107,1.1337994118562,0.702276206638264,217176,"completed","american_robin__detection__spawn_start__13_bands",13,0.760799223858119,FALSE,FALSE
"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","SoG","detection","band_2_4","2–<4 km","within_band_2_4_early_egg_minus_baseline","within_band_period_minus_baseline","early_egg",4,14,0.0542844498665025,0.0393174438281806,-0.0227763240009082,0.131345223733913,1.05578487731385,0.977481098384219,1.14036139318417,0.167380178023533,217176,"completed","american_robin__detection__early_egg__13_bands",13,0.194813309817562,FALSE,FALSE
