"outcome","coefficient","estimate","model_version_id","analysis_taxon_id","unit_label"
"detection","(Intercept)",-3.46774722833819,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_0_2_baseline",-0.119703058053364,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_2_4_baseline",-0.162581843637839,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_4_6_baseline",-0.0989441937579149,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_6_8_baseline",0.0133683673085936,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_8_10_baseline",-0.143794062087447,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_10_12_baseline",-0.101452643197617,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_12_14_baseline",-0.169363555167845,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_14_16_baseline",-0.0892739935382563,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_16_18_baseline",-0.106081583909254,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_18_20_baseline",-0.0824901849609176,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_20_22_baseline",0.036338925549924,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_22_24_baseline",-0.0256679308410682,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_24_26_baseline",-0.0545187947686328,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_0_2_early_pre",-0.0396641817900626,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_2_4_early_pre",-0.147559126543455,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_4_6_early_pre",0.00579265045751561,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_6_8_early_pre",-0.0683462329628052,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_8_10_early_pre",-0.0638061365641837,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_10_12_early_pre",0.0129748173343865,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_12_14_early_pre",-0.0767228458636889,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_14_16_early_pre",-0.0875619507603061,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_16_18_early_pre",-0.0587210106935392,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_18_20_early_pre",-0.0655226288648882,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_20_22_early_pre",0.104280945929239,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_22_24_early_pre",0.0110630074539436,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_24_26_early_pre",0.026608281956742,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_0_2_immediate_pre",0.0194892675991477,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_2_4_immediate_pre",-0.0835674215802582,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_4_6_immediate_pre",-0.0497236105260043,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_6_8_immediate_pre",0.0383429231469195,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_8_10_immediate_pre",0.0265153106396257,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_10_12_immediate_pre",0.00367329800581939,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_12_14_immediate_pre",-0.0626484937494274,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_14_16_immediate_pre",0.0076129252394439,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_16_18_immediate_pre",0.020810101046014,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_18_20_immediate_pre",-0.0599759195340575,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_20_22_immediate_pre",0.0228419093552538,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_22_24_immediate_pre",0.0378125149758007,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_24_26_immediate_pre",0.0431540665708249,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_0_2_spawn_start",-0.123219913731234,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_2_4_spawn_start",-0.142088097117597,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_4_6_spawn_start",-0.0383831104794879,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_6_8_spawn_start",0.0374254309317902,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_8_10_spawn_start",0.0461320611272965,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_10_12_spawn_start",0.0512614792803762,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_12_14_spawn_start",-0.00358411265183371,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_14_16_spawn_start",-0.00397781382974946,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_16_18_spawn_start",0.00930502077360065,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_18_20_spawn_start",0.026570755405626,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_20_22_spawn_start",-0.0352180367198734,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_22_24_spawn_start",0.0822370827111543,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_24_26_spawn_start",0.0704761212114496,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_0_2_early_egg",-0.0520424064038355,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
"detection","db_band_2_4_early_egg",-0.108297393771337,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin"
