"term","outcome","exposed_model_rows","model_version_id","analysis_taxon_id","unit_label","band","period"
"db_band_0_2_baseline","detection",2960,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_0_2","baseline"
"db_band_2_4_baseline","detection",4363,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_2_4","baseline"
"db_band_4_6_baseline","detection",5491,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_4_6","baseline"
"db_band_6_8_baseline","detection",6327,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_6_8","baseline"
"db_band_8_10_baseline","detection",6641,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_8_10","baseline"
"db_band_10_12_baseline","detection",6972,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_10_12","baseline"
"db_band_12_14_baseline","detection",5625,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_12_14","baseline"
"db_band_14_16_baseline","detection",5434,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_14_16","baseline"
"db_band_16_18_baseline","detection",5926,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_16_18","baseline"
"db_band_18_20_baseline","detection",5913,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_18_20","baseline"
"db_band_20_22_baseline","detection",4972,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_20_22","baseline"
"db_band_22_24_baseline","detection",5434,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_22_24","baseline"
"db_band_24_26_baseline","detection",5862,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_24_26","baseline"
"db_band_0_2_early_pre","detection",1536,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_0_2","early_pre"
"db_band_2_4_early_pre","detection",2375,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_2_4","early_pre"
"db_band_4_6_early_pre","detection",3007,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_4_6","early_pre"
"db_band_6_8_early_pre","detection",3342,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_6_8","early_pre"
"db_band_8_10_early_pre","detection",3696,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_8_10","early_pre"
"db_band_10_12_early_pre","detection",4004,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_10_12","early_pre"
"db_band_12_14_early_pre","detection",2990,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_12_14","early_pre"
"db_band_14_16_early_pre","detection",3030,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_14_16","early_pre"
"db_band_16_18_early_pre","detection",3290,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_16_18","early_pre"
"db_band_18_20_early_pre","detection",3154,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_18_20","early_pre"
"db_band_20_22_early_pre","detection",2765,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_20_22","early_pre"
"db_band_22_24_early_pre","detection",2966,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_22_24","early_pre"
"db_band_24_26_early_pre","detection",3140,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_24_26","early_pre"
"db_band_0_2_immediate_pre","detection",1672,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_0_2","immediate_pre"
"db_band_2_4_immediate_pre","detection",2372,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_2_4","immediate_pre"
"db_band_4_6_immediate_pre","detection",3064,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_4_6","immediate_pre"
"db_band_6_8_immediate_pre","detection",3349,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_6_8","immediate_pre"
"db_band_8_10_immediate_pre","detection",3728,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_8_10","immediate_pre"
"db_band_10_12_immediate_pre","detection",3962,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_10_12","immediate_pre"
"db_band_12_14_immediate_pre","detection",2910,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_12_14","immediate_pre"
"db_band_14_16_immediate_pre","detection",3140,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_14_16","immediate_pre"
"db_band_16_18_immediate_pre","detection",3375,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_16_18","immediate_pre"
"db_band_18_20_immediate_pre","detection",3139,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_18_20","immediate_pre"
"db_band_20_22_immediate_pre","detection",2737,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_20_22","immediate_pre"
"db_band_22_24_immediate_pre","detection",3036,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_22_24","immediate_pre"
"db_band_24_26_immediate_pre","detection",3343,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_24_26","immediate_pre"
"db_band_0_2_spawn_start","detection",1166,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_0_2","spawn_start"
"db_band_2_4_spawn_start","detection",1522,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_2_4","spawn_start"
"db_band_4_6_spawn_start","detection",1960,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_4_6","spawn_start"
"db_band_6_8_spawn_start","detection",2046,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_6_8","spawn_start"
"db_band_8_10_spawn_start","detection",2327,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_8_10","spawn_start"
"db_band_10_12_spawn_start","detection",2401,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_10_12","spawn_start"
"db_band_12_14_spawn_start","detection",1879,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_12_14","spawn_start"
"db_band_14_16_spawn_start","detection",1974,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_14_16","spawn_start"
"db_band_16_18_spawn_start","detection",2066,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_16_18","spawn_start"
"db_band_18_20_spawn_start","detection",1936,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_18_20","spawn_start"
"db_band_20_22_spawn_start","detection",1681,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_20_22","spawn_start"
"db_band_22_24_spawn_start","detection",1840,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_22_24","spawn_start"
"db_band_24_26_spawn_start","detection",2073,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_24_26","spawn_start"
"db_band_0_2_early_egg","detection",2707,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_0_2","early_egg"
"db_band_2_4_early_egg","detection",3690,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_2_4","early_egg"
"db_band_4_6_early_egg","detection",4643,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_4_6","early_egg"
"db_band_6_8_early_egg","detection",5129,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_6_8","early_egg"
"db_band_8_10_early_egg","detection",5699,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_8_10","early_egg"
"db_band_10_12_early_egg","detection",6198,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_10_12","early_egg"
"db_band_12_14_early_egg","detection",4781,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_12_14","early_egg"
"db_band_14_16_early_egg","detection",5222,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_14_16","early_egg"
"db_band_16_18_early_egg","detection",5514,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_16_18","early_egg"
"db_band_18_20_early_egg","detection",4811,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_18_20","early_egg"
"db_band_20_22_early_egg","detection",4462,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_20_22","early_egg"
"db_band_22_24_early_egg","detection",4949,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_22_24","early_egg"
