"outcome","coefficient","estimate"
"detection","(Intercept)",-3.21331368500314
"detection","db_band_0_2_baseline",0.0173762667533236
"detection","db_band_2_4_baseline",-0.0255360151181461
"detection","db_band_4_6_baseline",0.0252469746553052
"detection","db_band_6_8_baseline",-0.008339696108808
"detection","db_band_8_10_baseline",0.0778053973286348
"detection","db_band_10_20_baseline",0.013688087004218
"detection","db_band_0_2_early_pre",-0.0171985913083104
"detection","db_band_2_4_early_pre",0.00418820438360936
"detection","db_band_4_6_early_pre",0.0414787252372512
"detection","db_band_6_8_early_pre",0.0139142495598334
"detection","db_band_8_10_early_pre",-0.019947782995141
"detection","db_band_10_20_early_pre",0.0466647352584607
"detection","db_band_0_2_immediate_pre",0.0809982952581988
"detection","db_band_2_4_immediate_pre",0.124205666987098
"detection","db_band_4_6_immediate_pre",-0.00291399496524206
"detection","db_band_6_8_immediate_pre",0.0207021964606
"detection","db_band_8_10_immediate_pre",-0.0447319989848353
"detection","db_band_10_20_immediate_pre",0.0245126532358442
"detection","db_band_0_2_spawn_start",0.290396061437847
"detection","db_band_2_4_spawn_start",0.16245565852187
"detection","db_band_4_6_spawn_start",0.0944536064580266
"detection","db_band_6_8_spawn_start",-0.0419986564112075
"detection","db_band_8_10_spawn_start",-0.0475639165621277
"detection","db_band_10_20_spawn_start",0.0372129386516968
"detection","db_band_0_2_early_egg",0.0233148604470564
"detection","db_band_2_4_early_egg",0.0635238742231697
"detection","db_band_4_6_early_egg",0.00436577088886248
"detection","db_band_6_8_early_egg",0.011073347664718
"detection","db_band_8_10_early_egg",-0.00667739221404612
"detection","db_band_10_20_early_egg",0.022954899971205
"detection","db_band_0_2_late_egg",-0.008717595808529
"detection","db_band_2_4_late_egg",0.0393579145380707
"detection","db_band_4_6_late_egg",-0.0297594312967895
"detection","db_band_6_8_late_egg",0.010194564877367
"detection","db_band_8_10_late_egg",0.0368476902323908
"detection","db_band_10_20_late_egg",0.00146482585598728
"detection","factor(checklist_year)2006",-1.04809356380345
"detection","factor(checklist_year)2007",-1.09548996198659
"detection","factor(checklist_year)2008",-0.860626713048162
"detection","factor(checklist_year)2009",-0.565354215084801
"detection","factor(checklist_year)2010",-0.30580989592169
"detection","factor(checklist_year)2011",-0.204297556734213
"detection","factor(checklist_year)2012",-0.824541760415198
"detection","factor(checklist_year)2013",-0.0679215614075906
"detection","factor(checklist_year)2014",-0.4867931384879
"detection","factor(checklist_year)2015",-0.527769916326436
"detection","factor(checklist_year)2016",-0.80409912010267
"detection","factor(checklist_year)2017",-0.634474466369561
"detection","factor(checklist_year)2018",-0.457312587915471
"detection","factor(checklist_year)2019",-0.563983142434284
"detection","factor(checklist_year)2020",-0.716167081784439
"detection","factor(checklist_year)2021",-0.702822465971932
"detection","factor(checklist_year)2022",-0.986800169127753
"detection","factor(checklist_year)2023",-0.910024994185689
"detection","factor(checklist_year)2024",-0.747398897990211
"detection","factor(checklist_year)2025",-1.15074610099407
"detection","protocoltraveling",0.17418899293129
"detection","log_duration",0.730776705234077
"detection","log_effort_distance",0.204172835879286
"detection","observer_count",0.118447314855691
"positive_numeric_count_given_detection","(Intercept)",0.279656953202546
"positive_numeric_count_given_detection","db_band_0_2_baseline",0.0353823932352951
"positive_numeric_count_given_detection","db_band_2_4_baseline",0.00531793659911068
"positive_numeric_count_given_detection","db_band_4_6_baseline",-0.00281297923447951
"positive_numeric_count_given_detection","db_band_6_8_baseline",0.00981641285255548
"positive_numeric_count_given_detection","db_band_8_10_baseline",0.0376468813529185
"positive_numeric_count_given_detection","db_band_10_20_baseline",0.0103149804138195
"positive_numeric_count_given_detection","db_band_0_2_early_pre",0.00764748692949615
"positive_numeric_count_given_detection","db_band_2_4_early_pre",0.00505954502924398
"positive_numeric_count_given_detection","db_band_4_6_early_pre",-0.00476118870026712
"positive_numeric_count_given_detection","db_band_6_8_early_pre",0.0232749891696485
"positive_numeric_count_given_detection","db_band_8_10_early_pre",-0.000191363098669392
"positive_numeric_count_given_detection","db_band_10_20_early_pre",0.0198068192174333
"positive_numeric_count_given_detection","db_band_0_2_immediate_pre",0.0579024231581434
"positive_numeric_count_given_detection","db_band_2_4_immediate_pre",0.00100104651233871
"positive_numeric_count_given_detection","db_band_4_6_immediate_pre",0.0412404621892436
"positive_numeric_count_given_detection","db_band_6_8_immediate_pre",0.0152932625403536
"positive_numeric_count_given_detection","db_band_8_10_immediate_pre",0.00368791276697616
"positive_numeric_count_given_detection","db_band_10_20_immediate_pre",0.0146153965688538
"positive_numeric_count_given_detection","db_band_0_2_spawn_start",0.254124189386069
