"term","band","band_label","period","exposed_checklists","exposure_links","event_blocks","checklist_years"
"db_band_0_2_baseline","band_0_2","0–<2 km","baseline",2960,4250,43,
"db_band_2_4_baseline","band_2_4","2–<4 km","baseline",4363,6343,43,
"db_band_4_6_baseline","band_4_6","4–<6 km","baseline",5491,8733,46,21
"db_band_6_8_baseline","band_6_8","6–<8 km","baseline",6327,9634,48,20
"db_band_8_10_baseline","band_8_10","8–10 km","baseline",6641,10474,46,
"db_band_10_20_baseline","band_10_20",">10–20 km","baseline",19608,44671,55,21
"db_band_0_2_early_pre","band_0_2","0–<2 km","early_pre",1536,2017,41,
"db_band_2_4_early_pre","band_2_4","2–<4 km","early_pre",2375,3205,41,
"db_band_4_6_early_pre","band_4_6","4–<6 km","early_pre",3007,4547,48,21
"db_band_6_8_early_pre","band_6_8","6–<8 km","early_pre",3342,4903,45,21
"db_band_8_10_early_pre","band_8_10","8–10 km","early_pre",3697,5564,42,20
"db_band_10_20_early_pre","band_10_20",">10–20 km","early_pre",11576,22863,54,21
"db_band_0_2_immediate_pre","band_0_2","0–<2 km","immediate_pre",1672,2173,43,
"db_band_2_4_immediate_pre","band_2_4","2–<4 km","immediate_pre",2372,3113,40,
"db_band_4_6_immediate_pre","band_4_6","4–<6 km","immediate_pre",3064,4442,43,20
"db_band_6_8_immediate_pre","band_6_8","6–<8 km","immediate_pre",3349,4840,43,
"db_band_8_10_immediate_pre","band_8_10","8–10 km","immediate_pre",3729,5431,40,
"db_band_10_20_immediate_pre","band_10_20",">10–20 km","immediate_pre",11324,23248,52,21
"db_band_0_2_spawn_start","band_0_2","0–<2 km","spawn_start",1166,1593,40,20
"db_band_2_4_spawn_start","band_2_4","2–<4 km","spawn_start",1522,2013,38,
"db_band_4_6_spawn_start","band_4_6","4–<6 km","spawn_start",1960,2733,43,20
"db_band_6_8_spawn_start","band_6_8","6–<8 km","spawn_start",2046,2830,43,21
"db_band_8_10_spawn_start","band_8_10","8–10 km","spawn_start",2327,3231,41,
"db_band_10_20_spawn_start","band_10_20",">10–20 km","spawn_start",7271,13956,55,21
"db_band_0_2_early_egg","band_0_2","0–<2 km","early_egg",2708,3775,44,20
"db_band_2_4_early_egg","band_2_4","2–<4 km","early_egg",3691,5372,44,
"db_band_4_6_early_egg","band_4_6","4–<6 km","early_egg",4643,7116,44,20
"db_band_6_8_early_egg","band_6_8","6–<8 km","early_egg",5130,7609,45,
"db_band_8_10_early_egg","band_8_10","8–10 km","early_egg",5700,8590,45,
"db_band_10_20_early_egg","band_10_20",">10–20 km","early_egg",17403,39282,54,21
"db_band_0_2_late_egg","band_0_2","0–<2 km","late_egg",3024,4200,45,21
"db_band_2_4_late_egg","band_2_4","2–<4 km","late_egg",4549,6937,46,20
"db_band_4_6_late_egg","band_4_6","4–<6 km","late_egg",5934,9595,46,20
"db_band_6_8_late_egg","band_6_8","6–<8 km","late_egg",6637,10132,50,21
"db_band_8_10_late_egg","band_8_10","8–10 km","late_egg",7234,11378,47,21
"db_band_10_20_late_egg","band_10_20",">10–20 km","late_egg",21677,50470,56,21
