"outcome","row_coefficient","column_coefficient","covariance"
"detection","db_band_0_2_baseline","db_band_0_2_baseline",0.00118153336852069
"detection","db_band_2_4_baseline","db_band_0_2_baseline",-0.000192502251514309
"detection","db_band_4_6_baseline","db_band_0_2_baseline",-0.000120061985412305
"detection","db_band_6_8_baseline","db_band_0_2_baseline",-1.25268581986019e-05
"detection","db_band_8_10_baseline","db_band_0_2_baseline",-1.38346100911437e-05
"detection","db_band_10_12_baseline","db_band_0_2_baseline",-3.60894227836374e-06
"detection","db_band_12_14_baseline","db_band_0_2_baseline",-4.18001567727565e-05
"detection","db_band_14_16_baseline","db_band_0_2_baseline",-1.19848573035449e-05
"detection","db_band_16_18_baseline","db_band_0_2_baseline",1.11960168570175e-05
"detection","db_band_18_20_baseline","db_band_0_2_baseline",-2.87819011838472e-05
"detection","db_band_20_22_baseline","db_band_0_2_baseline",-8.17153128674304e-05
"detection","db_band_22_24_baseline","db_band_0_2_baseline",-8.74215459627288e-06
"detection","db_band_24_26_baseline","db_band_0_2_baseline",-2.35984476261905e-05
"detection","db_band_0_2_early_pre","db_band_0_2_baseline",-2.95200663009799e-05
"detection","db_band_2_4_early_pre","db_band_0_2_baseline",2.03456213813406e-05
"detection","db_band_4_6_early_pre","db_band_0_2_baseline",1.12658908722718e-05
"detection","db_band_6_8_early_pre","db_band_0_2_baseline",7.48252961308991e-06
"detection","db_band_8_10_early_pre","db_band_0_2_baseline",-8.46547566531899e-06
"detection","db_band_10_12_early_pre","db_band_0_2_baseline",5.69645547739721e-06
"detection","db_band_12_14_early_pre","db_band_0_2_baseline",1.44899441011572e-05
"detection","db_band_14_16_early_pre","db_band_0_2_baseline",1.44671149876352e-06
"detection","db_band_16_18_early_pre","db_band_0_2_baseline",4.38595259713011e-06
"detection","db_band_18_20_early_pre","db_band_0_2_baseline",-4.82976452131107e-06
"detection","db_band_20_22_early_pre","db_band_0_2_baseline",-1.85025466129019e-05
"detection","db_band_22_24_early_pre","db_band_0_2_baseline",9.48677840546197e-06
"detection","db_band_24_26_early_pre","db_band_0_2_baseline",-9.47199349580959e-06
"detection","db_band_0_2_immediate_pre","db_band_0_2_baseline",-2.05757928302332e-05
