"outcome","term","exposed_model_rows","band","period"
"detection","db_band_0_2_baseline",2960,"band_0_2","baseline"
"detection","db_band_2_4_baseline",4363,"band_2_4","baseline"
"detection","db_band_4_6_baseline",5491,"band_4_6","baseline"
"detection","db_band_6_8_baseline",6327,"band_6_8","baseline"
"detection","db_band_8_10_baseline",6641,"band_8_10","baseline"
"detection","db_band_10_12_baseline",6972,"band_10_12","baseline"
"detection","db_band_12_14_baseline",5625,"band_12_14","baseline"
"detection","db_band_14_16_baseline",5434,"band_14_16","baseline"
"detection","db_band_16_18_baseline",5926,"band_16_18","baseline"
"detection","db_band_18_20_baseline",5913,"band_18_20","baseline"
"detection","db_band_20_22_baseline",4972,"band_20_22","baseline"
"detection","db_band_22_24_baseline",5434,"band_22_24","baseline"
"detection","db_band_24_26_baseline",5862,"band_24_26","baseline"
"detection","db_band_0_2_early_pre",1536,"band_0_2","early_pre"
"detection","db_band_2_4_early_pre",2375,"band_2_4","early_pre"
"detection","db_band_4_6_early_pre",3007,"band_4_6","early_pre"
"detection","db_band_6_8_early_pre",3342,"band_6_8","early_pre"
"detection","db_band_8_10_early_pre",3696,"band_8_10","early_pre"
"detection","db_band_10_12_early_pre",4004,"band_10_12","early_pre"
"detection","db_band_12_14_early_pre",2990,"band_12_14","early_pre"
"detection","db_band_14_16_early_pre",3030,"band_14_16","early_pre"
"detection","db_band_16_18_early_pre",3291,"band_16_18","early_pre"
"detection","db_band_18_20_early_pre",3154,"band_18_20","early_pre"
"detection","db_band_20_22_early_pre",2765,"band_20_22","early_pre"
"detection","db_band_22_24_early_pre",2966,"band_22_24","early_pre"
"detection","db_band_24_26_early_pre",3140,"band_24_26","early_pre"
"detection","db_band_0_2_immediate_pre",1672,"band_0_2","immediate_pre"
"detection","db_band_2_4_immediate_pre",2372,"band_2_4","immediate_pre"
"detection","db_band_4_6_immediate_pre",3064,"band_4_6","immediate_pre"
"detection","db_band_6_8_immediate_pre",3349,"band_6_8","immediate_pre"
"detection","db_band_8_10_immediate_pre",3728,"band_8_10","immediate_pre"
"detection","db_band_10_12_immediate_pre",3962,"band_10_12","immediate_pre"
"detection","db_band_12_14_immediate_pre",2910,"band_12_14","immediate_pre"
"detection","db_band_14_16_immediate_pre",3140,"band_14_16","immediate_pre"
"detection","db_band_16_18_immediate_pre",3375,"band_16_18","immediate_pre"
"detection","db_band_18_20_immediate_pre",3139,"band_18_20","immediate_pre"
"detection","db_band_20_22_immediate_pre",2737,"band_20_22","immediate_pre"
"detection","db_band_22_24_immediate_pre",3036,"band_22_24","immediate_pre"
"detection","db_band_24_26_immediate_pre",3343,"band_24_26","immediate_pre"
"detection","db_band_0_2_spawn_start",1166,"band_0_2","spawn_start"
"detection","db_band_2_4_spawn_start",1522,"band_2_4","spawn_start"
"detection","db_band_4_6_spawn_start",1960,"band_4_6","spawn_start"
"detection","db_band_6_8_spawn_start",2046,"band_6_8","spawn_start"
"detection","db_band_8_10_spawn_start",2327,"band_8_10","spawn_start"
"detection","db_band_10_12_spawn_start",2401,"band_10_12","spawn_start"
"detection","db_band_12_14_spawn_start",1879,"band_12_14","spawn_start"
"detection","db_band_14_16_spawn_start",1974,"band_14_16","spawn_start"
"detection","db_band_16_18_spawn_start",2066,"band_16_18","spawn_start"
"detection","db_band_18_20_spawn_start",1936,"band_18_20","spawn_start"
"detection","db_band_20_22_spawn_start",1681,"band_20_22","spawn_start"
"detection","db_band_22_24_spawn_start",1841,"band_22_24","spawn_start"
"detection","db_band_24_26_spawn_start",2073,"band_24_26","spawn_start"
"detection","db_band_0_2_early_egg",2708,"band_0_2","early_egg"
"detection","db_band_2_4_early_egg",3691,"band_2_4","early_egg"
"detection","db_band_4_6_early_egg",4643,"band_4_6","early_egg"
"detection","db_band_6_8_early_egg",5130,"band_6_8","early_egg"
"detection","db_band_8_10_early_egg",5700,"band_8_10","early_egg"
"detection","db_band_10_12_early_egg",6199,"band_10_12","early_egg"
"detection","db_band_12_14_early_egg",4782,"band_12_14","early_egg"
"detection","db_band_14_16_early_egg",5222,"band_14_16","early_egg"
"detection","db_band_16_18_early_egg",5515,"band_16_18","early_egg"
"detection","db_band_18_20_early_egg",4811,"band_18_20","early_egg"
"detection","db_band_20_22_early_egg",4463,"band_20_22","early_egg"
"detection","db_band_22_24_early_egg",4950,"band_22_24","early_egg"
"detection","db_band_24_26_early_egg",5443,"band_24_26","early_egg"
"detection","db_band_0_2_late_egg",3024,"band_0_2","late_egg"
"detection","db_band_2_4_late_egg",4549,"band_2_4","late_egg"
"detection","db_band_4_6_late_egg",5934,"band_4_6","late_egg"
"detection","db_band_6_8_late_egg",6637,"band_6_8","late_egg"
"detection","db_band_8_10_late_egg",7234,"band_8_10","late_egg"
"detection","db_band_10_12_late_egg",8070,"band_10_12","late_egg"
"detection","db_band_12_14_late_egg",6072,"band_12_14","late_egg"
"detection","db_band_14_16_late_egg",6386,"band_14_16","late_egg"
"detection","db_band_16_18_late_egg",6804,"band_16_18","late_egg"
"detection","db_band_18_20_late_egg",5945,"band_18_20","late_egg"
"detection","db_band_20_22_late_egg",5211,"band_20_22","late_egg"
"detection","db_band_22_24_late_egg",5978,"band_22_24","late_egg"
"detection","db_band_24_26_late_egg",6806,"band_24_26","late_egg"
"positive_numeric_count_given_detection","db_band_0_2_baseline",1446,"band_0_2","baseline"
"positive_numeric_count_given_detection","db_band_2_4_baseline",1745,"band_2_4","baseline"
"positive_numeric_count_given_detection","db_band_4_6_baseline",2373,"band_4_6","baseline"
"positive_numeric_count_given_detection","db_band_6_8_baseline",2667,"band_6_8","baseline"
"positive_numeric_count_given_detection","db_band_8_10_baseline",3087,"band_8_10","baseline"
"positive_numeric_count_given_detection","db_band_10_12_baseline",3064,"band_10_12","baseline"
"positive_numeric_count_given_detection","db_band_12_14_baseline",2551,"band_12_14","baseline"
"positive_numeric_count_given_detection","db_band_14_16_baseline",2367,"band_14_16","baseline"
"positive_numeric_count_given_detection","db_band_16_18_baseline",2453,"band_16_18","baseline"
"positive_numeric_count_given_detection","db_band_18_20_baseline",2851,"band_18_20","baseline"
"positive_numeric_count_given_detection","db_band_20_22_baseline",2298,"band_20_22","baseline"
"positive_numeric_count_given_detection","db_band_22_24_baseline",2492,"band_22_24","baseline"
"positive_numeric_count_given_detection","db_band_24_26_baseline",2654,"band_24_26","baseline"
"positive_numeric_count_given_detection","db_band_0_2_early_pre",740,"band_0_2","early_pre"
"positive_numeric_count_given_detection","db_band_2_4_early_pre",955,"band_2_4","early_pre"
"positive_numeric_count_given_detection","db_band_4_6_early_pre",1338,"band_4_6","early_pre"
"positive_numeric_count_given_detection","db_band_6_8_early_pre",1480,"band_6_8","early_pre"
"positive_numeric_count_given_detection","db_band_8_10_early_pre",1675,"band_8_10","early_pre"
"positive_numeric_count_given_detection","db_band_10_12_early_pre",1831,"band_10_12","early_pre"
"positive_numeric_count_given_detection","db_band_12_14_early_pre",1394,"band_12_14","early_pre"
"positive_numeric_count_given_detection","db_band_14_16_early_pre",1383,"band_14_16","early_pre"
"positive_numeric_count_given_detection","db_band_16_18_early_pre",1400,"band_16_18","early_pre"
"positive_numeric_count_given_detection","db_band_18_20_early_pre",1629,"band_18_20","early_pre"
"positive_numeric_count_given_detection","db_band_20_22_early_pre",1332,"band_20_22","early_pre"
"positive_numeric_count_given_detection","db_band_22_24_early_pre",1412,"band_22_24","early_pre"
"positive_numeric_count_given_detection","db_band_24_26_early_pre",1490,"band_24_26","early_pre"
"positive_numeric_count_given_detection","db_band_0_2_immediate_pre",869,"band_0_2","immediate_pre"
"positive_numeric_count_given_detection","db_band_2_4_immediate_pre",1049,"band_2_4","immediate_pre"
"positive_numeric_count_given_detection","db_band_4_6_immediate_pre",1357,"band_4_6","immediate_pre"
"positive_numeric_count_given_detection","db_band_6_8_immediate_pre",1538,"band_6_8","immediate_pre"
"positive_numeric_count_given_detection","db_band_8_10_immediate_pre",1770,"band_8_10","immediate_pre"
"positive_numeric_count_given_detection","db_band_10_12_immediate_pre",1848,"band_10_12","immediate_pre"
"positive_numeric_count_given_detection","db_band_12_14_immediate_pre",1422,"band_12_14","immediate_pre"
"positive_numeric_count_given_detection","db_band_14_16_immediate_pre",1455,"band_14_16","immediate_pre"
"positive_numeric_count_given_detection","db_band_16_18_immediate_pre",1443,"band_16_18","immediate_pre"
"positive_numeric_count_given_detection","db_band_18_20_immediate_pre",1639,"band_18_20","immediate_pre"
"positive_numeric_count_given_detection","db_band_20_22_immediate_pre",1363,"band_20_22","immediate_pre"
"positive_numeric_count_given_detection","db_band_22_24_immediate_pre",1478,"band_22_24","immediate_pre"
"positive_numeric_count_given_detection","db_band_24_26_immediate_pre",1675,"band_24_26","immediate_pre"
"positive_numeric_count_given_detection","db_band_0_2_spawn_start",736,"band_0_2","spawn_start"
"positive_numeric_count_given_detection","db_band_2_4_spawn_start",754,"band_2_4","spawn_start"
