"analysis_version","event_day","near_checklists","reference_checklists","near_median_duration_minutes","reference_median_duration_minutes"
"post_stage4a_event_time_v1",-5,676,2590,45,45
"post_stage4a_event_time_v1",-4,707,2773,42,45
"post_stage4a_event_time_v1",-3,721,2837,41,45
"post_stage4a_event_time_v1",-2,776,2848,36,43
"post_stage4a_event_time_v1",-1,794,2905,40,44
"post_stage4a_event_time_v1",0,827,2952,41,45
"post_stage4a_event_time_v1",1,843,2911,44,45
"post_stage4a_event_time_v1",2,899,2942,41,45
"post_stage4a_event_time_v1",3,864,3160,44.5,45
"post_stage4a_event_time_v1",4,822,3032,41,45
"post_stage4a_event_time_v1",5,799,2838,40,43.5
