"term","exposed_checklists","meets_minimum_20","outcome"
"et_near_baseline",7955,TRUE,"checklist_reporting"
"et_reference_baseline",25732,TRUE,"checklist_reporting"
"et_near_early_pre",4509,TRUE,"checklist_reporting"
"et_reference_early_pre",15569,TRUE,"checklist_reporting"
"et_near_immediate_pre_residual",1445,TRUE,"checklist_reporting"
"et_reference_immediate_pre_residual",5013,TRUE,"checklist_reporting"
"et_near_early_egg_residual",5940,TRUE,"checklist_reporting"
"et_reference_early_egg_residual",19811,TRUE,"checklist_reporting"
"et_near_late_egg",8566,TRUE,"checklist_reporting"
"et_reference_late_egg",28493,TRUE,"checklist_reporting"
"et_near_dm5",676,TRUE,"checklist_reporting"
"et_reference_dm5",2590,TRUE,"checklist_reporting"
"et_near_dm4",707,TRUE,"checklist_reporting"
"et_reference_dm4",2773,TRUE,"checklist_reporting"
"et_near_dm3",721,TRUE,"checklist_reporting"
"et_reference_dm3",2837,TRUE,"checklist_reporting"
"et_near_dm2",776,TRUE,"checklist_reporting"
"et_reference_dm2",2848,TRUE,"checklist_reporting"
"et_near_dm1",794,TRUE,"checklist_reporting"
"et_reference_dm1",2905,TRUE,"checklist_reporting"
"et_near_d0",827,TRUE,"checklist_reporting"
"et_reference_d0",2952,TRUE,"checklist_reporting"
"et_near_d1",843,TRUE,"checklist_reporting"
"et_reference_d1",2911,TRUE,"checklist_reporting"
"et_near_d2",899,TRUE,"checklist_reporting"
"et_reference_d2",2942,TRUE,"checklist_reporting"
"et_near_d3",864,TRUE,"checklist_reporting"
"et_reference_d3",3160,TRUE,"checklist_reporting"
"et_near_d4",822,TRUE,"checklist_reporting"
"et_reference_d4",3032,TRUE,"checklist_reporting"
"et_near_d5",799,TRUE,"checklist_reporting"
"et_reference_d5",2838,TRUE,"checklist_reporting"
"et_near_baseline",3218,TRUE,"conditional_positive_numeric_count"
"et_reference_baseline",10587,TRUE,"conditional_positive_numeric_count"
"et_near_early_pre",1822,TRUE,"conditional_positive_numeric_count"
"et_reference_early_pre",6655,TRUE,"conditional_positive_numeric_count"
"et_near_immediate_pre_residual",620,TRUE,"conditional_positive_numeric_count"
"et_reference_immediate_pre_residual",2153,TRUE,"conditional_positive_numeric_count"
"et_near_early_egg_residual",2549,TRUE,"conditional_positive_numeric_count"
"et_reference_early_egg_residual",8495,TRUE,"conditional_positive_numeric_count"
"et_near_late_egg",3537,TRUE,"conditional_positive_numeric_count"
"et_reference_late_egg",11624,TRUE,"conditional_positive_numeric_count"
"et_near_dm5",314,TRUE,"conditional_positive_numeric_count"
"et_reference_dm5",1170,TRUE,"conditional_positive_numeric_count"
"et_near_dm4",325,TRUE,"conditional_positive_numeric_count"
"et_reference_dm4",1272,TRUE,"conditional_positive_numeric_count"
"et_near_dm3",335,TRUE,"conditional_positive_numeric_count"
"et_reference_dm3",1325,TRUE,"conditional_positive_numeric_count"
"et_near_dm2",357,TRUE,"conditional_positive_numeric_count"
"et_reference_dm2",1302,TRUE,"conditional_positive_numeric_count"
"et_near_dm1",375,TRUE,"conditional_positive_numeric_count"
"et_reference_dm1",1392,TRUE,"conditional_positive_numeric_count"
"et_near_d0",423,TRUE,"conditional_positive_numeric_count"
"et_reference_d0",1370,TRUE,"conditional_positive_numeric_count"
"et_near_d1",445,TRUE,"conditional_positive_numeric_count"
"et_reference_d1",1410,TRUE,"conditional_positive_numeric_count"
"et_near_d2",467,TRUE,"conditional_positive_numeric_count"
"et_reference_d2",1447,TRUE,"conditional_positive_numeric_count"
"et_near_d3",427,TRUE,"conditional_positive_numeric_count"
"et_reference_d3",1502,TRUE,"conditional_positive_numeric_count"
"et_near_d4",402,TRUE,"conditional_positive_numeric_count"
"et_reference_d4",1467,TRUE,"conditional_positive_numeric_count"
"et_near_d5",374,TRUE,"conditional_positive_numeric_count"
"et_reference_d5",1295,TRUE,"conditional_positive_numeric_count"
