"outcome","row_coefficient","column_coefficient","covariance"
"detection","db_band_0_2_baseline","db_band_0_2_baseline",0.00166055357995507
"detection","db_band_2_4_baseline","db_band_0_2_baseline",-0.000254122520008976
"detection","db_band_4_6_baseline","db_band_0_2_baseline",-0.000177242337774966
"detection","db_band_6_8_baseline","db_band_0_2_baseline",-9.97002162847768e-06
"detection","db_band_8_10_baseline","db_band_0_2_baseline",-2.50841076615659e-05
"detection","db_band_10_12_baseline","db_band_0_2_baseline",8.28873016060886e-06
"detection","db_band_12_14_baseline","db_band_0_2_baseline",-7.86632642719576e-05
"detection","db_band_14_16_baseline","db_band_0_2_baseline",-2.2476189399636e-05
"detection","db_band_16_18_baseline","db_band_0_2_baseline",7.35346783368568e-06
"detection","db_band_18_20_baseline","db_band_0_2_baseline",-4.09726906086892e-05
"detection","db_band_20_22_baseline","db_band_0_2_baseline",-0.000102032556131563
"detection","db_band_22_24_baseline","db_band_0_2_baseline",-1.2411931797184e-05
"detection","db_band_24_26_baseline","db_band_0_2_baseline",-4.94854859746158e-05
"detection","db_band_0_2_early_pre","db_band_0_2_baseline",-5.56675502796735e-06
"detection","db_band_2_4_early_pre","db_band_0_2_baseline",4.11316997763858e-05
"detection","db_band_4_6_early_pre","db_band_0_2_baseline",1.19143140409062e-05
"detection","db_band_6_8_early_pre","db_band_0_2_baseline",5.71701521272641e-06
"detection","db_band_8_10_early_pre","db_band_0_2_baseline",-1.55269198908764e-05
"detection","db_band_10_12_early_pre","db_band_0_2_baseline",8.32198938548884e-06
"detection","db_band_12_14_early_pre","db_band_0_2_baseline",2.57158338689055e-05
"detection","db_band_14_16_early_pre","db_band_0_2_baseline",9.38598790065876e-06
"detection","db_band_16_18_early_pre","db_band_0_2_baseline",3.18420177286025e-06
"detection","db_band_18_20_early_pre","db_band_0_2_baseline",-7.03231656910462e-06
"detection","db_band_20_22_early_pre","db_band_0_2_baseline",-2.74649114383576e-05
"detection","db_band_22_24_early_pre","db_band_0_2_baseline",1.06088026565078e-05
"detection","db_band_24_26_early_pre","db_band_0_2_baseline",-1.95408842069973e-05
"detection","db_band_0_2_immediate_pre","db_band_0_2_baseline",-1.3954801067008e-05
"detection","db_band_2_4_immediate_pre","db_band_0_2_baseline",4.0331831440088e-05
"detection","db_band_4_6_immediate_pre","db_band_0_2_baseline",1.00481748646829e-05
"detection","db_band_6_8_immediate_pre","db_band_0_2_baseline",1.44624324363046e-06
"detection","db_band_8_10_immediate_pre","db_band_0_2_baseline",-1.72199492568288e-06
"detection","db_band_10_12_immediate_pre","db_band_0_2_baseline",3.16348537315054e-06
"detection","db_band_12_14_immediate_pre","db_band_0_2_baseline",6.50719600935341e-06
"detection","db_band_14_16_immediate_pre","db_band_0_2_baseline",-1.0044091490809e-05
"detection","db_band_16_18_immediate_pre","db_band_0_2_baseline",-6.79505477773038e-06
"detection","db_band_18_20_immediate_pre","db_band_0_2_baseline",-2.11730080300784e-06
"detection","db_band_20_22_immediate_pre","db_band_0_2_baseline",1.31294669502494e-05
"detection","db_band_22_24_immediate_pre","db_band_0_2_baseline",4.39114740420971e-06
"detection","db_band_24_26_immediate_pre","db_band_0_2_baseline",-9.05142153386149e-06
"detection","db_band_0_2_spawn_start","db_band_0_2_baseline",1.56992500737298e-05
"detection","db_band_2_4_spawn_start","db_band_0_2_baseline",2.08131614044053e-05
"detection","db_band_4_6_spawn_start","db_band_0_2_baseline",6.05231803982749e-06
