"outcome","coefficient","estimate"
"detection","(Intercept)",-4.28095504191654
"detection","db_band_0_2_baseline",0.104070538047526
"detection","db_band_2_4_baseline",0.18267004667797
"detection","db_band_4_6_baseline",0.0391800467073351
"detection","db_band_6_8_baseline",0.0701178542234141
"detection","db_band_8_10_baseline",0.0621611321051963
"detection","db_band_10_12_baseline",0.0190523655019953
"detection","db_band_12_14_baseline",-0.00625126570022891
"detection","db_band_14_16_baseline",0.172780441330056
"detection","db_band_16_18_baseline",0.128165860967705
"detection","db_band_18_20_baseline",0.0441474088961842
"detection","db_band_20_22_baseline",-0.00592013398527097
"detection","db_band_22_24_baseline",0.0295770809911728
"detection","db_band_24_26_baseline",0.0953429726755934
"detection","db_band_0_2_early_pre",0.0782408558715807
"detection","db_band_2_4_early_pre",0.0921938360016325
"detection","db_band_4_6_early_pre",0.0478099463101676
"detection","db_band_6_8_early_pre",0.0625279267689463
"detection","db_band_8_10_early_pre",0.0411511634393818
"detection","db_band_10_12_early_pre",-0.00995004291383838
"detection","db_band_12_14_early_pre",-0.0291199849447064
"detection","db_band_14_16_early_pre",0.206090704079799
"detection","db_band_16_18_early_pre",0.0403397689337782
"detection","db_band_18_20_early_pre",0.037329739711882
"detection","db_band_20_22_early_pre",-0.0209173631701474
"detection","db_band_22_24_early_pre",0.044817982996814
"detection","db_band_24_26_early_pre",0.0952584433303171
"detection","db_band_0_2_immediate_pre",0.111996302459603
"detection","db_band_2_4_immediate_pre",0.113521425275741
"detection","db_band_4_6_immediate_pre",0.0677874946158403
"detection","db_band_6_8_immediate_pre",0.0388816601784189
"detection","db_band_8_10_immediate_pre",-0.0521032097981689
"detection","db_band_10_12_immediate_pre",0.0168693537058258
"detection","db_band_12_14_immediate_pre",0.0619968948233464
"detection","db_band_14_16_immediate_pre",0.126363097792343
"detection","db_band_16_18_immediate_pre",-0.0129764697140881
"detection","db_band_18_20_immediate_pre",0.0246613090303355
"detection","db_band_20_22_immediate_pre",0.0367641369817765
"detection","db_band_22_24_immediate_pre",0.0415514243833104
"detection","db_band_24_26_immediate_pre",0.00123567806028301
"detection","db_band_0_2_spawn_start",0.382152874599614
"detection","db_band_2_4_spawn_start",0.172573601083753
"detection","db_band_4_6_spawn_start",0.0108267418582248
"detection","db_band_6_8_spawn_start",-0.101050819933622
"detection","db_band_8_10_spawn_start",-0.0927480214182767
"detection","db_band_10_12_spawn_start",0.03156556088988
"detection","db_band_12_14_spawn_start",-0.0129986008728221
"detection","db_band_14_16_spawn_start",0.0569817793378781
"detection","db_band_16_18_spawn_start",-0.038771604984596
"detection","db_band_18_20_spawn_start",0.0496947077292215
"detection","db_band_20_22_spawn_start",0.0165987851098019
"detection","db_band_22_24_spawn_start",-0.0888724348278029
"detection","db_band_24_26_spawn_start",-0.0478923770536984
"detection","db_band_0_2_early_egg",0.255411575497313
"detection","db_band_2_4_early_egg",0.0849023841510676
"detection","db_band_4_6_early_egg",0.0613631228600644
"detection","db_band_6_8_early_egg",-0.0156975672956736
"detection","db_band_8_10_early_egg",-0.0482801377908407
"detection","db_band_10_12_early_egg",0.0271555234768394
"detection","db_band_12_14_early_egg",-0.038925279937505
"detection","db_band_14_16_early_egg",0.0162827750832633
"detection","db_band_16_18_early_egg",-0.013184423290804
"detection","db_band_18_20_early_egg",-0.0412428999476774
"detection","db_band_20_22_early_egg",0.00337968779446224
"detection","db_band_22_24_early_egg",-0.0318595103835861
"detection","db_band_24_26_early_egg",-0.0546896042185728
"detection","db_band_0_2_late_egg",0.133178089865866
"detection","db_band_2_4_late_egg",0.0713331570883117
"detection","db_band_4_6_late_egg",0.0326020122224241
"detection","db_band_6_8_late_egg",-0.0499559199726401
"detection","db_band_8_10_late_egg",0.0245187968892072
