"term","band","band_label","period","exposed_checklists","exposure_links","event_blocks","checklist_years"
"db_band_0_2_baseline","band_0_2","0–<2 km","baseline",2960,4250,43,
"db_band_2_4_baseline","band_2_4","2–<4 km","baseline",4363,6343,43,
"db_band_4_6_baseline","band_4_6","4–<6 km","baseline",5491,8733,46,21
"db_band_6_8_baseline","band_6_8","6–<8 km","baseline",6327,9634,48,20
"db_band_8_10_baseline","band_8_10","8–<10 km","baseline",6641,10473,46,
"db_band_10_12_baseline","band_10_12","10–<12 km","baseline",6972,10329,46,
"db_band_12_14_baseline","band_12_14","12–<14 km","baseline",5625,7990,48,21
"db_band_14_16_baseline","band_14_16","14–<16 km","baseline",5434,8130,42,
"db_band_16_18_baseline","band_16_18","16–<18 km","baseline",5926,9110,49,
"db_band_18_20_baseline","band_18_20","18–<20 km","baseline",5913,9113,44,21
"db_band_20_22_baseline","band_20_22","20–<22 km","baseline",4972,8368,33,20
"db_band_22_24_baseline","band_22_24","22–<24 km","baseline",5434,8957,33,20
"db_band_24_26_baseline","band_24_26","24–26 km","baseline",5862,8913,34,20
"db_band_0_2_early_pre","band_0_2","0–<2 km","early_pre",1536,2017,41,
"db_band_2_4_early_pre","band_2_4","2–<4 km","early_pre",2375,3205,41,
"db_band_4_6_early_pre","band_4_6","4–<6 km","early_pre",3007,4547,48,21
"db_band_6_8_early_pre","band_6_8","6–<8 km","early_pre",3342,4903,45,21
"db_band_8_10_early_pre","band_8_10","8–<10 km","early_pre",3696,5563,42,20
"db_band_10_12_early_pre","band_10_12","10–<12 km","early_pre",4004,5633,43,
"db_band_12_14_early_pre","band_12_14","12–<14 km","early_pre",2990,3891,43,
"db_band_14_16_early_pre","band_14_16","14–<16 km","early_pre",3030,4145,40,21
"db_band_16_18_early_pre","band_16_18","16–<18 km","early_pre",3291,4744,44,
"db_band_18_20_early_pre","band_18_20","18–<20 km","early_pre",3154,4451,40,20
"db_band_20_22_early_pre","band_20_22","20–<22 km","early_pre",2765,4424,29,
"db_band_22_24_early_pre","band_22_24","22–<24 km","early_pre",2966,4571,32,
"db_band_24_26_early_pre","band_24_26","24–26 km","early_pre",3140,4562,31,
"db_band_0_2_immediate_pre","band_0_2","0–<2 km","immediate_pre",1672,2173,43,
"db_band_2_4_immediate_pre","band_2_4","2–<4 km","immediate_pre",2372,3113,40,
"db_band_4_6_immediate_pre","band_4_6","4–<6 km","immediate_pre",3064,4442,43,20
"db_band_6_8_immediate_pre","band_6_8","6–<8 km","immediate_pre",3349,4840,43,
"db_band_8_10_immediate_pre","band_8_10","8–<10 km","immediate_pre",3728,5428,40,
"db_band_10_12_immediate_pre","band_10_12","10–<12 km","immediate_pre",3962,5567,45,21
"db_band_12_14_immediate_pre","band_12_14","12–<14 km","immediate_pre",2910,3940,45,20
"db_band_14_16_immediate_pre","band_14_16","14–<16 km","immediate_pre",3140,4364,38,
"db_band_16_18_immediate_pre","band_16_18","16–<18 km","immediate_pre",3375,4913,45,21
"db_band_18_20_immediate_pre","band_18_20","18–<20 km","immediate_pre",3139,4467,41,20
"db_band_20_22_immediate_pre","band_20_22","20–<22 km","immediate_pre",2737,4469,31,
"db_band_22_24_immediate_pre","band_22_24","22–<24 km","immediate_pre",3036,4845,32,
"db_band_24_26_immediate_pre","band_24_26","24–26 km","immediate_pre",3343,4793,33,20
"db_band_0_2_spawn_start","band_0_2","0–<2 km","spawn_start",1166,1593,40,20
"db_band_2_4_spawn_start","band_2_4","2–<4 km","spawn_start",1522,2013,38,
"db_band_4_6_spawn_start","band_4_6","4–<6 km","spawn_start",1960,2733,43,20
"db_band_6_8_spawn_start","band_6_8","6–<8 km","spawn_start",2046,2830,43,21
"db_band_8_10_spawn_start","band_8_10","8–<10 km","spawn_start",2327,3231,41,
"db_band_10_12_spawn_start","band_10_12","10–<12 km","spawn_start",2401,3251,37,
"db_band_12_14_spawn_start","band_12_14","12–<14 km","spawn_start",1879,2492,44,
"db_band_14_16_spawn_start","band_14_16","14–<16 km","spawn_start",1974,2687,39,20
"db_band_16_18_spawn_start","band_16_18","16–<18 km","spawn_start",2066,2817,48,21
"db_band_18_20_spawn_start","band_18_20","18–<20 km","spawn_start",1936,2709,42,20
"db_band_20_22_spawn_start","band_20_22","20–<22 km","spawn_start",1681,2714,31,
"db_band_22_24_spawn_start","band_22_24","22–<24 km","spawn_start",1841,2832,31,
"db_band_24_26_spawn_start","band_24_26","24–26 km","spawn_start",2073,2888,31,
"db_band_0_2_early_egg","band_0_2","0–<2 km","early_egg",2708,3775,44,20
"db_band_2_4_early_egg","band_2_4","2–<4 km","early_egg",3691,5372,44,
"db_band_4_6_early_egg","band_4_6","4–<6 km","early_egg",4643,7116,44,20
"db_band_6_8_early_egg","band_6_8","6–<8 km","early_egg",5130,7609,45,
"db_band_8_10_early_egg","band_8_10","8–<10 km","early_egg",5700,8590,45,
"db_band_10_12_early_egg","band_10_12","10–<12 km","early_egg",6199,9321,46,20
"db_band_12_14_early_egg","band_12_14","12–<14 km","early_egg",4782,6726,48,20
"db_band_14_16_early_egg","band_14_16","14–<16 km","early_egg",5222,7539,46,20
"db_band_16_18_early_egg","band_16_18","16–<18 km","early_egg",5515,8275,47,20
"db_band_18_20_early_egg","band_18_20","18–<20 km","early_egg",4811,7421,43,20
"db_band_20_22_early_egg","band_20_22","20–<22 km","early_egg",4463,7462,33,21
"db_band_22_24_early_egg","band_22_24","22–<24 km","early_egg",4950,8419,33,20
"db_band_24_26_early_egg","band_24_26","24–26 km","early_egg",5443,8134,32,20
"db_band_0_2_late_egg","band_0_2","0–<2 km","late_egg",3024,4200,45,21
"db_band_2_4_late_egg","band_2_4","2–<4 km","late_egg",4549,6937,46,20
"db_band_4_6_late_egg","band_4_6","4–<6 km","late_egg",5934,9595,46,20
"db_band_6_8_late_egg","band_6_8","6–<8 km","late_egg",6637,10132,50,21
"db_band_8_10_late_egg","band_8_10","8–<10 km","late_egg",7234,11374,47,21
"db_band_10_12_late_egg","band_10_12","10–<12 km","late_egg",8070,12502,48,21
"db_band_12_14_late_egg","band_12_14","12–<14 km","late_egg",6072,8695,50,21
"db_band_14_16_late_egg","band_14_16","14–<16 km","late_egg",6386,9523,47,21
"db_band_16_18_late_egg","band_16_18","16–<18 km","late_egg",6804,10488,53,21
"db_band_18_20_late_egg","band_18_20","18–<20 km","late_egg",5945,9266,44,21
"db_band_20_22_late_egg","band_20_22","20–<22 km","late_egg",5211,9254,33,21
"db_band_22_24_late_egg","band_22_24","22–<24 km","late_egg",5978,10133,35,21
"db_band_24_26_late_egg","band_24_26","24–26 km","late_egg",6806,10381,34,21
