"outcome","term","exposed_model_rows","band","period"
"detection","db_band_0_2_baseline",2957,"band_0_2","baseline"
"detection","db_band_2_4_baseline",4361,"band_2_4","baseline"
"detection","db_band_4_6_baseline",5484,"band_4_6","baseline"
"detection","db_band_6_8_baseline",6325,"band_6_8","baseline"
"detection","db_band_8_10_baseline",6636,"band_8_10","baseline"
"detection","db_band_10_12_baseline",6966,"band_10_12","baseline"
"detection","db_band_12_14_baseline",5620,"band_12_14","baseline"
"detection","db_band_14_16_baseline",5425,"band_14_16","baseline"
"detection","db_band_16_18_baseline",5922,"band_16_18","baseline"
"detection","db_band_18_20_baseline",5909,"band_18_20","baseline"
"detection","db_band_20_22_baseline",4969,"band_20_22","baseline"
"detection","db_band_22_24_baseline",5431,"band_22_24","baseline"
"detection","db_band_24_26_baseline",5858,"band_24_26","baseline"
"detection","db_band_0_2_early_pre",1534,"band_0_2","early_pre"
"detection","db_band_2_4_early_pre",2371,"band_2_4","early_pre"
"detection","db_band_4_6_early_pre",3003,"band_4_6","early_pre"
"detection","db_band_6_8_early_pre",3338,"band_6_8","early_pre"
"detection","db_band_8_10_early_pre",3691,"band_8_10","early_pre"
"detection","db_band_10_12_early_pre",3997,"band_10_12","early_pre"
"detection","db_band_12_14_early_pre",2986,"band_12_14","early_pre"
"detection","db_band_14_16_early_pre",3024,"band_14_16","early_pre"
"detection","db_band_16_18_early_pre",3288,"band_16_18","early_pre"
"detection","db_band_18_20_early_pre",3149,"band_18_20","early_pre"
"detection","db_band_20_22_early_pre",2760,"band_20_22","early_pre"
"detection","db_band_22_24_early_pre",2959,"band_22_24","early_pre"
"detection","db_band_24_26_early_pre",3133,"band_24_26","early_pre"
"detection","db_band_0_2_immediate_pre",1672,"band_0_2","immediate_pre"
"detection","db_band_2_4_immediate_pre",2370,"band_2_4","immediate_pre"
"detection","db_band_4_6_immediate_pre",3064,"band_4_6","immediate_pre"
"detection","db_band_6_8_immediate_pre",3348,"band_6_8","immediate_pre"
"detection","db_band_8_10_immediate_pre",3728,"band_8_10","immediate_pre"
"detection","db_band_10_12_immediate_pre",3960,"band_10_12","immediate_pre"
"detection","db_band_12_14_immediate_pre",2908,"band_12_14","immediate_pre"
"detection","db_band_14_16_immediate_pre",3138,"band_14_16","immediate_pre"
"detection","db_band_16_18_immediate_pre",3375,"band_16_18","immediate_pre"
"detection","db_band_18_20_immediate_pre",3137,"band_18_20","immediate_pre"
"detection","db_band_20_22_immediate_pre",2737,"band_20_22","immediate_pre"
"detection","db_band_22_24_immediate_pre",3035,"band_22_24","immediate_pre"
"detection","db_band_24_26_immediate_pre",3340,"band_24_26","immediate_pre"
"detection","db_band_0_2_spawn_start",1165,"band_0_2","spawn_start"
"detection","db_band_2_4_spawn_start",1519,"band_2_4","spawn_start"
"detection","db_band_4_6_spawn_start",1958,"band_4_6","spawn_start"
"detection","db_band_6_8_spawn_start",2045,"band_6_8","spawn_start"
"detection","db_band_8_10_spawn_start",2325,"band_8_10","spawn_start"
"detection","db_band_10_12_spawn_start",2399,"band_10_12","spawn_start"
"detection","db_band_12_14_spawn_start",1877,"band_12_14","spawn_start"
"detection","db_band_14_16_spawn_start",1971,"band_14_16","spawn_start"
"detection","db_band_16_18_spawn_start",2066,"band_16_18","spawn_start"
"detection","db_band_18_20_spawn_start",1933,"band_18_20","spawn_start"
"detection","db_band_20_22_spawn_start",1678,"band_20_22","spawn_start"
"detection","db_band_22_24_spawn_start",1837,"band_22_24","spawn_start"
"detection","db_band_24_26_spawn_start",2071,"band_24_26","spawn_start"
"detection","db_band_0_2_early_egg",2706,"band_0_2","early_egg"
"detection","db_band_2_4_early_egg",3690,"band_2_4","early_egg"
"detection","db_band_4_6_early_egg",4636,"band_4_6","early_egg"
"detection","db_band_6_8_early_egg",5129,"band_6_8","early_egg"
"detection","db_band_8_10_early_egg",5700,"band_8_10","early_egg"
"detection","db_band_10_12_early_egg",6196,"band_10_12","early_egg"
"detection","db_band_12_14_early_egg",4781,"band_12_14","early_egg"
"detection","db_band_14_16_early_egg",5220,"band_14_16","early_egg"
"detection","db_band_16_18_early_egg",5514,"band_16_18","early_egg"
"detection","db_band_18_20_early_egg",4811,"band_18_20","early_egg"
"detection","db_band_20_22_early_egg",4462,"band_20_22","early_egg"
"detection","db_band_22_24_early_egg",4948,"band_22_24","early_egg"
"detection","db_band_24_26_early_egg",5441,"band_24_26","early_egg"
"detection","db_band_0_2_late_egg",3022,"band_0_2","late_egg"
"detection","db_band_2_4_late_egg",4547,"band_2_4","late_egg"
