"outcome","band","band_label","period","exposed_model_rows"
"detection","band_0_2","0–2 km","baseline",2960
"detection","band_2_4","2–4 km","baseline",4363
"detection","band_4_6","4–6 km","baseline",5491
"detection","band_6_8","6–8 km","baseline",6327
"detection","band_8_10","8–10 km","baseline",6641
"detection","band_10_12","10–12 km","baseline",6972
"detection","band_12_14","12–14 km","baseline",5625
"detection","band_14_16","14–16 km","baseline",5434
"detection","band_16_18","16–18 km","baseline",5926
"detection","band_18_20","18–20 km","baseline",5913
"detection","band_20_22","20–22 km","baseline",4972
"detection","band_22_24","22–24 km","baseline",5434
"detection","band_24_26","24–26 km","baseline",5862
"detection","band_0_2","0–2 km","early_pre",1536
"detection","band_2_4","2–4 km","early_pre",2375
"detection","band_4_6","4–6 km","early_pre",3007
"detection","band_6_8","6–8 km","early_pre",3342
"detection","band_8_10","8–10 km","early_pre",3696
"detection","band_10_12","10–12 km","early_pre",4004
"detection","band_12_14","12–14 km","early_pre",2990
"detection","band_14_16","14–16 km","early_pre",3030
"detection","band_16_18","16–18 km","early_pre",3291
"detection","band_18_20","18–20 km","early_pre",3154
"detection","band_20_22","20–22 km","early_pre",2765
"detection","band_22_24","22–24 km","early_pre",2966
"detection","band_24_26","24–26 km","early_pre",3140
"detection","band_0_2","0–2 km","immediate_pre",1672
"detection","band_2_4","2–4 km","immediate_pre",2372
"detection","band_4_6","4–6 km","immediate_pre",3064
"detection","band_6_8","6–8 km","immediate_pre",3349
"detection","band_8_10","8–10 km","immediate_pre",3728
"detection","band_10_12","10–12 km","immediate_pre",3962
"detection","band_12_14","12–14 km","immediate_pre",2910
"detection","band_14_16","14–16 km","immediate_pre",3140
"detection","band_16_18","16–18 km","immediate_pre",3375
"detection","band_18_20","18–20 km","immediate_pre",3139
"detection","band_20_22","20–22 km","immediate_pre",2737
"detection","band_22_24","22–24 km","immediate_pre",3036
"detection","band_24_26","24–26 km","immediate_pre",3343
"detection","band_0_2","0–2 km","spawn_start",1166
"detection","band_2_4","2–4 km","spawn_start",1522
"detection","band_4_6","4–6 km","spawn_start",1960
"detection","band_6_8","6–8 km","spawn_start",2046
"detection","band_8_10","8–10 km","spawn_start",2327
"detection","band_10_12","10–12 km","spawn_start",2401
"detection","band_12_14","12–14 km","spawn_start",1879
"detection","band_14_16","14–16 km","spawn_start",1974
"detection","band_16_18","16–18 km","spawn_start",2066
"detection","band_18_20","18–20 km","spawn_start",1936
"detection","band_20_22","20–22 km","spawn_start",1681
"detection","band_22_24","22–24 km","spawn_start",1841
"detection","band_24_26","24–26 km","spawn_start",2073
"detection","band_0_2","0–2 km","early_egg",2708
"detection","band_2_4","2–4 km","early_egg",3691
"detection","band_4_6","4–6 km","early_egg",4643
"detection","band_6_8","6–8 km","early_egg",5130
"detection","band_8_10","8–10 km","early_egg",5700
"detection","band_10_12","10–12 km","early_egg",6199
"detection","band_12_14","12–14 km","early_egg",4782
"detection","band_14_16","14–16 km","early_egg",5222
"detection","band_16_18","16–18 km","early_egg",5515
"detection","band_18_20","18–20 km","early_egg",4811
"detection","band_20_22","20–22 km","early_egg",4463
"detection","band_22_24","22–24 km","early_egg",4950
"detection","band_24_26","24–26 km","early_egg",5443
"detection","band_0_2","0–2 km","late_egg",3024
"detection","band_2_4","2–4 km","late_egg",4549
"detection","band_4_6","4–6 km","late_egg",5934
"detection","band_6_8","6–8 km","late_egg",6637
"detection","band_8_10","8–10 km","late_egg",7234
"detection","band_10_12","10–12 km","late_egg",8070
"detection","band_12_14","12–14 km","late_egg",6072
"detection","band_14_16","14–16 km","late_egg",6386
"detection","band_16_18","16–18 km","late_egg",6804
"detection","band_18_20","18–20 km","late_egg",5945
"detection","band_20_22","20–22 km","late_egg",5211
"detection","band_22_24","22–24 km","late_egg",5978
"detection","band_24_26","24–26 km","late_egg",6806
"positive_numeric_count_given_detection","band_0_2","0–2 km","baseline",1683
"positive_numeric_count_given_detection","band_2_4","2–4 km","baseline",2205
"positive_numeric_count_given_detection","band_4_6","4–6 km","baseline",2550
"positive_numeric_count_given_detection","band_6_8","6–8 km","baseline",2585
"positive_numeric_count_given_detection","band_8_10","8–10 km","baseline",2847
"positive_numeric_count_given_detection","band_10_12","10–12 km","baseline",3053
"positive_numeric_count_given_detection","band_12_14","12–14 km","baseline",2331
"positive_numeric_count_given_detection","band_14_16","14–16 km","baseline",2289
"positive_numeric_count_given_detection","band_16_18","16–18 km","baseline",2405
"positive_numeric_count_given_detection","band_18_20","18–20 km","baseline",2411
"positive_numeric_count_given_detection","band_20_22","20–22 km","baseline",2073
"positive_numeric_count_given_detection","band_22_24","22–24 km","baseline",2031
"positive_numeric_count_given_detection","band_24_26","24–26 km","baseline",2296
"positive_numeric_count_given_detection","band_0_2","0–2 km","early_pre",840
"positive_numeric_count_given_detection","band_2_4","2–4 km","early_pre",1143
"positive_numeric_count_given_detection","band_4_6","4–6 km","early_pre",1332
"positive_numeric_count_given_detection","band_6_8","6–8 km","early_pre",1318
"positive_numeric_count_given_detection","band_8_10","8–10 km","early_pre",1502
"positive_numeric_count_given_detection","band_10_12","10–12 km","early_pre",1660
"positive_numeric_count_given_detection","band_12_14","12–14 km","early_pre",1131
"positive_numeric_count_given_detection","band_14_16","14–16 km","early_pre",1265
"positive_numeric_count_given_detection","band_16_18","16–18 km","early_pre",1293
"positive_numeric_count_given_detection","band_18_20","18–20 km","early_pre",1312
"positive_numeric_count_given_detection","band_20_22","20–22 km","early_pre",1143
"positive_numeric_count_given_detection","band_22_24","22–24 km","early_pre",1066
"positive_numeric_count_given_detection","band_24_26","24–26 km","early_pre",1206
"positive_numeric_count_given_detection","band_0_2","0–2 km","immediate_pre",946
"positive_numeric_count_given_detection","band_2_4","2–4 km","immediate_pre",1155
"positive_numeric_count_given_detection","band_4_6","4–6 km","immediate_pre",1411
"positive_numeric_count_given_detection","band_6_8","6–8 km","immediate_pre",1352
"positive_numeric_count_given_detection","band_8_10","8–10 km","immediate_pre",1468
"positive_numeric_count_given_detection","band_10_12","10–12 km","immediate_pre",1615
"positive_numeric_count_given_detection","band_12_14","12–14 km","immediate_pre",1149
"positive_numeric_count_given_detection","band_14_16","14–16 km","immediate_pre",1282
"positive_numeric_count_given_detection","band_16_18","16–18 km","immediate_pre",1292
"positive_numeric_count_given_detection","band_18_20","18–20 km","immediate_pre",1225
"positive_numeric_count_given_detection","band_20_22","20–22 km","immediate_pre",1121
"positive_numeric_count_given_detection","band_22_24","22–24 km","immediate_pre",1107
"positive_numeric_count_given_detection","band_24_26","24–26 km","immediate_pre",1270
"positive_numeric_count_given_detection","band_0_2","0–2 km","spawn_start",702
"positive_numeric_count_given_detection","band_2_4","2–4 km","spawn_start",727
"positive_numeric_count_given_detection","band_4_6","4–6 km","spawn_start",885
"positive_numeric_count_given_detection","band_6_8","6–8 km","spawn_start",760
"positive_numeric_count_given_detection","band_8_10","8–10 km","spawn_start",901
"positive_numeric_count_given_detection","band_10_12","10–12 km","spawn_start",953
"positive_numeric_count_given_detection","band_12_14","12–14 km","spawn_start",705
"positive_numeric_count_given_detection","band_14_16","14–16 km","spawn_start",764
"positive_numeric_count_given_detection","band_16_18","16–18 km","spawn_start",789
"positive_numeric_count_given_detection","band_18_20","18–20 km","spawn_start",729
"positive_numeric_count_given_detection","band_20_22","20–22 km","spawn_start",620
"positive_numeric_count_given_detection","band_22_24","22–24 km","spawn_start",603
"positive_numeric_count_given_detection","band_24_26","24–26 km","spawn_start",714
"positive_numeric_count_given_detection","band_0_2","0–2 km","early_egg",1474
"positive_numeric_count_given_detection","band_2_4","2–4 km","early_egg",1687
"positive_numeric_count_given_detection","band_4_6","4–6 km","early_egg",1949
"positive_numeric_count_given_detection","band_6_8","6–8 km","early_egg",1830
"positive_numeric_count_given_detection","band_8_10","8–10 km","early_egg",2104
"positive_numeric_count_given_detection","band_10_12","10–12 km","early_egg",2322
"positive_numeric_count_given_detection","band_12_14","12–14 km","early_egg",1644
"positive_numeric_count_given_detection","band_14_16","14–16 km","early_egg",1854
"positive_numeric_count_given_detection","band_16_18","16–18 km","early_egg",1931
"positive_numeric_count_given_detection","band_18_20","18–20 km","early_egg",1650
"positive_numeric_count_given_detection","band_20_22","20–22 km","early_egg",1604
"positive_numeric_count_given_detection","band_22_24","22–24 km","early_egg",1571
"positive_numeric_count_given_detection","band_24_26","24–26 km","early_egg",1795
"positive_numeric_count_given_detection","band_0_2","0–2 km","late_egg",1573
"positive_numeric_count_given_detection","band_2_4","2–4 km","late_egg",1896
"positive_numeric_count_given_detection","band_4_6","4–6 km","late_egg",2338
"positive_numeric_count_given_detection","band_6_8","6–8 km","late_egg",2242
"positive_numeric_count_given_detection","band_8_10","8–10 km","late_egg",2542
"positive_numeric_count_given_detection","band_10_12","10–12 km","late_egg",2754
"positive_numeric_count_given_detection","band_12_14","12–14 km","late_egg",1969
"positive_numeric_count_given_detection","band_14_16","14–16 km","late_egg",2027
"positive_numeric_count_given_detection","band_16_18","16–18 km","late_egg",2215
"positive_numeric_count_given_detection","band_18_20","18–20 km","late_egg",1883
"positive_numeric_count_given_detection","band_20_22","20–22 km","late_egg",1653
"positive_numeric_count_given_detection","band_22_24","22–24 km","late_egg",1681
"positive_numeric_count_given_detection","band_24_26","24–26 km","late_egg",2058
