"analysis_taxon_id","unit_label","outcome","outcome_label","contrast","window_days","window_role","estimate","standard_error","ratio","ratio_conf_low","ratio_conf_high","p_value","q_value","estimable","adjusted_significant","direction","status"
"atx_c9db024faf12","American Crow","detection","reporting","did_early_pre","-14 to -8","pre_onset",-0.0577599458394101,0.0329828891572612,0.943876501724383,0.884789760729251,1.00690908738949,0.0799098452741156,0.734885534475772,TRUE,FALSE,"negative","completed"
"atx_7571c026ae99","American Herring Gull","detection","reporting","did_early_pre","-14 to -8","pre_onset",0.0602025406710836,0.0940276414622033,1.06205163341326,0.883301885922568,1.27697414667884,0.522000795479981,0.922010926195214,TRUE,FALSE,"positive","completed"
"atx_a113baee5693","American Wigeon","detection","reporting","did_early_pre","-14 to -8","pre_onset",0.00276620267207142,0.0393196819125532,1.0027700321409,0.92839410172805,1.08310440090927,0.943913810555333,0.943913810555333,TRUE,FALSE,"positive","completed"
"atx_fc0a9b777dcd","Bald Eagle","detection","reporting","did_early_pre","-14 to -8","pre_onset",-0.00826541547123447,0.0309191817989927,0.991768649157842,0.933451849231711,1.05372875340269,0.789220304323861,0.922010926195214,TRUE,FALSE,"negative","completed"
"atx_d7dd9536145c","Barrow's Goldeneye","detection","reporting","did_early_pre","-14 to -8","pre_onset",0.0377370766413583,0.054611902393397,1.03845816207394,0.93304645798633,1.15577884160811,0.489562640234298,0.922010926195214,TRUE,FALSE,"positive","completed"
"atx_v2_000002","Black Oystercatcher","detection","reporting","did_early_pre","-14 to -8","pre_onset",-0.0196927422785247,0.0536036225795346,0.980499893191407,0.882714101228061,1.08911825381611,0.713337766522722,0.922010926195214,TRUE,FALSE,"negative","completed"
"atx_1328b44be502","Black Scoter","detection","reporting","did_early_pre","-14 to -8","pre_onset",-0.141568412404952,0.0841088020040373,0.867995791874014,0.73607840667733,1.02355494723983,0.0923444872517058,0.734885534475772,TRUE,FALSE,"negative","completed"
"atx_15dd5efcd8d6","Black Turnstone","detection","reporting","did_early_pre","-14 to -8","pre_onset",0.110723794605532,0.0753932092219803,1.11708631897221,0.963633560934822,1.29497549133129,0.141936536158976,0.734885534475772,TRUE,FALSE,"positive","completed"
"atx_v2_000006","Black-bellied Plover","detection","reporting","did_early_pre","-14 to -8","pre_onset",-0.0657857486906645,0.0785116501088684,0.936331453042437,0.802787080474246,1.09209105537503,0.402080880401837,0.922010926195214,TRUE,FALSE,"negative","completed"
"atx_fadb8da1a816","Bonaparte's Gull","detection","reporting","did_early_pre","-14 to -8","pre_onset",-0.0401568361182492,0.204988322531004,0.960638764482156,0.642796837167258,1.43564308731295,0.844689873987989,0.922010926195214,TRUE,FALSE,"negative","completed"
"atx_98ca0000b734","Brandt's Cormorant","detection","reporting","did_early_pre","-14 to -8","pre_onset",0.0213587381721572,0.103186957500014,1.02158846868966,0.834532173664587,1.2505725151097,0.836017139647496,0.922010926195214,TRUE,FALSE,"positive","completed"
"atx_59441ff7abde","Brant","detection","reporting","did_early_pre","-14 to -8","pre_onset",0.0284756135684564,0.07768812361284,1.02888491969692,0.883565095570867,1.19810547438589,0.713964007219254,0.922010926195214,TRUE,FALSE,"positive","completed"
"atx_99238953638b","Bufflehead","detection","reporting","did_early_pre","-14 to -8","pre_onset",0.00867458332689094,0.0381105890156508,1.00871231655259,0.936111394307608,1.08694386560425,0.819944708879301,0.922010926195214,TRUE,FALSE,"positive","completed"
"atx_c12b832d2b03","California Gull","detection","reporting","did_early_pre","-14 to -8","pre_onset",-0.064204246014759,0.0614592008477256,0.937813435311531,0.831385189546282,1.05786589719115,0.296178052433444,0.922010926195214,TRUE,FALSE,"negative","completed"
"atx_b3d3ea90f9cb","Canada Goose","detection","reporting","did_early_pre","-14 to -8","pre_onset",0.0630940892334255,0.0366627508227468,1.06512705150456,0.991274706301947,1.14448157370942,0.0852632227286642,0.734885534475772,TRUE,FALSE,"positive","completed"
"atx_82312e6f2848","Common Goldeneye","detection","reporting","did_early_pre","-14 to -8","pre_onset",0.0517361596319658,0.0408711230151322,1.05309785613022,0.972028873724128,1.14092813965196,0.2055716215778,0.777854756073133,TRUE,FALSE,"positive","completed"
"atx_9ae1aa9b7fdf","Common Loon","detection","reporting","did_early_pre","-14 to -8","pre_onset",-0.0689419631811039,0.0475750950197571,0.933380848961584,0.850281816196885,1.02460124703704,0.147304417032066,0.734885534475772,TRUE,FALSE,"negative","completed"
"atx_35518e24dfdd","Common Merganser","detection","reporting","did_early_pre","-14 to -8","pre_onset",-0.0596125272634772,0.0390356602634689,0.942129512370335,0.872737011398594,1.01703950501279,0.126728692149458,0.734885534475772,TRUE,FALSE,"negative","completed"
"atx_136b0e66254b","Common Murre","detection","reporting","did_early_pre","-14 to -8","pre_onset",0.0734096284416426,0.10707729547516,1.07617127700184,0.872442949660816,1.32747318078968,0.492980493507717,0.922010926195214,TRUE,FALSE,"positive","completed"
"atx_v2_000007","Common Raven","detection","reporting","did_early_pre","-14 to -8","pre_onset",0.0122602288651884,0.0315600536705646,1.01233569356056,0.951613475583173,1.07693258108678,0.697666027944362,0.922010926195214,TRUE,FALSE,"positive","completed"
"atx_a444854c6b66","Double-crested Cormorant","detection","reporting","did_early_pre","-14 to -8","pre_onset",-0.0165629935706549,0.045493518923528,0.983573418637487,0.899668738098904,1.07530319647928,0.715802978559996,0.922010926195214,TRUE,FALSE,"negative","completed"
"atx_v2_000003","Dunlin","detection","reporting","did_early_pre","-14 to -8","pre_onset",0.0133137054648801,0.0681788230449143,1.01340272747371,0.886641692866257,1.15828648293225,0.845176682345613,0.922010926195214,TRUE,FALSE,"positive","completed"
"atx_v2_000011","Glaucous Gull","detection","reporting","did_early_pre","-14 to -8","pre_onset",,,,,,,,FALSE,FALSE,,"failed_numerical_fit_no_fallback"
"atx_725074cbfcb6","Glaucous-winged Gull","detection","reporting","did_early_pre","-14 to -8","pre_onset",-0.0270985649496347,0.036612362549192,0.97326530695056,0.905871806449954,1.04567263377558,0.45921022860545,0.922010926195214,TRUE,FALSE,"negative","completed"
"atx_7b80ddaff058","Great Blue Heron","detection","reporting","did_early_pre","-14 to -8","pre_onset",0.020818357625039,0.0372383687314851,1.02103657128476,0.949169863842408,1.09834469004384,0.576123059588051,0.922010926195214,TRUE,FALSE,"positive","completed"
"atx_4ae57d328ec6","Greater Scaup","detection","reporting","did_early_pre","-14 to -8","pre_onset",0.0420798919097936,0.0654484073882597,1.04297780091072,0.917413822939067,1.18572738495223,0.520258146538692,0.922010926195214,TRUE,FALSE,"positive","completed"
"atx_87b306550dba","Harlequin Duck","detection","reporting","did_early_pre","-14 to -8","pre_onset",-0.0241418095062085,0.0592880786296477,0.976147272979548,0.869058959638611,1.09643136173597,0.683864769550925,0.922010926195214,TRUE,FALSE,"negative","completed"
