"model_version_id","analysis_taxon_id","unit_label","analysis_role","region","outcome","converged","singular_fit","rank_deficient","convergence_message","n","status"
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",20340,"completed"
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",1488,"completed"
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",4549,"completed"
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217178,"completed"
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",1684,"completed"
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",2023,"completed"
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",4421,"completed"
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","positive_numeric_count_given_detection",FALSE,,,"failed_insufficient_support",1063,"failed_insufficient_support"
"SOG_EVENT_STUDY_v1","atx_1930f23cc4f8","Surf Scoter","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217183,"completed"
"SOG_EVENT_STUDY_v1","atx_1930f23cc4f8","Surf Scoter","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",16632,"completed"
"SOG_EVENT_STUDY_v1","atx_3083477933a8","White-winged Scoter","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217199,"completed"
"SOG_EVENT_STUDY_v1","atx_3083477933a8","White-winged Scoter","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",4706,"completed"
"SOG_EVENT_STUDY_v1","atx_35518e24dfdd","Common Merganser","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217093,"completed"
"SOG_EVENT_STUDY_v1","atx_35518e24dfdd","Common Merganser","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",27776,"completed"
"SOG_EVENT_STUDY_v1","atx_35707a9578d5","Pelagic Cormorant","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
