"model_version_id","analysis_taxon_id","unit_label","analysis_role","region","outcome","term","exposed_model_rows"
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","detection","es_near_baseline",8077
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","detection","es_reference_baseline",25992
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","detection","es_near_early_pre",4512
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","detection","es_reference_early_pre",15467
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","detection","es_near_immediate_pre",4587
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","detection","es_reference_immediate_pre",15169
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","detection","es_near_spawn_start",2992
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","detection","es_reference_spawn_start",9759
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","detection","es_near_early_egg",7018
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","detection","es_reference_early_egg",22927
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","detection","es_near_late_egg",8712
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","detection","es_reference_late_egg",28655
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","positive_numeric_count_given_detection","es_near_baseline",969
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","positive_numeric_count_given_detection","es_reference_baseline",3684
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","positive_numeric_count_given_detection","es_near_early_pre",509
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","positive_numeric_count_given_detection","es_reference_early_pre",2024
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","positive_numeric_count_given_detection","es_near_immediate_pre",468
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","positive_numeric_count_given_detection","es_reference_immediate_pre",1877
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","positive_numeric_count_given_detection","es_near_spawn_start",311
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","positive_numeric_count_given_detection","es_reference_spawn_start",1143
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","positive_numeric_count_given_detection","es_near_early_egg",724
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","positive_numeric_count_given_detection","es_reference_early_egg",2536
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","positive_numeric_count_given_detection","es_near_late_egg",790
"SOG_EVENT_STUDY_v1","atx_04afbeb21fb0","Hooded Merganser","core_species","SoG","positive_numeric_count_given_detection","es_reference_late_egg",2689
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","detection","es_near_baseline",8077
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","detection","es_reference_baseline",25992
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","detection","es_near_early_pre",4512
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","detection","es_reference_early_pre",15467
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","detection","es_near_immediate_pre",4587
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","detection","es_reference_immediate_pre",15169
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","detection","es_near_spawn_start",2992
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","detection","es_reference_spawn_start",9759
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","detection","es_near_early_egg",7018
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","detection","es_reference_early_egg",22927
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","detection","es_near_late_egg",8712
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","detection","es_reference_late_egg",28655
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","positive_numeric_count_given_detection","es_near_baseline",72
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","positive_numeric_count_given_detection","es_reference_baseline",280
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","positive_numeric_count_given_detection","es_near_early_pre",34
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","positive_numeric_count_given_detection","es_reference_early_pre",139
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","positive_numeric_count_given_detection","es_near_immediate_pre",38
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","positive_numeric_count_given_detection","es_reference_immediate_pre",135
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","positive_numeric_count_given_detection","es_near_spawn_start",20
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","positive_numeric_count_given_detection","es_reference_spawn_start",66
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","positive_numeric_count_given_detection","es_near_early_egg",50
