"analysis_version","analysis_taxon_id","species","outcome","comparison","likelihood_ratio","degrees_freedom","p_value","q_value","n","status"
"post_stage4a_stage3_dose_v1","atx_725074cbfcb6","Glaucous-winged Gull","checklist_reporting","total_dose_model_vs_reduced",56.5483017485822,12,9.53542947490479e-08,7.78726740450557e-07,217037,"completed"
"post_stage4a_stage3_dose_v1","atx_725074cbfcb6","Glaucous-winged Gull","conditional_positive_numeric_count","total_dose_model_vs_reduced",346.196773570147,12,8.8974018870792e-67,4.35972692466881e-65,85053,"completed"
"post_stage4a_stage3_dose_v1","atx_fc0a9b777dcd","Bald Eagle","checklist_reporting","total_dose_model_vs_reduced",36.3099002224335,12,0.000288839630601962,0.000786285661083118,217199,"completed"
"post_stage4a_stage3_dose_v1","atx_fc0a9b777dcd","Bald Eagle","conditional_positive_numeric_count","total_dose_model_vs_reduced",117.942218581069,12,1.58836151754036e-19,2.59432381198259e-18,83359,"completed"
"post_stage4a_stage3_dose_v1","atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","total_dose_model_vs_reduced",31.7549047363427,12,0.00150950767803439,0.00369829381118425,217200,"completed"
"post_stage4a_stage3_dose_v1","atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","total_dose_model_vs_reduced",30.6945775685599,12,0.00219255238357244,0.00467108986065433,20340,"completed"
"post_stage4a_stage3_dose_v1","atx_04cf65098f13","Red-throated Loon","checklist_reporting","total_dose_model_vs_reduced",11.7988564894713,12,0.461966078073232,0.481624209055072,217200,"completed"
"post_stage4a_stage3_dose_v1","atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","total_dose_model_vs_reduced",8.49799406320608,12,0.745104347733656,0.869288405689265,1488,"completed"
"post_stage4a_stage3_dose_v1","atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","total_dose_model_vs_reduced",21.163225318749,12,0.0480407557605272,0.0784665677421944,217200,"completed"
"post_stage4a_stage3_dose_v1","atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","total_dose_model_vs_reduced",5.56210248672141,12,0.936529972591468,0.997608014282216,4549,"completed"
"post_stage4a_stage3_dose_v1","atx_1328b44be502","Black Scoter","checklist_reporting","total_dose_model_vs_reduced",13.4380405858265,12,0.338021683848266,0.36806805574589,217178,"completed"
"post_stage4a_stage3_dose_v1","atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","total_dose_model_vs_reduced",21.9520321371328,12,0.0380609487887752,0.0565147421409087,1684,"completed"
"post_stage4a_stage3_dose_v1","atx_136b0e66254b","Common Murre","checklist_reporting","total_dose_model_vs_reduced",15.4623296891587,12,0.217121052597296,0.253307894696846,217200,"completed"
"post_stage4a_stage3_dose_v1","atx_136b0e66254b","Common Murre","conditional_positive_numeric_count","total_dose_model_vs_reduced",14.9916732472811,12,0.241892134579014,0.31191354195715,2023,"completed"
"post_stage4a_stage3_dose_v1","atx_15dd5efcd8d6","Black Turnstone","checklist_reporting","total_dose_model_vs_reduced",12.4068597312726,12,0.413581806537936,0.440554533051279,217200,"completed"
"post_stage4a_stage3_dose_v1","atx_15dd5efcd8d6","Black Turnstone","conditional_positive_numeric_count","total_dose_model_vs_reduced",31.6197458775041,12,0.00158349086059724,0.00352686600769386,4421,"completed"
"post_stage4a_stage3_dose_v1","atx_1812dd827ede","Surfbird","checklist_reporting","total_dose_model_vs_reduced",15.730681179838,12,0.203885065670508,0.243667517508656,217200,"completed"
"post_stage4a_stage3_dose_v1","atx_1812dd827ede","Surfbird","conditional_positive_numeric_count","total_dose_model_vs_reduced",,,,,1063,"failed_insufficient_support"
"post_stage4a_stage3_dose_v1","atx_1930f23cc4f8","Surf Scoter","checklist_reporting","total_dose_model_vs_reduced",61.3024450421944,12,1.30532617587529e-08,1.27921965235779e-07,217183,"completed"
"post_stage4a_stage3_dose_v1","atx_1930f23cc4f8","Surf Scoter","conditional_positive_numeric_count","total_dose_model_vs_reduced",60.807436034178,12,1.60781752236233e-08,8.75367317730605e-08,16632,"completed"
"post_stage4a_stage3_dose_v1","atx_3083477933a8","White-winged Scoter","checklist_reporting","total_dose_model_vs_reduced",50.3753092677107,12,1.2001850990391e-06,6.53434109476843e-06,217199,"completed"
"post_stage4a_stage3_dose_v1","atx_3083477933a8","White-winged Scoter","conditional_positive_numeric_count","total_dose_model_vs_reduced",81.3802322155789,12,2.24961757512935e-12,1.57473230259054e-11,4706,"completed"
"post_stage4a_stage3_dose_v1","atx_35518e24dfdd","Common Merganser","checklist_reporting","total_dose_model_vs_reduced",40.6823207740672,12,5.53678151933545e-05,0.00019514005034091,217093,"completed"
"post_stage4a_stage3_dose_v1","atx_35518e24dfdd","Common Merganser","conditional_positive_numeric_count","total_dose_model_vs_reduced",35.3666993876104,12,0.000409293016472396,0.0010555451477446,27776,"completed"
"post_stage4a_stage3_dose_v1","atx_35707a9578d5","Pelagic Cormorant","checklist_reporting","total_dose_model_vs_reduced",17.7406171476905,12,0.123796249606351,0.168500450853089,217200,"completed"
"post_stage4a_stage3_dose_v1","atx_35707a9578d5","Pelagic Cormorant","conditional_positive_numeric_count","total_dose_model_vs_reduced",30.1339819771529,12,0.00266560422533288,0.00522458428165245,18881,"completed"
"post_stage4a_stage3_dose_v1","atx_40f730f5ad72","Long-tailed Duck","checklist_reporting","total_dose_model_vs_reduced",45.4630783664579,12,8.5824443420298e-06,4.2053977275946e-05,217200,"completed"
"post_stage4a_stage3_dose_v1","atx_40f730f5ad72","Long-tailed Duck","conditional_positive_numeric_count","total_dose_model_vs_reduced",112.423309631511,12,1.98245205786563e-18,2.4285037708854e-17,2946,"completed"
"post_stage4a_stage3_dose_v1","atx_4ae57d328ec6","Greater Scaup","checklist_reporting","total_dose_model_vs_reduced",50.9228638580862,12,9.61141251814941e-07,5.88710076879936e-06,216227,"completed"
"post_stage4a_stage3_dose_v1","atx_4ae57d328ec6","Greater Scaup","conditional_positive_numeric_count","total_dose_model_vs_reduced",85.47051831114,12,3.69541597570318e-13,3.01792304682426e-12,4514,"completed"
"post_stage4a_stage3_dose_v1","atx_59441ff7abde","Brant","checklist_reporting","total_dose_model_vs_reduced",42.1351444527536,12,3.16056292650413e-05,0.000140788712180639,217200,"completed"
"post_stage4a_stage3_dose_v1","atx_59441ff7abde","Brant","conditional_positive_numeric_count","total_dose_model_vs_reduced",41.2063875632939,12,4.52581539225978e-05,0.000130449973071017,3796,"completed"
"post_stage4a_stage3_dose_v1","atx_5a9a3495d0ea","Western Gull","checklist_reporting","total_dose_model_vs_reduced",25.3401576516972,12,0.0132907209311459,0.024120197245413,216824,"completed"
"post_stage4a_stage3_dose_v1","atx_5a9a3495d0ea","Western Gull","conditional_positive_numeric_count","total_dose_model_vs_reduced",16.8078362010142,12,0.156969970775867,0.213653571333819,712,"completed"
"post_stage4a_stage3_dose_v1","atx_6b4cfd1ab927","Horned Grebe","checklist_reporting","total_dose_model_vs_reduced",17.743328871722,12,0.123709098409205,0.168500450853089,217142,"completed"
"post_stage4a_stage3_dose_v1","atx_6b4cfd1ab927","Horned Grebe","conditional_positive_numeric_count","total_dose_model_vs_reduced",11.7199412872505,12,0.468425603275328,0.573821364012277,13054,"completed"
"post_stage4a_stage3_dose_v1","atx_6cbe5bbd310c","Rhinoceros Auklet","checklist_reporting","total_dose_model_vs_reduced",10.0176819757507,12,0.614409353982668,0.614409353982668,217200,"completed"
"post_stage4a_stage3_dose_v1","atx_6cbe5bbd310c","Rhinoceros Auklet","conditional_positive_numeric_count","total_dose_model_vs_reduced",,,,,1816,"failed_insufficient_support"
"post_stage4a_stage3_dose_v1","atx_7571c026ae99","American Herring Gull","checklist_reporting","total_dose_model_vs_reduced",50.922817597926,12,9.61159309191732e-07,5.88710076879936e-06,217179,"completed"
"post_stage4a_stage3_dose_v1","atx_7571c026ae99","American Herring Gull","conditional_positive_numeric_count","total_dose_model_vs_reduced",33.9251687718888,12,0.000693113327031724,0.00161726442974069,1851,"completed"
"post_stage4a_stage3_dose_v1","atx_7b80ddaff058","Great Blue Heron","checklist_reporting","total_dose_model_vs_reduced",18.6527213506633,12,0.0972610886548373,0.14893104200272,217200,"completed"
"post_stage4a_stage3_dose_v1","atx_7b80ddaff058","Great Blue Heron","conditional_positive_numeric_count","total_dose_model_vs_reduced",17.4679748855269,12,0.132825298358186,0.18595541770146,50285,"completed"
"post_stage4a_stage3_dose_v1","atx_7d980a7c8c37","Northern Pintail","checklist_reporting","total_dose_model_vs_reduced",40.7669487436578,12,5.35968310796676e-05,0.00019514005034091,217200,"completed"
"post_stage4a_stage3_dose_v1","atx_7d980a7c8c37","Northern Pintail","conditional_positive_numeric_count","total_dose_model_vs_reduced",50.1091286190713,12,1.33677014949173e-06,4.43408334382437e-06,14278,"completed"
"post_stage4a_stage3_dose_v1","atx_815c98107028","Mallard","checklist_reporting","total_dose_model_vs_reduced",16.3634746726602,12,0.175149597389589,0.225850796633944,217200,"completed"
"post_stage4a_stage3_dose_v1","atx_815c98107028","Mallard","conditional_positive_numeric_count","total_dose_model_vs_reduced",53.7115085090045,12,3.0766522889234e-07,1.25629968464372e-06,81526,"completed"
"post_stage4a_stage3_dose_v1","atx_82312e6f2848","Common Goldeneye","checklist_reporting","total_dose_model_vs_reduced",30.4019979232107,12,0.00242833281271118,0.00540855944649309,216892,"completed"
"post_stage4a_stage3_dose_v1","atx_82312e6f2848","Common Goldeneye","conditional_positive_numeric_count","total_dose_model_vs_reduced",102.762340483343,12,1.59874362225799e-16,1.56676874981283e-15,21195,"completed"
"post_stage4a_stage3_dose_v1","atx_8608f2ed61cf","Pigeon Guillemot","checklist_reporting","total_dose_model_vs_reduced",38.0387987735594,12,0.000151333909262226,0.000494357436923273,217200,"completed"
"post_stage4a_stage3_dose_v1","atx_8608f2ed61cf","Pigeon Guillemot","conditional_positive_numeric_count","total_dose_model_vs_reduced",23.8962953424943,12,0.0210117432965403,0.0355026007424302,6342,"completed"
"post_stage4a_stage3_dose_v1","atx_86eda7ed9025","Red-necked Grebe","checklist_reporting","total_dose_model_vs_reduced",16.7609750295887,12,0.158811994839345,0.210318587760214,217200,"completed"
"post_stage4a_stage3_dose_v1","atx_86eda7ed9025","Red-necked Grebe","conditional_positive_numeric_count","total_dose_model_vs_reduced",25.2555026961054,12,0.0136574660546401,0.0247857717287912,8109,"completed"
"post_stage4a_stage3_dose_v1","atx_87b306550dba","Harlequin Duck","checklist_reporting","total_dose_model_vs_reduced",27.2522110871359,12,0.00710620062761165,0.0133924550289604,217200,"completed"
"post_stage4a_stage3_dose_v1","atx_87b306550dba","Harlequin Duck","conditional_positive_numeric_count","total_dose_model_vs_reduced",59.3155633273382,12,3.00765789989101e-08,1.33977488267872e-07,12030,"completed"
"post_stage4a_stage3_dose_v1","atx_98ca0000b734","Brandt's Cormorant","checklist_reporting","total_dose_model_vs_reduced",14.3152467232794,12,0.281031851559648,0.312967289236881,217200,"completed"
"post_stage4a_stage3_dose_v1","atx_98ca0000b734","Brandt's Cormorant","conditional_positive_numeric_count","total_dose_model_vs_reduced",7.48470757352516,12,0.823992672074003,0.91877529311629,2573,"completed"
"post_stage4a_stage3_dose_v1","atx_99238953638b","Bufflehead","checklist_reporting","total_dose_model_vs_reduced",100.06450210516,12,5.40809455467245e-16,2.6499663317895e-14,217200,"completed"
"post_stage4a_stage3_dose_v1","atx_99238953638b","Bufflehead","conditional_positive_numeric_count","total_dose_model_vs_reduced",50.9732264995546,12,9.41680268165246e-07,3.54941024154593e-06,50039,"completed"
"post_stage4a_stage3_dose_v1","atx_9ae1aa9b7fdf","Common Loon","checklist_reporting","total_dose_model_vs_reduced",30.2040379835234,12,0.00260151550421042,0.00554235911766568,217199,"completed"
"post_stage4a_stage3_dose_v1","atx_9ae1aa9b7fdf","Common Loon","conditional_positive_numeric_count","total_dose_model_vs_reduced",13.2292751810164,12,0.352598644205343,0.443008552975944,15359,"completed"
"post_stage4a_stage3_dose_v1","atx_a113baee5693","American Wigeon","checklist_reporting","total_dose_model_vs_reduced",30.9723670745152,12,0.0019892158722944,0.00464150370202027,217190,"completed"
"post_stage4a_stage3_dose_v1","atx_a113baee5693","American Wigeon","conditional_positive_numeric_count","total_dose_model_vs_reduced",34.6739056983351,12,0.000527693194725902,0.00129284832707846,34665,"completed"
"post_stage4a_stage3_dose_v1","atx_a444854c6b66","Double-crested Cormorant","checklist_reporting","total_dose_model_vs_reduced",71.502908155875,12,1.67463549169532e-10,2.05142847732677e-09,217200,"completed"
