"analysis_version","sensitivity","analysis_taxon_id","species","outcome","comparison","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","q_value","primary_estimate","primary_standard_error","primary_q_value","sign_preserved","status","linked_candidate_events","start_anchor_window_events","positive_dose_scored_events","no_component_events_dropped_before_log","surface_only_status","surface_linked_candidate_events","surface_positive_events","surface_no_component_events_dropped_before_log"
"post_stage4a_stage3_dose_v1","dive_only","atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","dose_did_active_minus_pre",0.020755976206936,0.0412899481879983,-0.0601708351650656,0.101682787578938,1.02097287956212,0.941603660826454,1.10703225164445,0.615183396964486,0.844419789353358,0.013483483692531,0.0406782928429469,0.863674330715212,TRUE,"completed_with_rank_deficiency_warning",950,934,923,11,"non_estimable_insufficient_method_support_68_linked_events",68,56,12
"post_stage4a_stage3_dose_v1","dive_only","atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","dose_did_active_minus_pre",0.041232766696928,0.0222243071345064,-0.00232607486806113,0.0847916082619171,1.04209464224491,0.997676628347718,1.08849021069487,0.0635533361216029,0.519018911659757,0.0446607437731176,0.0209321069706348,0.390106575419617,TRUE,"completed_with_rank_deficiency_warning",950,934,923,11,"non_estimable_insufficient_method_support_68_linked_events",68,56,12
"post_stage4a_stage3_dose_v1","dive_only","atx_04cf65098f13","Red-throated Loon","checklist_reporting","dose_did_active_minus_pre",0.0260723557204105,0.117039493330786,-0.203320835976747,0.255465547417568,1.02641521279885,0.816016392006328,1.29106253181337,0.823718057102201,0.919130953146589,0.0470000711127743,0.114756915304967,0.815225287253559,TRUE,"completed_with_rank_deficiency_warning",950,934,923,11,"non_estimable_insufficient_method_support_68_linked_events",68,56,12
"post_stage4a_stage3_dose_v1","dive_only","atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","dose_did_active_minus_pre",,,,,,,,,,-0.0213187727676571,0.0966791374799084,0.99684195134258,,"failed_insufficient_support",950,934,923,11,"non_estimable_insufficient_method_support_68_linked_events",68,56,12
"post_stage4a_stage3_dose_v1","dive_only","atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","dose_did_active_minus_pre",-0.0190313108232395,0.0673914449338192,-0.151116115759639,0.11305349411316,0.981148641190182,0.859747862586884,1.11969182826791,0.777637192998916,0.907243391832069,0.00736050481766167,0.065749272537416,0.954869562952147,FALSE,"completed_with_rank_deficiency_warning",950,934,923,11,"non_estimable_insufficient_method_support_68_linked_events",68,56,12
"post_stage4a_stage3_dose_v1","dive_only","atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","dose_did_active_minus_pre",-0.0282479073268612,0.0748561409592044,-0.174963247628555,0.118467432974833,0.972147334478636,0.839487873372396,1.1257702105182,0.70590416320424,0.910244842026519,-0.0122339645348273,0.0721195132395879,0.99684195134258,TRUE,"completed_with_rank_deficiency_warning",950,934,923,11,"non_estimable_insufficient_method_support_68_linked_events",68,56,12
"post_stage4a_stage3_dose_v1","dive_only","atx_1328b44be502","Black Scoter","checklist_reporting","dose_did_active_minus_pre",0.0386933169261325,0.0459370517415579,-0.051341650043274,0.128728283895539,1.03945165253467,0.949954063237723,1.13738103743093,0.399613494215911,0.631647136018698,0.0398724297520617,0.0459549592985259,0.633008534140379,TRUE,"completed_with_rank_deficiency_warning",950,934,923,11,"non_estimable_insufficient_method_support_68_linked_events",68,56,12
"post_stage4a_stage3_dose_v1","dive_only","atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","dose_did_active_minus_pre",0.034726930552185,0.0456096408986852,-0.054666322957043,0.124120184061413,1.03533695130557,0.94680102101572,1.13215192944,0.446421460758564,0.787737081969688,0.0340166091078871,0.045616939085638,0.758734342370173,TRUE,"completed_with_rank_deficiency_warning",950,934,923,11,"non_estimable_insufficient_method_support_68_linked_events",68,56,12
"post_stage4a_stage3_dose_v1","dive_only","atx_136b0e66254b","Common Murre","checklist_reporting","dose_did_active_minus_pre",-0.0525083550840308,0.0676506981748067,-0.185101287035641,0.0800845768675798,0.948846393331334,0.831020108025937,1.08337869257645,0.437649378894027,0.649843017145676,-0.0530501241048285,0.0672604677581676,0.642481939770475,TRUE,"completed_with_rank_deficiency_warning",950,934,923,11,"non_estimable_insufficient_method_support_68_linked_events",68,56,12
"post_stage4a_stage3_dose_v1","dive_only","atx_136b0e66254b","Common Murre","conditional_positive_numeric_count","dose_did_active_minus_pre",0.119953320470317,0.0832515531407642,-0.0432167253426031,0.283123366283237,1.127444221785,0.957703808887699,1.32726889194762,0.149625977692958,0.666515718814087,0.117408653506151,0.0831068987688646,0.594526161865958,TRUE,"completed_with_rank_deficiency_warning",950,934,923,11,"non_estimable_insufficient_method_support_68_linked_events",68,56,12
