"analysis_version","analysis_taxon_id","species","outcome","component","comparison","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","q_value","n","full_fixed_effect_covariance_used","status"
"post_stage4a_stage3_dose_v1","atx_725074cbfcb6","Glaucous-winged Gull","checklist_reporting","within_location","dose_did_active_minus_pre",0.0589570124982181,0.0239847976059039,0.011947673014164,0.105966351982272,1.06072964164271,1.01201933155931,1.11178446653371,0.0139674575425017,0.171101354895646,217037,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_725074cbfcb6","Glaucous-winged Gull","checklist_reporting","between_location","dose_did_active_minus_pre",0.0353934943438136,0.0331608308585251,-0.02960053983632,0.100387528523947,1.03602729948443,0.970833265316724,1.10559928632734,0.285823597896867,,217037,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_725074cbfcb6","Glaucous-winged Gull","conditional_positive_numeric_count","within_location","dose_did_active_minus_pre",0.0970779930917322,0.0131061274603383,0.0713904552926777,0.122765530890787,1.10194631446956,1.07400049318736,1.13061929456787,1.29121091907822e-13,6.32693350348329e-12,85053,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_725074cbfcb6","Glaucous-winged Gull","conditional_positive_numeric_count","between_location","dose_did_active_minus_pre",0.0644851995028332,0.0172437873600236,0.03068799732012,0.0982824016855465,1.06660979177262,1.03116372784516,1.10327430764329,0.000184299186349968,,85053,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_fc0a9b777dcd","Bald Eagle","checklist_reporting","within_location","dose_did_active_minus_pre",0.0360370523505623,0.0196515154947718,-0.00247921026082122,0.0745533149619459,1.03669425773837,0.997523860442773,1.07740278367944,0.0666829076538608,0.251343267310706,217199,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_fc0a9b777dcd","Bald Eagle","checklist_reporting","between_location","dose_did_active_minus_pre",0.0298045149708931,0.0275890961656553,-0.0242691198798034,0.0838781498215896,1.03025311520677,0.976023007215869,1.08749637410801,0.280008377641447,,217199,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_fc0a9b777dcd","Bald Eagle","conditional_positive_numeric_count","within_location","dose_did_active_minus_pre",0.00883659733552753,0.00646003873555861,-0.00382484592490102,0.0214980405959561,1.00887575531788,0.996182459481288,1.02173078835198,0.171347724359024,0.599717035256583,83359,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_fc0a9b777dcd","Bald Eagle","conditional_positive_numeric_count","between_location","dose_did_active_minus_pre",-0.00500023201022205,0.00945373737699215,-0.0235292167884268,0.0135287527679827,0.995012248339643,0.976745436887178,1.01362068043147,0.596863791786992,,83359,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","within_location","dose_did_active_minus_pre",0.013483483692531,0.0406782928429469,-0.0662445052322183,0.0932114726172803,1.01357479579899,0.935902003377244,1.09769384291494,0.740292283470182,0.863674330715212,217200,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","between_location","dose_did_active_minus_pre",-0.0345165166653746,0.0479539209546417,-0.128504474653953,0.0594714413232037,0.966072383260436,0.879409627355847,1.06127545192412,0.471657334704475,,217200,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","within_location","dose_did_active_minus_pre",0.0446607437731176,0.0209321069706348,0.00363456799013355,0.0856869195561017,1.04567304863312,1.00364118104181,1.08946518466159,0.0328755366596091,0.390106575419617,20340,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","between_location","dose_did_active_minus_pre",0.022079921268799,0.0248446655763605,-0.0266147284688096,0.0707745710064077,1.02232548675555,0.973736322149564,1.07333923680977,0.37415422710149,,20340,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_04cf65098f13","Red-throated Loon","checklist_reporting","within_location","dose_did_active_minus_pre",0.0470000711127743,0.114756915304967,-0.177919349861874,0.271919492087423,1.04812208361452,0.837009925732822,1.31248133192522,0.682127281171345,0.815225287253559,217200,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_04cf65098f13","Red-throated Loon","checklist_reporting","between_location","dose_did_active_minus_pre",0.194826921303952,0.159157520471222,-0.11711608668834,0.506769929296244,1.21510066025092,0.889481930158187,1.65992086458646,0.220909291084867,,217200,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","within_location","dose_did_active_minus_pre",-0.0213187727676571,0.0966791374799084,-0.210806400284674,0.16816885474936,0.97890686597689,0.809930854086592,1.18313637197756,0.825473532801494,0.99684195134258,1488,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","between_location","dose_did_active_minus_pre",-0.256585177860398,0.16445032570606,-0.578901893490157,0.0657315377693599,0.773689090571383,0.560513532303513,1.06793997712983,0.118698577291524,,1488,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","within_location","dose_did_active_minus_pre",0.00736050481766167,0.065749272537416,-0.121505701365382,0.136226711000705,1.00738765991744,0.885586004285086,1.14594166172848,0.910864573897577,0.954869562952147,217200,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","between_location","dose_did_active_minus_pre",0.0675526317045113,0.0868289146129624,-0.102628913753599,0.237734177162621,1.06988656806979,0.902461802515266,1.26837198576812,0.436570804732381,,217200,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","within_location","dose_did_active_minus_pre",-0.0122339645348273,0.0721195132395879,-0.153585613066979,0.129117683997324,0.987840566164374,0.857627336949065,1.1378240199658,0.865297512705004,0.99684195134258,4549,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","between_location","dose_did_active_minus_pre",-0.101113361105899,0.0831722432544269,-0.26412796239798,0.0619012401861818,0.903830567845482,0.767875274208262,1.06385727319347,0.22409526104772,,4549,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_1328b44be502","Black Scoter","checklist_reporting","within_location","dose_did_active_minus_pre",0.0398724297520617,0.0459549592985259,-0.0501976353840531,0.129942494888176,1.04067800617267,0.951041446484246,1.13876289675402,0.385590621021776,0.633008534140379,217178,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_1328b44be502","Black Scoter","checklist_reporting","between_location","dose_did_active_minus_pre",-0.00944452505423472,0.0762673698031246,-0.158925823063957,0.140036772955487,0.990599934396294,0.85305963397224,1.15031609860217,0.901446383012861,,217178,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","within_location","dose_did_active_minus_pre",0.0340166091078871,0.045616939085638,-0.0553909485849208,0.123424166800695,1.03460179039817,0.94611519324559,1.1313642063216,0.455847895831205,0.758734342370173,1684,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","between_location","dose_did_active_minus_pre",0.077068149040873,0.0848811076743701,-0.0892957649687587,0.243432063050505,1.08011568273228,0.914575034311955,1.27561965318888,0.363902477031619,,1684,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_136b0e66254b","Common Murre","checklist_reporting","within_location","dose_did_active_minus_pre",-0.0530501241048285,0.0672604677581676,-0.184878218494155,0.0787779702844977,0.948332476974483,0.831205503146522,1.08196406722541,0.430271782292165,0.642481939770475,217200,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_136b0e66254b","Common Murre","checklist_reporting","between_location","dose_did_active_minus_pre",0.0425463785442124,0.109499635777944,-0.172068963900812,0.257161720989237,1.04346444961358,0.841921109002504,1.29325425620624,0.697607066366693,,217200,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_136b0e66254b","Common Murre","conditional_positive_numeric_count","within_location","dose_did_active_minus_pre",0.117408653506151,0.0831068987688646,-0.0454778749476392,0.280295181959942,1.12457889891227,0.955540743727067,1.3235204340381,0.157731430699132,0.594526161865958,2023,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_136b0e66254b","Common Murre","conditional_positive_numeric_count","between_location","dose_did_active_minus_pre",0.0448932733539981,0.122671664948442,-0.195538771868512,0.285325318576508,1.04591622682082,0.822391457292594,1.33019469478499,0.714392789361947,,2023,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_15dd5efcd8d6","Black Turnstone","checklist_reporting","within_location","dose_did_active_minus_pre",0.0657394599806995,0.0501325567647515,-0.0325185457311233,0.163997465692522,1.06794843760954,0.968004497313702,1.17821132913916,0.189752128562988,0.462037651632741,217200,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_15dd5efcd8d6","Black Turnstone","checklist_reporting","between_location","dose_did_active_minus_pre",-0.0478199839228131,0.0677609590314212,-0.180629023182293,0.0849890553366666,0.953305381927341,0.834744972295924,1.08870515112184,0.480364851851347,,217200,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_15dd5efcd8d6","Black Turnstone","conditional_positive_numeric_count","within_location","dose_did_active_minus_pre",-0.0427356504408854,0.0530290563267079,-0.146670690975379,0.061199390093608,0.958164646993369,0.863578314728836,1.06311086683112,0.420305579195472,0.758734342370173,4421,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_15dd5efcd8d6","Black Turnstone","conditional_positive_numeric_count","between_location","dose_did_active_minus_pre",-0.151720191369929,0.0690672491600118,-0.287089512234807,-0.0163508705050518,0.85922866670467,0.750444551861597,0.98378207937639,0.0280417079987664,,4421,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_1812dd827ede","Surfbird","checklist_reporting","within_location","dose_did_active_minus_pre",0.0131762902839456,0.141995553668324,-0.265129880870793,0.291482461438684,1.01326348012212,0.767106311069729,1.33841015949596,0.926067470212671,0.954869562952147,217200,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_1812dd827ede","Surfbird","checklist_reporting","between_location","dose_did_active_minus_pre",0.163958342856037,0.246703645043327,-0.319571916283636,0.647488601995711,1.17816523507165,0.726459956197074,1.9107361793179,0.506308702293716,,217200,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_1812dd827ede","Surfbird","conditional_positive_numeric_count","within_location","dose_did_active_minus_pre",,,,,,,,,,1063,TRUE,"failed_insufficient_support"
