"audit_section","method_group","metric","value","count","count_suppressed_below_20","definition"
"linked_analysis_event_index_distribution","all","minimum",0.0161460002191219,,FALSE,"positive scored events among 1120 linked candidates"
"linked_analysis_event_index_distribution","all","q25",143.674222137882,,FALSE,"positive scored events among 1120 linked candidates"
"linked_analysis_event_index_distribution","all","median",591.416415351512,,FALSE,"positive scored events among 1120 linked candidates"
"linked_analysis_event_index_distribution","all","q75",1913.28807804902,,FALSE,"positive scored events among 1120 linked candidates"
"linked_analysis_event_index_distribution","all","maximum",21461.892322733,,FALSE,"positive scored events among 1120 linked candidates"
"linked_analysis_event_counts","all","aggregated_events",,1120,FALSE,"unique frozen spawn events linked to eligible SoG 2005-2025 checklists"
"linked_analysis_event_counts","all","events_no_recorded_component",,125,FALSE,"unscorable; displayed 0.00 descriptively but dropped before logging"
"linked_analysis_event_counts","all","nonpositive_scored_events",,0,FALSE,"recorded component present but nonpositive; dropped before logging"
"linked_analysis_event_counts","all","positive_scored_events",,995,FALSE,"positive finite index and eligible for log transformation"
"linked_analysis_event_counts","all","multirow_events",,0,FALSE,"event key has one frozen survey row for every linked event"
"linked_analysis_event_counts","all","dive_observed_events",,950,FALSE,"84.8 percent consistent-majority method set"
"linked_analysis_event_counts","all","surface_observed_events",,68,FALSE,"6.1 percent minority method set; sensitivity non-estimable"
"linked_analysis_event_counts","all","incomplete_method_events",,102,FALSE,"method-incomplete linked event set"
"linked_method_score_status_cross_tab","incomplete_only","no_recorded_component",,102,FALSE,"1120 linked candidates; no-component events are not zero spawn"
"linked_method_score_status_cross_tab","dive_only","positive_scored_event",,939,FALSE,"1120 linked candidates; no-component events are not zero spawn"
"linked_method_score_status_cross_tab","surface_only","positive_scored_event",,56,FALSE,"1120 linked candidates; no-component events are not zero spawn"
"linked_method_score_status_cross_tab","surface_only","no_recorded_component",,,TRUE,"1120 linked candidates; no-component events are not zero spawn"
"linked_method_score_status_cross_tab","dive_only","no_recorded_component",,,TRUE,"1120 linked candidates; no-component events are not zero spawn"
"linked_method_index_distribution","dive_only","minimum",0.0161460002191219,939,FALSE,"positive scored linked candidate events"
"linked_method_index_distribution","dive_only","q25",191.848590940662,939,FALSE,"positive scored linked candidate events"
"linked_method_index_distribution","dive_only","median",690.07086811814,939,FALSE,"positive scored linked candidate events"
"linked_method_index_distribution","dive_only","q75",2022.0848535044,939,FALSE,"positive scored linked candidate events"
"linked_method_index_distribution","dive_only","maximum",21461.892322733,939,FALSE,"positive scored linked candidate events"
"linked_method_index_distribution","surface_only","minimum",0.344830083035803,56,FALSE,"positive scored linked candidate events"
"linked_method_index_distribution","surface_only","q25",10.2698790538885,56,FALSE,"positive scored linked candidate events"
"linked_method_index_distribution","surface_only","median",48.365274232275,56,FALSE,"positive scored linked candidate events"
"linked_method_index_distribution","surface_only","q75",133.800776069083,56,FALSE,"positive scored linked candidate events"
"linked_method_index_distribution","surface_only","maximum",640.25159275,56,FALSE,"positive scored linked candidate events"
"start_anchor_window_reconciliation","all","start_anchor_window_events",,1100,FALSE,"linked candidates retaining at least one -28 to +28 day start-anchor link"
"start_anchor_window_reconciliation","all","start_anchor_window_no_component_events",,121,FALSE,"dropped from every log-index and dose calculation"
"start_anchor_window_reconciliation","all","start_anchor_window_positive_scored_events",,979,FALSE,"events entering the real-anchor dose-scored link set"
"start_anchor_window_reconciliation","all","candidate_no_component_events_outside_start_window",,,TRUE,"linked candidates shifted outside model-period support"
"start_anchor_window_reconciliation","all","start_anchor_window_dive_events",,934,FALSE,"dive candidates retaining a start-anchor model-period link"
"start_anchor_window_reconciliation","all","start_anchor_window_positive_dive_events",,923,FALSE,"positive dive events entering the dive-only dose-scored link set"
"link_cardinality","all","analysis_window_source_link_rows",,360889,FALSE,"start-date anchor links in -28 to +28 day support"
"link_cardinality","all","unique_checklist_aggregated_event_links",,360889,FALSE,"declared checklist-to-aggregated-event many-to-one mapping"
"link_cardinality","all","duplicated_checklist_aggregated_event_groups",,0,FALSE,"must be zero or explicitly resolved before fitting"
"link_cardinality","all","excess_duplicate_link_rows",,0,FALSE,"must be zero or explicitly resolved before fitting"
