"analysis_version","stage","analysis_taxon_id","species","analysis_role","outcome","comparison","primary_comparison","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","q_value","n","full_fixed_effect_covariance_used","status","multiplicity_family","analysis_variant"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_04afbeb21fb0","Hooded Merganser","core_species","checklist_reporting","active_minus_pre14",TRUE,0.00221788113771974,0.0374500604928631,-0.0711828886471384,0.0756186509225778,1.00222034245539,0.931291553899219,1.07855119122029,0.952774996509068,0.952774996509068,217200,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_04afbeb21fb0","Hooded Merganser","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.0252338889501155,0.0194763492786033,-0.0129390541862696,0.0634068320865006,1.02555495844813,0.987144295499363,1.06546021447199,0.195107474134952,0.332405326303993,20340,TRUE,"completed","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_04cf65098f13","Red-throated Loon","core_species","checklist_reporting","active_minus_pre14",TRUE,-0.0372032824451374,0.140804677382958,-0.313175378970516,0.238768814080241,0.963480256817947,0.731121677957182,1.26968496936339,0.791611108922371,0.925191445621143,217200,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_04cf65098f13","Red-throated Loon","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.0786267001364119,0.0917370221049846,-0.101174559238313,0.258427959511137,1.08180041073922,0.903775256795195,1.29489286177786,0.391396256558102,0.500117438935352,1488,TRUE,"completed","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_08bb40b40c0a","Ring-billed Gull","core_species","checklist_reporting","active_minus_pre14",TRUE,-0.01518765065495,0.0630150459817797,-0.138694871263374,0.108319569953474,0.984927100045571,0.87049360055193,1.11440381846473,0.8095425149185,0.925191445621143,217200,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_08bb40b40c0a","Ring-billed Gull","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,-0.0374163656946146,0.0593290849464602,-0.153699235425394,0.0788665040361648,0.963274977185619,0.857529896844192,1.08205986180392,0.528264126354212,0.63947762663931,4549,TRUE,"completed","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_1328b44be502","Black Scoter","core_species","checklist_reporting","active_minus_pre14",TRUE,0.128025294935049,0.0680979485949096,-0.00544423173203423,0.261494821602131,1.13658175209505,0.994570561239911,1.29887021548774,0.0601057732629596,0.139768139211516,217178,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_1328b44be502","Black Scoter","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.0336952103529379,0.0698500135319075,-0.103208300489236,0.170598721195112,1.03426932410086,0.901939079561464,1.1860147309463,0.629526256222762,0.706297750884075,1684,TRUE,"completed","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_136b0e66254b","Common Murre","core_species","checklist_reporting","active_minus_pre14",TRUE,-0.14938704651502,0.0941685215673058,-0.333953957264323,0.0351798642342828,0.861235712100945,0.716086752061239,1.0358059964983,0.112653165165561,0.219449521345706,217200,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_136b0e66254b","Common Murre","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,-0.137990971230343,0.123547389714241,-0.38013940545419,0.104157462993505,0.871106556730741,0.683766081846733,1.10977518968158,0.264033998468269,0.404852130984679,2023,TRUE,"completed","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_15dd5efcd8d6","Black Turnstone","core_species","checklist_reporting","active_minus_pre14",TRUE,-0.0250318045764971,0.0680712134243893,-0.158448931272239,0.108385322119245,0.9752788932029,0.853466548128825,1.11447709533836,0.713074817878419,0.925191445621143,217200,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_15dd5efcd8d6","Black Turnstone","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.114293271438811,0.0667554256713639,-0.0165449586497031,0.245131501527324,1.12108085767398,0.983591157466301,1.27778933340613,0.0868746335207935,0.173061110147962,4421,TRUE,"completed","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_1812dd827ede","Surfbird","core_species","checklist_reporting","active_minus_pre14",TRUE,0.334606931625797,0.178702953522175,-0.0156444212086011,0.684858284460194,1.39739100704668,0.984477317080405,1.98349072416003,0.0611485609050383,0.139768139211516,217200,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_1812dd827ede","Surfbird","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,,,,,,,,,,1063,TRUE,"failed_insufficient_support","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_1930f23cc4f8","Surf Scoter","core_species","checklist_reporting","active_minus_pre14",TRUE,0.00409973554828764,0.037236515539531,-0.0688824938189592,0.0770819649155345,1.00410815096046,0.933436358175842,1.08013060557826,0.912330170657533,0.931741450884289,217183,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_1930f23cc4f8","Surf Scoter","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.284225988180269,0.0365246967979971,0.21263889790995,0.355813078450589,1.32873317481795,1.23693790972434,1.42734072258748,7.15292132847037e-15,4.7004911587091e-14,16632,TRUE,"completed","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_3083477933a8","White-winged Scoter","core_species","checklist_reporting","active_minus_pre14",TRUE,0.0820463685427075,0.0525880989958006,-0.0210244115044887,0.185117148589904,1.08550614200053,0.979195060653077,1.20335940372798,0.118719739396043,0.219449521345706,217199,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_3083477933a8","White-winged Scoter","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.151359294504007,0.0537634343859623,0.0459848994223382,0.256733689585675,1.16341459146533,1.04705859964786,1.29270082122402,0.00487342641895921,0.0124543119595624,4706,TRUE,"completed","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_35518e24dfdd","Common Merganser","core_species","checklist_reporting","active_minus_pre14",TRUE,0.163975778449874,0.0300492642456233,0.105080302766525,0.222871254133222,1.17818577726125,1.11079980707185,1.24965967486066,4.84523726037381e-08,4.65142776995886e-07,217093,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_35518e24dfdd","Common Merganser","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.112441614777798,0.0203232116526071,0.0726088518885034,0.152274377667093,1.11900692153773,1.07530984922767,1.16447969982671,3.15393277763162e-08,1.61201008634505e-07,27776,TRUE,"completed","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_35707a9578d5","Pelagic Cormorant","core_species","checklist_reporting","active_minus_pre14",TRUE,0.0535272936570265,0.0422878080028914,-0.0293552870137854,0.136409874327838,1.05498578579485,0.97107139411494,1.14615157543961,0.205589892318628,0.328943827709804,217200,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_35707a9578d5","Pelagic Cormorant","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.026065394273778,0.023097135492394,-0.0192041594373559,0.071334947984912,1.02640806748899,0.980979065663179,1.07394087996595,0.259103757268641,0.404852130984679,18881,TRUE,"completed","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_40f730f5ad72","Long-tailed Duck","core_species","checklist_reporting","active_minus_pre14",TRUE,0.118018380354833,0.0612465502985061,-0.00202265240755962,0.238059413117226,1.12526479394346,0.997979391775365,1.26878457303217,0.0539872040050394,0.136388725907468,217200,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_40f730f5ad72","Long-tailed Duck","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.393751385818372,0.0570898155912766,0.281857403375436,0.505645368261307,1.48253192439292,1.32558968189482,1.65805523146684,5.30930203457165e-12,3.0528486698787e-11,2946,TRUE,"completed","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_4ae57d328ec6","Greater Scaup","core_species","checklist_reporting","active_minus_pre14",TRUE,0.116485524806832,0.0471543825053179,0.0240646333831832,0.208906416230481,1.12354124687291,1.02435652337875,1.23232966707823,0.0134999354411294,0.0431997934116141,216227,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_4ae57d328ec6","Greater Scaup","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.186984589528452,0.0546729273263781,0.0798276210393755,0.294141558017529,1.20560870590811,1.08310034786992,1.34197385738075,0.000626077559865073,0.00191997118358622,4514,TRUE,"completed","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_59441ff7abde","Brant","core_species","checklist_reporting","active_minus_pre14",TRUE,0.154400616312599,0.0562054623158405,0.0442399344391284,0.26456129818607,1.16695829567574,1.04523311222512,1.30285928365532,0.00601293959274687,0.0222016231116808,217200,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_59441ff7abde","Brant","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.0856316473489799,0.0538053466961276,-0.0198248943511215,0.191088189049081,1.08940496918039,0.980370326659772,1.21056620605653,0.111495264539609,0.20515128675288,3796,TRUE,"completed","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_5a9a3495d0ea","Western Gull","core_species","checklist_reporting","active_minus_pre14",TRUE,0.206107081586959,0.134017783018392,-0.0565629464169925,0.468777109590911,1.22888478788336,0.945006997818384,1.59803877154077,0.124070999775279,0.220570666267163,216824,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_5a9a3495d0ea","Western Gull","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.0819140930406425,0.0390741473704537,0.0053301714679428,0.158498014613342,1.08536256562663,1.00534440210456,1.17174959784687,0.0360488762851317,0.0789642051960028,712,TRUE,"completed_with_singular_warning","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_6b4cfd1ab927","Horned Grebe","core_species","checklist_reporting","active_minus_pre14",TRUE,-0.0660969922359673,0.0379687339290856,-0.140514343275559,0.00832035880362443,0.936040071269113,0.868911201810592,1.00835506918977,0.081713930533336,0.17828493934546,217142,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_6b4cfd1ab927","Horned Grebe","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.023474649692717,0.0222013145621545,-0.0200391272585504,0.0669884266439844,1.02375234798107,0.980160321570138,1.06928310290896,0.290350037719808,0.430841991455199,13054,TRUE,"completed","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_6cbe5bbd310c","Rhinoceros Auklet","core_species","checklist_reporting","active_minus_pre14",TRUE,-0.278284187001261,0.141558228273646,-0.555733216132906,-0.000835157869615188,0.757081638179167,0.573651496427682,0.999165190777653,0.0493143534314416,0.131504942483844,217200,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
