"analysis_version","stage","analysis_taxon_id","species","analysis_role","outcome","engine","n","converged","singular_fit","rank_deficient","convergence_message","maximum_absolute_gradient","event_block_variance","observer_variance","location_variance","residual_variance","status","analysis_variant","offset_days"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_04afbeb21fb0","Hooded Merganser","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.162809784632489,0.227499559199565,4.71550959405846,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_04afbeb21fb0","Hooded Merganser","core_species","conditional_positive_numeric_count","lme4_lmer_REML",20340,TRUE,FALSE,FALSE,"",0.0234032268053852,0.0269285477422452,0.0175642269261694,0.0675972602169611,0.437059667340494,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_04cf65098f13","Red-throated Loon","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.241246473638775,1.1978988288079,7.83442926959798,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_04cf65098f13","Red-throated Loon","core_species","conditional_positive_numeric_count","lme4_lmer_REML",1488,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_08bb40b40c0a","Ring-billed Gull","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,1.61047451443674,0.860815111110452,4.09803431504399,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_08bb40b40c0a","Ring-billed Gull","core_species","conditional_positive_numeric_count","lme4_lmer_REML",4549,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_1328b44be502","Black Scoter","core_species","checklist_reporting","lme4_glmer_nAGQ0",217178,TRUE,FALSE,FALSE,"",,2.16909255867363,0.437335474709058,10.9024937826591,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_1328b44be502","Black Scoter","core_species","conditional_positive_numeric_count","lme4_lmer_REML",1684,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_136b0e66254b","Common Murre","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,1.05278175825634,1.41394095588475,12.8734724006464,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_136b0e66254b","Common Murre","core_species","conditional_positive_numeric_count","lme4_lmer_REML",2023,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_15dd5efcd8d6","Black Turnstone","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,1.47848759667174,0.360641084708498,12.6776553006885,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_15dd5efcd8d6","Black Turnstone","core_species","conditional_positive_numeric_count","lme4_lmer_REML",4421,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_1812dd827ede","Surfbird","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.426871432817466,0.295788932784359,17.8366403521403,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_1812dd827ede","Surfbird","core_species","conditional_positive_numeric_count","lme4_lmer_REML",1063,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_1930f23cc4f8","Surf Scoter","core_species","checklist_reporting","lme4_glmer_nAGQ0",217183,TRUE,FALSE,FALSE,"",,0.73045286673158,0.763667805094333,11.9154174003039,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_1930f23cc4f8","Surf Scoter","core_species","conditional_positive_numeric_count","lme4_lmer_REML",16632,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_3083477933a8","White-winged Scoter","core_species","checklist_reporting","lme4_glmer_nAGQ0",217199,TRUE,FALSE,FALSE,"",,0.911213085043897,0.821285822314463,10.7516881771472,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_3083477933a8","White-winged Scoter","core_species","conditional_positive_numeric_count","lme4_lmer_REML",4706,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_35518e24dfdd","Common Merganser","core_species","checklist_reporting","lme4_glmer_nAGQ0",217093,TRUE,FALSE,FALSE,"",,0.161360481455142,0.246974299208321,3.98718888452874,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_35518e24dfdd","Common Merganser","core_species","conditional_positive_numeric_count","lme4_lmer_REML",27776,TRUE,FALSE,FALSE,"",0.0177162291947752,0.0563389422159332,0.0260501243694582,0.152889407177368,0.802790738980919,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_35707a9578d5","Pelagic Cormorant","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.077941002711173,0.968951098083286,11.8317583049483,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_35707a9578d5","Pelagic Cormorant","core_species","conditional_positive_numeric_count","lme4_lmer_REML",18881,TRUE,FALSE,FALSE,"",0.00304367858916521,0.01960034446095,0.099285057947428,0.256391481197322,0.59436479589351,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_40f730f5ad72","Long-tailed Duck","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,1.7190424352291,0.986666129862396,12.8046601639195,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_40f730f5ad72","Long-tailed Duck","core_species","conditional_positive_numeric_count","lme4_lmer_REML",2946,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_4ae57d328ec6","Greater Scaup","core_species","checklist_reporting","lme4_glmer_nAGQ0",216227,TRUE,FALSE,FALSE,"",,0.481358278312689,0.727635569484034,7.84184524383395,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_4ae57d328ec6","Greater Scaup","core_species","conditional_positive_numeric_count","lme4_lmer_REML",4514,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_59441ff7abde","Brant","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,3.01688943190794,0.417761938764693,12.9629264486075,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_59441ff7abde","Brant","core_species","conditional_positive_numeric_count","lme4_lmer_REML",3796,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_5a9a3495d0ea","Western Gull","core_species","checklist_reporting","lme4_glmer_nAGQ0",216824,TRUE,FALSE,FALSE,"",,1.42184225737194,1.236387709865,8.41344193534417,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_5a9a3495d0ea","Western Gull","core_species","conditional_positive_numeric_count","lme4_lmer_REML",712,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_6b4cfd1ab927","Horned Grebe","core_species","checklist_reporting","lme4_glmer_nAGQ0",217142,TRUE,FALSE,FALSE,"",,1.60817960723945,0.883668147823553,10.8998151623874,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_6b4cfd1ab927","Horned Grebe","core_species","conditional_positive_numeric_count","lme4_lmer_REML",13054,TRUE,FALSE,FALSE,"",0.00731179170543328,0.0151143309975084,0.117928655710877,0.198112488435272,0.59414797209254,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_6cbe5bbd310c","Rhinoceros Auklet","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,2.00916032345853,1.20466498718148,14.6430930448172,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_6cbe5bbd310c","Rhinoceros Auklet","core_species","conditional_positive_numeric_count","lme4_lmer_REML",1816,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_725074cbfcb6","Glaucous-winged Gull","core_species","checklist_reporting","lme4_glmer_nAGQ0",217037,TRUE,FALSE,FALSE,"",,0.228831383830821,2.04081404707554,4.9891904602449,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_725074cbfcb6","Glaucous-winged Gull","core_species","conditional_positive_numeric_count","lme4_lmer_REML",85053,TRUE,FALSE,FALSE,"",0.0304727291222662,0.0354582110309236,0.298902553486213,0.582813436493631,0.966552186031024,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_7571c026ae99","American Herring Gull","core_species","checklist_reporting","lme4_glmer_nAGQ0",217179,TRUE,FALSE,FALSE,"",,0.514941566480365,2.19425955086258,4.47793220640632,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_7571c026ae99","American Herring Gull","core_species","conditional_positive_numeric_count","lme4_lmer_REML",1851,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_7b80ddaff058","Great Blue Heron","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.0254861412898377,0.211814871389959,2.94541954542396,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_7b80ddaff058","Great Blue Heron","core_species","conditional_positive_numeric_count","lme4_lmer_REML",50285,TRUE,FALSE,FALSE,"",0.0497152359457687,0.0175455587413909,0.0343555051765336,0.124334302993817,0.443746604948226,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_7d980a7c8c37","Northern Pintail","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.13777013546407,0.357710361216198,10.8685839995306,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_7d980a7c8c37","Northern Pintail","core_species","conditional_positive_numeric_count","lme4_lmer_REML",14278,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_815c98107028","Mallard","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.0611205365491478,0.54599663505959,4.76488395804613,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_815c98107028","Mallard","core_species","conditional_positive_numeric_count","lme4_lmer_REML",81526,TRUE,FALSE,FALSE,"",0.0152885331772268,0.0481539814436992,0.15118331886033,0.784708958326842,1.05782826797421,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_82312e6f2848","Common Goldeneye","core_species","checklist_reporting","lme4_glmer_nAGQ0",216892,TRUE,FALSE,FALSE,"",,0.337211846343277,0.636272832189602,6.96087529501225,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_82312e6f2848","Common Goldeneye","core_species","conditional_positive_numeric_count","lme4_lmer_REML",21195,TRUE,FALSE,FALSE,"",0.00313142663799226,0.0544990905864755,0.10511633781727,0.336874159670019,0.789707452242445,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_8608f2ed61cf","Pigeon Guillemot","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.642861189195744,0.87182110281185,11.153417618029,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_8608f2ed61cf","Pigeon Guillemot","core_species","conditional_positive_numeric_count","lme4_lmer_REML",6342,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_86eda7ed9025","Red-necked Grebe","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,1.09153105800422,1.20852286995794,9.71156176496296,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_86eda7ed9025","Red-necked Grebe","core_species","conditional_positive_numeric_count","lme4_lmer_REML",8109,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_87b306550dba","Harlequin Duck","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,1.48265667599667,0.501015713200232,14.3295288321622,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_87b306550dba","Harlequin Duck","core_species","conditional_positive_numeric_count","lme4_lmer_REML",12030,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_98ca0000b734","Brandt's Cormorant","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.222731392064975,1.38234755082835,11.0195480424021,,"completed","placebo_offset_m90",-90
