"analysis_version","stage","analysis_taxon_id","species","analysis_role","outcome","comparison","primary_comparison","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","q_value","n","full_fixed_effect_covariance_used","status","multiplicity_family","analysis_variant","offset_days","placebo_seed"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_c9db024faf12","American Crow","core_species","checklist_reporting","active_minus_pre14",TRUE,,,,,,,,,,217200,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_7571c026ae99","American Herring Gull","core_species","checklist_reporting","active_minus_pre14",TRUE,,,,,,,,,,217179,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_a113baee5693","American Wigeon","core_species","checklist_reporting","active_minus_pre14",TRUE,,,,,,,,,,217190,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_fc0a9b777dcd","Bald Eagle","core_species","checklist_reporting","active_minus_pre14",TRUE,,,,,,,,,,217199,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_d7dd9536145c","Barrow's Goldeneye","core_species","checklist_reporting","active_minus_pre14",TRUE,,,,,,,,,,216814,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_v2_000006","Black-bellied Plover","core_species","checklist_reporting","active_minus_pre14",TRUE,,,,,,,,,,217200,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_v2_000002","Black Oystercatcher","core_species","checklist_reporting","active_minus_pre14",TRUE,,,,,,,,,,217200,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_1328b44be502","Black Scoter","core_species","checklist_reporting","active_minus_pre14",TRUE,,,,,,,,,,217178,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_15dd5efcd8d6","Black Turnstone","core_species","checklist_reporting","active_minus_pre14",TRUE,,,,,,,,,,217200,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_fadb8da1a816","Bonaparte's Gull","core_species","checklist_reporting","active_minus_pre14",TRUE,,,,,,,,,,217200,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_98ca0000b734","Brandt's Cormorant","core_species","checklist_reporting","active_minus_pre14",TRUE,,,,,,,,,,217200,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_59441ff7abde","Brant","core_species","checklist_reporting","active_minus_pre14",TRUE,,,,,,,,,,217200,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_99238953638b","Bufflehead","core_species","checklist_reporting","active_minus_pre14",TRUE,,,,,,,,,,217200,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_m180",-180,20260727
