"analysis_version","stage","analysis_taxon_id","species","analysis_role","outcome","comparison","primary_comparison","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","q_value","n","full_fixed_effect_covariance_used","status","multiplicity_family","analysis_variant","reporting_role"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","ctl_c7322190c88f","American Robin","terrestrial_attention_displacement","checklist_reporting","active_minus_pre14",TRUE,-0.0780628755837376,0.0232382647650809,-0.123609037586502,-0.0325167135809729,0.924906270693595,0.883725276719192,0.968006270844912,0.000781575590283041,0.00156315118056608,217176,TRUE,"completed","terrestrial_displacement_2_species__original_midpoint_anchor__checklist_reporting__active_minus_pre14","original_midpoint_anchor","terrestrial_attention_displacement_not_negative_control"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","ctl_c7322190c88f","American Robin","terrestrial_attention_displacement","conditional_positive_numeric_count","active_minus_pre14",TRUE,-0.0321324627649228,0.0103771440094648,-0.0524712912858593,-0.0117936342439863,0.968378299516009,0.948881561834288,0.988275638068817,0.00195843009624466,0.00391686019248933,125407,TRUE,"completed","terrestrial_displacement_2_species__original_midpoint_anchor__conditional_positive_numeric_count__active_minus_pre14","original_midpoint_anchor","terrestrial_attention_displacement_not_negative_control"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","ctl_c0ffb64cc4d8","Chestnut-backed Chickadee","terrestrial_attention_displacement","checklist_reporting","active_minus_pre14",TRUE,-0.0378600854777846,0.0253067700681457,-0.0874604433763864,0.0117402724208171,0.962847647835864,0.916255114892757,1.01180945991397,0.134641736886947,0.134641736886947,217183,TRUE,"completed","terrestrial_displacement_2_species__original_midpoint_anchor__checklist_reporting__active_minus_pre14","original_midpoint_anchor","terrestrial_attention_displacement_not_negative_control"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","ctl_c0ffb64cc4d8","Chestnut-backed Chickadee","terrestrial_attention_displacement","conditional_positive_numeric_count","active_minus_pre14",TRUE,-0.0100981395444917,0.00940166370328706,-0.0285250617976918,0.00832878270870845,0.989952675477072,0.971877936832685,1.00836356351294,0.282786799262007,0.282786799262007,72498,TRUE,"completed","terrestrial_displacement_2_species__original_midpoint_anchor__conditional_positive_numeric_count__active_minus_pre14","original_midpoint_anchor","terrestrial_attention_displacement_not_negative_control"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","ctl_c7322190c88f","American Robin","terrestrial_attention_displacement","checklist_reporting","active_minus_pre14",TRUE,-0.0692634277596176,0.0230171163276902,-0.114376146789859,-0.024150708729376,0.933080848302756,0.89192239902985,0.976138586065775,0.00261924587575533,0.00523849175151066,217176,TRUE,"completed","negative_controls_2_species__checklist_reporting__active_minus_pre14","real_start_anchor","terrestrial_attention_displacement_not_negative_control"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","ctl_c7322190c88f","American Robin","terrestrial_attention_displacement","conditional_positive_numeric_count","active_minus_pre14",TRUE,-0.0273967209975684,0.010376950159718,-0.0477351695799828,-0.00705827241515398,0.972975165268947,0.953386239325711,0.9929665786866,0.00828689620790355,0.0165737924158071,125407,TRUE,"completed","negative_controls_2_species__conditional_positive_numeric_count__active_minus_pre14","real_start_anchor","terrestrial_attention_displacement_not_negative_control"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","ctl_c0ffb64cc4d8","Chestnut-backed Chickadee","terrestrial_attention_displacement","checklist_reporting","active_minus_pre14",TRUE,-0.0513336214552204,0.0253653964023804,-0.101048884857468,-0.0016183580529729,0.949961690058183,0.903888845328451,0.998382950782271,0.042994255835768,0.042994255835768,217183,TRUE,"completed","negative_controls_2_species__checklist_reporting__active_minus_pre14","real_start_anchor","terrestrial_attention_displacement_not_negative_control"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","ctl_c0ffb64cc4d8","Chestnut-backed Chickadee","terrestrial_attention_displacement","conditional_positive_numeric_count","active_minus_pre14",TRUE,-0.00998096706734201,0.00940733874028831,-0.0284190121886755,0.00845707805399149,0.990068677480307,0.971981009573213,1.00849294016353,0.288700497161952,0.288700497161952,72498,TRUE,"completed","negative_controls_2_species__conditional_positive_numeric_count__active_minus_pre14","real_start_anchor","terrestrial_attention_displacement_not_negative_control"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","ctl_c7322190c88f","American Robin","terrestrial_attention_displacement","checklist_reporting","active_minus_pre14",TRUE,-0.0699998536550104,0.0230199113009098,-0.1151180507321,-0.0248816565779207,0.932393956357122,0.891260923691758,0.975425340370868,0.00235919618384677,0.00471839236769354,217176,TRUE,"completed","terrestrial_displacement_2_species__long_span_event_excluded__checklist_reporting__active_minus_pre14","long_span_event_excluded","terrestrial_attention_displacement_not_negative_control"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","ctl_c7322190c88f","American Robin","terrestrial_attention_displacement","conditional_positive_numeric_count","active_minus_pre14",TRUE,-0.0275837440402298,0.0103777857079584,-0.0479238302671028,-0.00724365781335681,0.972793213508221,0.953206389788511,0.992782514243965,0.0078615116584022,0.0157230233168044,125407,TRUE,"completed","terrestrial_displacement_2_species__long_span_event_excluded__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded","terrestrial_attention_displacement_not_negative_control"
