"analysis_variant","analysis_taxon_id","species","outcome","s1_estimate","s2_estimate","estimate_delta","s1_ratio","s2_ratio","s1_q_value","s2_q_value","changed_direction","changed_bh_significance","s1_status","s2_status"
"s2_detectability_vs_s1_start_anchor","atx_04afbeb21fb0","Hooded Merganser","checklist_reporting",0.00290798122032899,-0.0205066229797448,-0.0234146042000738,1.00291221349919,0.979702207905152,0.938086777815919,0.813470196934854,TRUE,FALSE,"completed","completed"
"s2_detectability_vs_s1_start_anchor","atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count",0.0251627213132282,0.0224533730960251,-0.00270934821720308,1.02548197472231,1.02270734737543,0.334322139143871,0.40682335085439,FALSE,FALSE,"completed","completed"
"s2_detectability_vs_s1_start_anchor","atx_04cf65098f13","Red-throated Loon","checklist_reporting",-0.0288065524640403,-0.00795230505718353,0.0208542474068568,0.971604400765367,0.99207923087087,0.90805059398875,0.955015528198709,FALSE,FALSE,"completed","completed"
"s2_detectability_vs_s1_start_anchor","atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count",0.0759112104869748,0.0785288975798599,0.00261768709288508,1.07886677784867,1.0816946130671,0.519446502904035,0.524653641046644,FALSE,FALSE,"completed","completed"
"s2_detectability_vs_s1_start_anchor","atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting",-0.0151217761297563,0.023975322643638,0.0390970987733943,0.984991983787707,1.02426504142531,0.90805059398875,0.864731240964312,TRUE,FALSE,"completed","completed"
"s2_detectability_vs_s1_start_anchor","atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count",-0.037416365697092,-0.0155926635432456,0.0218237021538464,0.963274977183233,0.984528272646592,0.639477626605093,0.84755402222639,FALSE,FALSE,"completed","completed"
"s2_detectability_vs_s1_start_anchor","atx_1328b44be502","Black Scoter","checklist_reporting",0.128041816650545,0.129837938020024,0.00179612136947924,1.13660053053052,1.1386438374963,0.13961964549622,0.129987835001422,FALSE,FALSE,"completed","completed"
"s2_detectability_vs_s1_start_anchor","atx_1328b44be502","Black Scoter","conditional_positive_numeric_count",0.0336952103503146,0.0454280218406622,0.0117328114903476,1.03426932409815,1.04647567850993,0.706297750912106,0.606407676070742,FALSE,FALSE,"completed","completed"
"s2_detectability_vs_s1_start_anchor","atx_136b0e66254b","Common Murre","checklist_reporting",-0.149314904005354,-0.161694654080835,-0.0123797500754812,0.861297846047853,0.850700922941488,0.219489215456277,0.173831380557077,FALSE,FALSE,"completed","completed"
"s2_detectability_vs_s1_start_anchor","atx_136b0e66254b","Common Murre","conditional_positive_numeric_count",-0.137990971250766,-0.107847140608716,0.0301438306420497,0.871106556712949,0.897764817725939,0.421022011698159,0.507217833223438,FALSE,FALSE,"completed","completed"
"s2_detectability_vs_s1_start_anchor","atx_15dd5efcd8d6","Black Turnstone","checklist_reporting",-0.024988823384868,-0.0167247395494686,0.00826408383539936,0.97532081275277,0.983414342457467,0.90805059398875,0.865357657928627,FALSE,FALSE,"completed","completed"
