"analysis_version","stage","analysis_taxon_id","species","analysis_role","outcome","engine","n","converged","singular_fit","rank_deficient","convergence_message","maximum_absolute_gradient","event_block_variance","observer_variance","location_variance","residual_variance","status","analysis_variant","offset_days"
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_04afbeb21fb0","Hooded Merganser","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.129635479402999,0.202882437121564,5.09201257179267,,"completed","real_start_anchor_s2_detectability",
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_04afbeb21fb0","Hooded Merganser","core_species","conditional_positive_numeric_count","lme4_lmer_REML",20340,TRUE,FALSE,FALSE,"",0.031060517358128,0.0117522975130367,0.0187207949863739,0.0714141074650074,0.415804771441158,"completed","real_start_anchor_s2_detectability",
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_04cf65098f13","Red-throated Loon","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.175995242479446,1.16534470289039,7.00738781163171,,"completed","real_start_anchor_s2_detectability",
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_04cf65098f13","Red-throated Loon","core_species","conditional_positive_numeric_count","lme4_lmer_REML",1488,TRUE,FALSE,FALSE,"",0.000533284492121311,0.0104071710850466,0.0415161923111126,0.0360931715635512,0.425349193543846,"completed","real_start_anchor_s2_detectability",
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_08bb40b40c0a","Ring-billed Gull","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,1.18596124938149,0.869923363465955,3.93839106521728,,"completed","real_start_anchor_s2_detectability",
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_08bb40b40c0a","Ring-billed Gull","core_species","conditional_positive_numeric_count","lme4_lmer_REML",4549,TRUE,FALSE,FALSE,"",0.0145933427120326,0.0710535488415827,0.0978681161704352,0.16617312861313,0.893164897455513,"completed","real_start_anchor_s2_detectability",
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_1328b44be502","Black Scoter","core_species","checklist_reporting","lme4_glmer_nAGQ0",217178,TRUE,FALSE,FALSE,"",,2.04035851858009,0.436604470052711,8.67100457121212,,"completed","real_start_anchor_s2_detectability",
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_1328b44be502","Black Scoter","core_species","conditional_positive_numeric_count","lme4_lmer_REML",1684,TRUE,FALSE,FALSE,"",0.0014364741218742,0.303351675820981,0.0889776835357338,0.294769113153899,1.35872951804045,"completed","real_start_anchor_s2_detectability",
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_136b0e66254b","Common Murre","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,1.21069183899186,1.60286427216315,13.5483785511778,,"completed","real_start_anchor_s2_detectability",
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_136b0e66254b","Common Murre","core_species","conditional_positive_numeric_count","lme4_lmer_REML",2023,TRUE,FALSE,FALSE,"",0.00113536316348473,0.14609954544815,0.178054039977051,0.315230614133855,1.75716876241432,"completed","real_start_anchor_s2_detectability",
