"analysis_variant","analysis_taxon_id","species","outcome","s1_estimate","s2_estimate","estimate_delta","s1_ratio","s2_ratio","s1_q_value","s2_q_value","changed_direction","changed_bh_significance","s1_status","s2_status"
"placebo_p90_s2_vs_s1","atx_04afbeb21fb0","Hooded Merganser","checklist_reporting",-0.342626133924424,-0.207158420874111,0.135467713050313,0.709903570814764,0.812890860905659,0.0689572281818344,0.303084028140052,FALSE,FALSE,"completed","completed"
"placebo_p90_s2_vs_s1","atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count",-0.0642413174254025,-0.0380092312163047,0.0262320862090978,0.93777866988897,0.962704053920822,0.479398042250422,0.758254136173973,FALSE,FALSE,"completed","completed"
"placebo_p90_s2_vs_s1","atx_04cf65098f13","Red-throated Loon","checklist_reporting",0.483599893057362,0.350440144601615,-0.133159748455747,1.62190258133028,1.41969228099031,0.621272567520266,0.794626802092877,FALSE,FALSE,"completed","completed"
"placebo_p90_s2_vs_s1","atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count",,,,,,,,,,"failed_insufficient_support","failed_insufficient_support"
"placebo_p90_s2_vs_s1","atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting",-0.184342436845941,-0.381226705077299,-0.196884268231358,0.831650967126058,0.683023027278328,0.78130969325443,0.386401392268589,FALSE,FALSE,"completed","completed"
"placebo_p90_s2_vs_s1","atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count",,,,,,,,,,"failed_insufficient_support","failed_insufficient_support"
"placebo_p90_s2_vs_s1","atx_1328b44be502","Black Scoter","checklist_reporting",-0.151045506112221,-0.0134068187869085,0.137638687325313,0.859808571223613,0.986682652320792,0.99220534556362,0.999437024583785,FALSE,FALSE,"completed","completed"
"placebo_p90_s2_vs_s1","atx_1328b44be502","Black Scoter","conditional_positive_numeric_count",,,,,,,,,,"failed_insufficient_support","failed_insufficient_support"
"placebo_p90_s2_vs_s1","atx_136b0e66254b","Common Murre","checklist_reporting",0.306749714655045,0.218541731621341,-0.0882079830337036,1.35900078752175,1.24426094057015,0.623008935534845,0.794626802092877,FALSE,FALSE,"completed","completed"
"placebo_p90_s2_vs_s1","atx_136b0e66254b","Common Murre","conditional_positive_numeric_count",,,,,,,,,,"failed_insufficient_support","failed_insufficient_support"
"placebo_p90_s2_vs_s1","atx_15dd5efcd8d6","Black Turnstone","checklist_reporting",1.49616279972883,-0.719483007433016,-2.21564580716185,4.46452488409273,0.487003968319368,0.999385272494094,0.999437024583785,TRUE,FALSE,"completed","completed"
"placebo_p90_s2_vs_s1","atx_15dd5efcd8d6","Black Turnstone","conditional_positive_numeric_count",,,,,,,,,,"failed_insufficient_support","failed_insufficient_support"
"placebo_p90_s2_vs_s1","atx_1812dd827ede","Surfbird","checklist_reporting",9.33675687833956,13.8734004088497,4.53664353051013,11347.5470242388,1059598.27547023,0.999385272494094,0.999437024583785,FALSE,FALSE,"completed","completed"
"placebo_p90_s2_vs_s1","atx_1812dd827ede","Surfbird","conditional_positive_numeric_count",,,,,,,,,,"failed_insufficient_support","failed_insufficient_support"
"placebo_p90_s2_vs_s1","atx_1930f23cc4f8","Surf Scoter","checklist_reporting",-0.0374056031847572,-0.0564173492827266,-0.0190117460979694,0.963285344497846,0.945144598145992,0.99220534556362,0.999437024583785,FALSE,FALSE,"completed","completed"
"placebo_p90_s2_vs_s1","atx_1930f23cc4f8","Surf Scoter","conditional_positive_numeric_count",,,,,,,,,,"failed_insufficient_support","failed_insufficient_support"
