"analysis_version","stage","analysis_taxon_id","species","analysis_role","outcome","comparison","primary_comparison","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","q_value","n","full_fixed_effect_covariance_used","status","multiplicity_family","analysis_variant","offset_days","placebo_seed"
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_04afbeb21fb0","Hooded Merganser","core_species","checklist_reporting","active_minus_pre14",TRUE,-0.207158420874111,0.0993791401173735,-0.401937956318723,-0.0123788854294991,0.812890860905659,0.669022253006133,0.987697417798578,0.0371123299763329,0.303084028140052,217200,TRUE,"completed","s2_detectability_placebo_p90__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_p90_s2_detectability",90,20260727
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_04afbeb21fb0","Hooded Merganser","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,-0.0380092312163047,0.0632098336377405,-0.161898228615045,0.0858797661824352,0.962704053920822,0.850527759523778,1.08967530460677,0.547627987236758,0.758254136173973,20340,TRUE,"completed","s2_detectability_placebo_p90__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","placebo_offset_p90_s2_detectability",90,20260727
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_04cf65098f13","Red-throated Loon","core_species","checklist_reporting","active_minus_pre14",TRUE,0.350440144601615,0.323810256396976,-0.284216295761138,0.985096584964368,1.41969228099031,0.752603842079214,2.67807053327709,0.279146265603623,0.794626802092877,217200,TRUE,"completed","s2_detectability_placebo_p90__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_p90_s2_detectability",90,20260727
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_04cf65098f13","Red-throated Loon","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,,,,,,,,,,1488,TRUE,"failed_insufficient_support","s2_detectability_placebo_p90__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","placebo_offset_p90_s2_detectability",90,20260727
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_08bb40b40c0a","Ring-billed Gull","core_species","checklist_reporting","active_minus_pre14",TRUE,-0.381226705077299,0.205116603480009,-0.783247860529298,0.0207944503747012,0.683023027278328,0.45691958766968,1.02101216139964,0.0630859415948717,0.386401392268589,217200,TRUE,"completed","s2_detectability_placebo_p90__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_p90_s2_detectability",90,20260727
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_08bb40b40c0a","Ring-billed Gull","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,,,,,,,,,,4549,TRUE,"failed_insufficient_support","s2_detectability_placebo_p90__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","placebo_offset_p90_s2_detectability",90,20260727
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_1328b44be502","Black Scoter","core_species","checklist_reporting","active_minus_pre14",TRUE,-0.0134068187869085,0.479008558004622,-0.952246340762433,0.925432703188617,0.986682652320792,0.385873246355449,2.52295971691701,0.977671177099089,0.999437024583785,217178,TRUE,"completed","s2_detectability_placebo_p90__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_p90_s2_detectability",90,20260727
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_1328b44be502","Black Scoter","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,,,,,,,,,,1684,TRUE,"failed_insufficient_support","s2_detectability_placebo_p90__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","placebo_offset_p90_s2_detectability",90,20260727
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_136b0e66254b","Common Murre","core_species","checklist_reporting","active_minus_pre14",TRUE,0.218541731621341,0.248722183390593,-0.268944789980388,0.706028253223071,1.24426094057015,0.764185445176962,2.02592878207722,0.379586747696647,0.794626802092877,217200,TRUE,"completed","s2_detectability_placebo_p90__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_p90_s2_detectability",90,20260727
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_136b0e66254b","Common Murre","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,,,,,,,,,,2023,TRUE,"failed_insufficient_support","s2_detectability_placebo_p90__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","placebo_offset_p90_s2_detectability",90,20260727
