"analysis_version","stage","analysis_taxon_id","species","analysis_role","outcome","comparison","primary_comparison","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","q_value","n","full_fixed_effect_covariance_used","status","multiplicity_family"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","ctl_c7322190c88f","American Robin","negative_control","checklist_reporting","active_minus_pre14",TRUE,-0.0692634277596176,0.0230171163276902,-0.114376146789859,-0.024150708729376,0.933080848302756,0.89192239902985,0.976138586065775,0.00261924587575533,0.00523849175151066,217176,TRUE,"completed","negative_controls_2_species__checklist_reporting__active_minus_pre14"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","ctl_c7322190c88f","American Robin","negative_control","checklist_reporting","active_minus_pre7",FALSE,-0.056100049338529,0.0290746871241292,-0.113085388963593,0.000885290286534675,0.945444540057501,0.893074398162827,1.00088568227165,0.0536669409171209,0.107333881834242,217176,TRUE,"completed","negative_controls_2_species__checklist_reporting__active_minus_pre7"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","ctl_c7322190c88f","American Robin","negative_control","checklist_reporting","spawn_start_minus_early_egg",FALSE,-0.0335045962367203,0.0352532683573398,-0.102599732554432,0.0355905400809912,0.967050466428324,0.902488137817111,1.03623146436164,0.341910629004408,0.341910629004408,217176,TRUE,"completed","negative_controls_2_species__checklist_reporting__spawn_start_minus_early_egg"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","ctl_c7322190c88f","American Robin","negative_control","conditional_positive_numeric_count","active_minus_pre14",TRUE,-0.0273967209975684,0.010376950159718,-0.0477351695799828,-0.00705827241515398,0.972975165268947,0.953386239325711,0.9929665786866,0.00828689620790355,0.0165737924158071,125407,TRUE,"completed","negative_controls_2_species__conditional_positive_numeric_count__active_minus_pre14"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","ctl_c7322190c88f","American Robin","negative_control","conditional_positive_numeric_count","active_minus_pre7",FALSE,-0.0286052465555675,0.0129687963444977,-0.0540236203136177,-0.00318687279751736,0.971800010159943,0.947409728122604,0.996818199891494,0.027405160718198,0.0548103214363959,125407,TRUE,"completed","negative_controls_2_species__conditional_positive_numeric_count__active_minus_pre7"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","ctl_c7322190c88f","American Robin","negative_control","conditional_positive_numeric_count","spawn_start_minus_early_egg",FALSE,0.0263652633746259,0.0157085745095937,-0.00442297691264163,0.0571535036618935,1.02671590170597,0.995586790044762,1.05881833041247,0.0932691379983992,0.186538275996798,125407,TRUE,"completed","negative_controls_2_species__conditional_positive_numeric_count__spawn_start_minus_early_egg"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","ctl_c0ffb64cc4d8","Chestnut-backed Chickadee","negative_control","checklist_reporting","active_minus_pre14",TRUE,-0.0513336214552204,0.0253653964023804,-0.101048884857468,-0.0016183580529729,0.949961690058183,0.903888845328451,0.998382950782271,0.042994255835768,0.042994255835768,217183,TRUE,"completed","negative_controls_2_species__checklist_reporting__active_minus_pre14"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","ctl_c0ffb64cc4d8","Chestnut-backed Chickadee","negative_control","checklist_reporting","active_minus_pre7",FALSE,-0.0452939684649201,0.0319576961776183,-0.107929902001925,0.0173419650720851,0.955716490024287,0.897690520533362,1.01749320997803,0.156392257000976,0.156392257000976,217183,TRUE,"completed","negative_controls_2_species__checklist_reporting__active_minus_pre7"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","ctl_c0ffb64cc4d8","Chestnut-backed Chickadee","negative_control","checklist_reporting","spawn_start_minus_early_egg",FALSE,-0.0371949133362426,0.0382356552053999,-0.112135420464118,0.0377455937916327,0.963488320322876,0.8939231938095,1.03846700681583,0.330662230136946,0.341910629004408,217183,TRUE,"completed","negative_controls_2_species__checklist_reporting__spawn_start_minus_early_egg"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","ctl_c0ffb64cc4d8","Chestnut-backed Chickadee","negative_control","conditional_positive_numeric_count","active_minus_pre14",TRUE,-0.00998096706734201,0.00940733874028831,-0.0284190121886755,0.00845707805399149,0.990068677480307,0.971981009573213,1.00849294016353,0.288700497161952,0.288700497161952,72498,TRUE,"completed","negative_controls_2_species__conditional_positive_numeric_count__active_minus_pre14"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","ctl_c0ffb64cc4d8","Chestnut-backed Chickadee","negative_control","conditional_positive_numeric_count","active_minus_pre7",FALSE,-0.015632914559331,0.0119263271829585,-0.0390080863057708,0.00774225718710878,0.984488645180781,0.961742932167501,1.00777230595866,0.189928604350309,0.189928604350309,72498,TRUE,"completed","negative_controls_2_species__conditional_positive_numeric_count__active_minus_pre7"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","ctl_c0ffb64cc4d8","Chestnut-backed Chickadee","negative_control","conditional_positive_numeric_count","spawn_start_minus_early_egg",FALSE,-0.00693456186966306,0.0143855063058109,-0.0351296361284264,0.0212605123891002,0.993089426722345,0.965480247023218,1.0214881272905,0.629769017572519,0.629769017572519,72498,TRUE,"completed","negative_controls_2_species__conditional_positive_numeric_count__spawn_start_minus_early_egg"
