"audit_section","metric","category","value","unit","note"
"anchor_shift_exact_days","linked_source_events","0",727,"source_events","shift equals floor(recorded span / 2)"
"anchor_shift_exact_days","linked_source_events","1",285,"source_events","shift equals floor(recorded span / 2)"
"anchor_shift_exact_days","linked_source_events","2",82,"source_events","shift equals floor(recorded span / 2)"
"anchor_shift_exact_days","linked_source_events","3",15,"source_events","shift equals floor(recorded span / 2)"
"anchor_shift_exact_days","linked_source_events","4",4,"source_events","shift equals floor(recorded span / 2)"
"anchor_shift_exact_days","linked_source_events","5",1,"source_events","shift equals floor(recorded span / 2)"
"anchor_shift_exact_days","linked_source_events","6",5,"source_events","shift equals floor(recorded span / 2)"
"anchor_shift_exact_days","linked_source_events","36",1,"source_events","shift equals floor(recorded span / 2)"
"anchor_shift_requested_bins","linked_source_events","negative_reversed_interval",0,"source_events","prespecified nonnegative bins plus explicit reversed-interval audit"
"anchor_shift_requested_bins","linked_source_events","0",727,"source_events","prespecified nonnegative bins plus explicit reversed-interval audit"
"anchor_shift_requested_bins","linked_source_events","1",285,"source_events","prespecified nonnegative bins plus explicit reversed-interval audit"
"anchor_shift_requested_bins","linked_source_events","2",82,"source_events","prespecified nonnegative bins plus explicit reversed-interval audit"
"anchor_shift_requested_bins","linked_source_events","3+",26,"source_events","prespecified nonnegative bins plus explicit reversed-interval audit"
"scope_and_fallback","raw_herring_source_rows","all",31167,"source_events","aggregate only; no source or checklist identifiers released"
"scope_and_fallback","raw_source_rows_start_date_missing","all",0,"source_events","aggregate only; no source or checklist identifiers released"
"scope_and_fallback","raw_source_rows_end_date_missing","all",0,"source_events","aggregate only; no source or checklist identifiers released"
"scope_and_fallback","valid_source_records_1988_2025","all",12798,"source_events","aggregate only; no source or checklist identifiers released"
"scope_and_fallback","valid_source_records_using_end_date_fallback","all",14,"source_events","aggregate only; no source or checklist identifiers released"
"scope_and_fallback","linked_source_events","all",1120,"source_events","aggregate only; no source or checklist identifiers released"
"scope_and_fallback","linked_source_events_using_end_date_fallback","all",0,"source_events","aggregate only; no source or checklist identifiers released"
"scope_and_fallback","eligible_checklist_model_rows_parent","all",217200,"checklists","aggregate only; no source or checklist identifiers released"
"scope_and_fallback","eligible_checklist_model_rows_s1","all",217200,"checklists","aggregate only; no source or checklist identifiers released"
"scope_and_fallback","checklists_with_analysis_window_link_parent","all",93342,"checklists","aggregate only; no source or checklist identifiers released"
"scope_and_fallback","checklists_with_analysis_window_link_s1","all",93391,"checklists","aggregate only; no source or checklist identifiers released"
"scope_and_fallback","checklists_dropped_from_analysis_window","all",496,"checklists","aggregate only; no source or checklist identifiers released"
"scope_and_fallback","checklists_added_to_analysis_window","all",545,"checklists","aggregate only; no source or checklist identifiers released"
"scope_and_fallback","source_events_with_analysis_window_link_parent","all",1104,"source_events","aggregate only; no source or checklist identifiers released"
"scope_and_fallback","source_events_with_analysis_window_link_s1","all",1100,"source_events","aggregate only; no source or checklist identifiers released"
"scope_and_fallback","source_events_dropped_from_analysis_window","all",4,"source_events","aggregate only; no source or checklist identifiers released"
"scope_and_fallback","source_events_added_to_analysis_window","all",0,"source_events","aggregate only; no source or checklist identifiers released"
"scope_and_fallback","event_blocks_with_analysis_window_link_parent","all",57,"event_blocks","aggregate only; no source or checklist identifiers released"
"scope_and_fallback","event_blocks_with_analysis_window_link_s1","all",57,"event_blocks","aggregate only; no source or checklist identifiers released"
"scope_and_fallback","event_blocks_dropped_from_analysis_window","all",0,"event_blocks","aggregate only; no source or checklist identifiers released"
"scope_and_fallback","event_blocks_added_to_analysis_window","all",0,"event_blocks","aggregate only; no source or checklist identifiers released"
