"analysis_version","stage","analysis_taxon_id","species","analysis_role","outcome","comparison","primary_comparison","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","q_value","n","full_fixed_effect_covariance_used","status","multiplicity_family"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_04afbeb21fb0","Hooded Merganser","core_species","checklist_reporting","active_minus_pre14",TRUE,0.00290798122032899,0.0374379205348639,-0.0704689946840768,0.0762849571247348,1.00291221349919,0.931956634687731,1.07927007604046,0.938086777815919,0.938086777815919,217200,TRUE,"completed","fixed_49_species__checklist_reporting__active_minus_pre14"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_04afbeb21fb0","Hooded Merganser","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.0251627213132282,0.0194703678200811,-0.0129984983798784,0.0633239410063349,1.02548197472231,0.987085617246799,1.06537190098419,0.196232559932272,0.334322139143871,20340,TRUE,"completed","fixed_49_species__conditional_positive_numeric_count__active_minus_pre14"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_04cf65098f13","Red-throated Loon","core_species","checklist_reporting","active_minus_pre14",TRUE,-0.0288065524640403,0.140520651591914,-0.304221968668293,0.246608863740213,0.971604400765367,0.73769710263257,1.27967848622122,0.837573132008482,0.90805059398875,217200,TRUE,"completed","fixed_49_species__checklist_reporting__active_minus_pre14"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_04cf65098f13","Red-throated Loon","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.0759112104869748,0.0914562818732119,-0.103339808144464,0.255162229118413,1.07886677784867,0.901820475466797,1.29067098830628,0.40652335009881,0.519446502904035,1488,TRUE,"completed","fixed_49_species__conditional_positive_numeric_count__active_minus_pre14"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_08bb40b40c0a","Ring-billed Gull","core_species","checklist_reporting","active_minus_pre14",TRUE,-0.0151217761297563,0.0630147516219132,-0.138628419803443,0.108384867543931,0.984991983787707,0.870551448044551,1.1144765887247,0.810351961318831,0.90805059398875,217200,TRUE,"completed","fixed_49_species__checklist_reporting__active_minus_pre14"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_08bb40b40c0a","Ring-billed Gull","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,-0.037416365697092,0.0593290849463224,-0.153699235427601,0.0788665040334174,0.963274977183233,0.857529896842299,1.08205986180095,0.528264126325946,0.639477626605093,4549,TRUE,"completed","fixed_49_species__conditional_positive_numeric_count__active_minus_pre14"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_1328b44be502","Black Scoter","core_species","checklist_reporting","active_minus_pre14",TRUE,0.128041816650545,0.068095482202043,-0.00542287597534757,0.261506509276438,1.13660053053052,0.994591801273622,1.2988853963485,0.060063439943012,0.13961964549622,217178,TRUE,"completed","fixed_49_species__checklist_reporting__active_minus_pre14"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_1328b44be502","Black Scoter","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.0336952103503146,0.069850013531563,-0.103208300491184,0.170598721191813,1.03426932409815,0.901939079559707,1.18601473094239,0.629526256247747,0.706297750912106,1684,TRUE,"completed","fixed_49_species__conditional_positive_numeric_count__active_minus_pre14"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_136b0e66254b","Common Murre","core_species","checklist_reporting","active_minus_pre14",TRUE,-0.149314904005354,0.0941694053315899,-0.333883546900824,0.0352537388901169,0.861297846047853,0.716137173764833,1.03588251913631,0.112830329558767,0.219489215456277,217200,TRUE,"completed","fixed_49_species__checklist_reporting__active_minus_pre14"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_136b0e66254b","Common Murre","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,-0.137990971250766,0.123547389714822,-0.380139405475752,0.10415746297422,0.871106556712949,0.68376608183199,1.10977518966017,0.264033998399826,0.421022011698159,2023,TRUE,"completed","fixed_49_species__conditional_positive_numeric_count__active_minus_pre14"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_15dd5efcd8d6","Black Turnstone","core_species","checklist_reporting","active_minus_pre14",TRUE,-0.024988823384868,0.068052391347602,-0.158369059487993,0.108391412718257,0.97532081275277,0.853534718747237,1.11448388319213,0.713470000632069,0.90805059398875,217200,TRUE,"completed","fixed_49_species__checklist_reporting__active_minus_pre14"
